
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 62 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  24.11.2017 16:14:28.349

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , ldtvm     , mifa_w    , miszul_w  , mrfa_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , , , , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    0.000, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.07496   , 99.2188   , 0         , 7.16667   , 840       , 820       , 823.75    , 409.297   , 391.484   , 824.141   , 843.984   , 0.566408  , 0.683596  , 0.546876  , 0.60547   , 27.5391   , 107.859   , 109.57    , 26.0156   , 250       , 26.25     , 26.25     , 2.144     , 42        , 3.98438   , 0         , 0         , -3        , 13.028    , 46.9056   , 8.32825   
    0.050, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.01697   , 99.2188   , 0         , 6.97223   , 840       , 820       , 823.75    , 413.359   , 390       , 824.141   , 841.094   , 0.566408  , 0.703127  , 0.566408  , 0.585939  , 27.9609   , 107.859   , 109.57    , 25.9688   , 250       , 26.25     , 26.25     , 2.18667   , 42        , 3.99219   , 0         , 0         , -3        , 13.2202   , 47.0673   , 8.27637   
    0.100, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.04139   , 99.2188   , 0         , 7.05556   , 840       , 820       , 823.75    , 413.828   , 389.766   , 824.141   , 843.594   , 0.566408  , 0.703127  , 0.566408  , 0.585939  , 27.9375   , 107.859   , 109.57    , 25.8984   , 250       , 26.25     , 26.25     , 2.15467   , 42        , 4         , 0         , 0         , -3        , 13.2111   , 46.9605   , 8.34656   
    0.150, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.08106   , 99.2188   , 0         , 6.94445   , 840       , 820       , 823.75    , 414.141   , 389.297   , 822.891   , 843.438   , 0.585939  , 0.722658  , 0.546876  , 0.60547   , 27.9609   , 107.859   , 109.57    , 25.8516   , 250       , 26.25     , 26.25     , 2.09867   , 42        , 4.00781   , 0         , 0         , -3.75     , 13.2507   , 46.9239   , 8.20923   
    0.200, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 7.99561   , 99.2188   , 0         , 6.80556   , 840       , 820       , 823.75    , 413.594   , 386.563   , 822.891   , 843.672   , 0.585939  , 0.722658  , 0.546876  , 0.60547   , 27.9844   , 107.859   , 109.57    , 25.6875   , 250       , 26.25     , 26.25     , 2.08534   , 42        , 4.00781   , 0         , 0         , -3        , 13.2431   , 47.0322   , 8.41981   
    0.250, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.12989   , 99.2188   , 0         , 6.91667   , 840       , 820       , 823.75    , 412.813   , 390.703   , 824.141   , 843.906   , 0.60547   , 0.703127  , 0.546876  , 0.60547   , 27.8438   , 107.859   , 109.57    , 25.9688   , 250       , 26.25     , 26.25     , 2.08267   , 42        , 4.01563   , 0         , 0         , -2.25     , 13.1989   , 46.8705   , 8.53272   
    0.300, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.12073   , 99.2188   , 0         , 7.11112   , 840       , 820       , 823.75    , 415       , 389.688   , 824.141   , 840.234   , 0.60547   , 0.703127  , 0.546876  , 0.60547   , 28.1016   , 107.859   , 109.57    , 25.9453   , 250       , 26.25     , 26.25     , 2.17867   , 42        , 4.01563   , 0         , 0         , -3.75     , 13.3392   , 47.0856   , 8.26111   
    0.350, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.20618   , 99.2188   , 0         , 7.02778   , 800       , 820       , 823.75    , 416.719   , 393.203   , 824.141   , 840.313   , 0.60547   , 0.703127  , 0.527345  , 0.625002  , 28.1719   , 107.859   , 109.57    , 26.1563   , 250       , 26.25     , 26.25     , 2.17067   , 42        , 4.02344   , 0         , 0         , -0.75     , 13.3194   , 46.8888   , 9.25294   
    0.400, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.31605   , 99.2188   , 0         , 6.77778   , 840       , 820       , 823.75    , 415.625   , 395.859   , 824.141   , 842.188   , 0.60547   , 0.703127  , 0.527345  , 0.625002  , 28.0313   , 107.859   , 109.57    , 26.3438   , 250       , 26.25     , 26.25     , 2.072     , 42        , 4.03906   , 0         , 0         , -3.75     , 13.3728   , 46.7987   , 8.31605   
    0.450, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.13599   , 99.2188   , 0         , 6.97223   , 840       , 820       , 823.75    , 413.75    , 389.609   , 824.141   , 842.734   , 0.625002  , 0.722658  , 0.546876  , 0.644533  , 28.0078   , 107.859   , 109.57    , 25.9453   , 250       , 26.25     , 26.25     , 2.08      , 42        , 4.05469   , 0         , 0         , -3.75     , 13.298    , 47.1039   , 8.20313   
    0.500, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.28248   , 99.2188   , 0         , 6.63889   , 840       , 820       , 823.75    , 412.344   , 393.906   , 824.141   , 840.547   , 0.625002  , 0.722658  , 0.546876  , 0.644533  , 27.8672   , 107.859   , 109.57    , 26.2969   , 250       , 26.25     , 26.25     , 2.072     , 42        , 4.07031   , 0         , 0         , -2.25     , 13.2416   , 47.0505   , 8.63343   
    0.550, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.35267   , 99.2188   , 0         , 7.05556   , 840       , 820       , 823.75    , 413.75    , 396.094   , 824.141   , 840.078   , 0.644533  , 0.722658  , 0.566408  , 0.644533  , 27.9141   , 107.859   , 109.57    , 26.4141   , 250       , 26.25     , 26.25     , 2.10934   , 42        , 4.07813   , 0         , 0         , -2.25     , 13.2492   , 46.9056   , 8.61817   
    0.600, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.26722   , 99.2188   , 0         , 7.08334   , 840       , 820       , 823.75    , 414.453   , 393.75    , 824.141   , 843.281   , 0.644533  , 0.722658  , 0.566408  , 0.644533  , 27.9844   , 107.859   , 109.57    , 26.2266   , 250       , 26.25     , 26.25     , 2.09334   , 42        , 4.07813   , 0         , 0         , -3        , 13.2523   , 46.9605   , 8.4015    
    0.650, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.39844   , 99.2188   , 0         , 7.11112   , 800       , 820       , 823.75    , 417.813   , 398.438   , 822.891   , 840.156   , 0.625002  , 0.722658  , 0.566408  , 0.625002  , 28.1953   , 107.859   , 109.57    , 26.5547   , 250       , 26.25     , 26.25     , 2.18134   , 42        , 4.07031   , 0         , 0         , 0         , 13.3682   , 46.7804   , 9.31092   
    0.700, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.37708   , 99.2188   , 0         , 6.83334   , 840       , 820       , 823.75    , 417.734   , 397.969   , 822.891   , 840.313   , 0.625002  , 0.722658  , 0.566408  , 0.625002  , 28.1719   , 107.859   , 109.57    , 26.4844   , 250       , 26.25     , 26.25     , 2.08      , 42        , 4.07031   , 0         , 0         , -1.5      , 13.3331   , 46.7087   , 8.89588   
    0.750, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.36182   , 99.2188   , 0         , 6.72223   , 840       , 820       , 823.75    , 414.922   , 396.094   , 824.141   , 840.078   , 0.625002  , 0.703127  , 0.585939  , 0.644533  , 28.0078   , 107.859   , 109.57    , 26.4141   , 250       , 26.25     , 26.25     , 2.06934   , 42        , 4.07031   , 0.392157  , 0         , -2.25     , 13.295    , 46.9056   , 8.56934   
    0.800, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.45032   , 99.2188   , 0         , 6.77778   , 840       , 820       , 823.75    , 413.438   , 399.063   , 824.141   , 840.625   , 0.625002  , 0.703127  , 0.585939  , 0.644533  , 27.8438   , 107.859   , 109.57    , 26.625    , 250       , 26.25     , 26.25     , 2.07467   , 42        , 4.05469   , 0.392157  , 0         , -1.5      , 13.1973   , 46.7987   , 8.91419   
    0.850, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.25501   , 99.2188   , 0         , 6.88889   , 840       , 820       , 823.75    , 413.125   , 393.75    , 822.891   , 841.172   , 0.60547   , 0.722658  , 0.60547   , 0.644533  , 27.8203   , 107.859   , 109.57    , 26.1797   , 250       , 26.25     , 26.25     , 2.07467   , 42        , 4.03906   , 0.392157  , 0         , -3        , 13.2156   , 46.8521   , 8.4076    
    0.900, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.37403   , 99.2188   , 0         , 7.13889   , 840       , 820       , 823.75    , 415.313   , 396.25    , 822.891   , 840.078   , 0.60547   , 0.722658  , 0.60547   , 0.644533  , 28.0078   , 107.859   , 109.57    , 26.4609   , 250       , 26.25     , 26.25     , 2.13334   , 42        , 4.01563   , 0.392157  , 0         , -2.25     , 13.295    , 46.9605   , 8.59376   
    0.950, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.41981   , 99.2188   , 0         , 7.08334   , 840       , 820       , 823.75    , 417.422   , 397.578   , 824.141   , 840.078   , 0.585939  , 0.742189  , 0.60547   , 0.625002  , 28.2422   , 107.859   , 109.57    , 26.5547   , 250       , 26.25     , 26.25     , 2.144     , 42        , 4         , 0.392157  , 0         , -1.5      , 13.3362   , 46.7804   , 8.89893   
    1.000, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.58155   , 99.2188   , 0         , 7.11112   , 800       , 820       , 823.75    , 419.375   , 405       , 824.141   , 840.078   , 0.585939  , 0.742189  , 0.60547   , 0.625002  , 28.3359   , 107.859   , 109.57    , 27.1172   , 250       , 26.25     , 26.25     , 2.17067   , 42        , 3.98438   , 0.392157  , 0         , 0         , 13.4125   , 46.8338   , 9.42383   
    1.050, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.5022    , 99.2188   , 0         , 7.05556   , 800       , 820       , 823.75    , 420.391   , 399.922   , 822.891   , 840.625   , 0.585939  , 0.742189  , 0.625002  , 0.644533  , 28.4766   , 107.859   , 109.57    , 26.7422   , 250       , 26.25     , 26.25     , 2.17867   , 42        , 3.9375    , 0.392157  , 0         , -0.75     , 13.4689   , 46.9056   , 9.31397   
    1.100, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.72803   , 99.2188   , 0         , 7.19445   , 800       , 820       , 823.672   , 423.516   , 409.531   , 822.891   , 840.078   , 0.585939  , 0.742189  , 0.625002  , 0.644533  , 28.6641   , 107.859   , 109.57    , 27.4688   , 250       , 26.25     , 26.25     , 2.18934   , 42        , 3.83594   , 0.392157  , 0         , 0         , 13.5864   , 46.6721   , 9.64051   
    1.150, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.44117   , 99.2188   , 0         , 7.05556   , 840       , 820       , 823.672   , 422.969   , 397.109   , 824.141   , 840.078   , 0.566408  , 0.761721  , 0.60547   , 0.625002  , 28.7813   , 107.859   , 109.57    , 26.5781   , 250       , 26.25     , 26.25     , 2.18667   , 42        , 3.78125   , 0.392157  , 0         , -3        , 13.652    , 47.0673   , 8.68226   
    1.200, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.45338   , 99.2188   , 0         , 7.13889   , 840       , 820       , 823.75    , 422.344   , 397.344   , 824.141   , 842.188   , 0.566408  , 0.761721  , 0.60547   , 0.625002  , 28.7344   , 107.859   , 109.57    , 26.6016   , 250       , 26.25     , 26.25     , 2.17334   , 42        , 3.71875   , 0.392157  , 0         , -3        , 13.652    , 47.0673   , 8.68226   
    1.250, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 9.03321   , 99.2188   , 0         , 7.30556   , 840       , 820       , 823.75    , 423.906   , 412.109   , 824.141   , 840.156   , 0.585939  , 0.781252  , 0.60547   , 0.625002  , 28.8047   , 107.859   , 109.57    , 27.8203   , 250       , 26.25     , 26.25     , 2.21067   , 42        , 3.6875    , 0.392157  , 0         , -2.25     , 13.6429   , 46.9605   , 9.00574   
    1.300, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.81959   , 99.2188   , 0         , 7.05556   , 840       , 820       , 823.75    , 421.563   , 406.875   , 824.141   , 842.188   , 0.585939  , 0.781252  , 0.60547   , 0.625002  , 28.6172   , 107.859   , 109.57    , 27.375    , 250       , 26.25     , 26.25     , 2.128     , 42        , 3.64844   , 0.392157  , 0         , -2.25     , 13.6078   , 47.1039   , 8.86536   
    1.350, 0         , 0         , 0         , 0         , 1         , 1         , 0         , 8.85316   , 99.2188   , 0         , 6.97223   , 840       , 820       , 823.75    , 420.313   , 406.953   , 824.141   , 840.156   , 0.566408  , 0.781252  , 0.585939  , 0.644533  , 28.5469   , 107.859   , 109.57    , 27.4219   , 255       , 26.25     , 26.25     , 2.13334   , 42        , 3.57813   , 0.392157  , 0         , -1.5      , 13.5681   , 47.0673   , 9.02711   
    1.400, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.93861   , 99.2188   , 0         , 7.05556   , 840       , 820       , 823.75    , 419.609   , 409.609   , 824.141   , 840.078   , 0.566408  , 0.781252  , 0.585939  , 0.644533  , 28.4531   , 107.859   , 109.57    , 27.6094   , 255       , 26.25     , 26.25     , 2.128     , 42        , 3.4375    , 0.392157  , 0         , -2.25     , 13.562    , 46.9788   , 8.73109   
    1.450, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.74024   , 99.2188   , 0         , 7.13889   , 840       , 820       , 823.75    , 419.297   , 403.281   , 824.141   , 840.078   , 0.566408  , 0.820315  , 0.566408  , 0.664064  , 28.5234   , 107.859   , 109.57    , 27.1641   , 255       , 26.25     , 26.25     , 2.136     , 42        , 3.35938   , 0.392157  , 0         , -3        , 13.533    , 47.2123   , 8.55103   
    1.500, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.95081   , 99.2188   , 0         , 7.05556   , 840       , 820       , 823.75    , 418.828   , 409.844   , 824.141   , 842.188   , 0.566408  , 0.820315  , 0.566408  , 0.664064  , 28.3594   , 107.859   , 109.57    , 27.6094   , 255       , 26.25     , 26.25     , 2.13867   , 42        , 3.27344   , 0.392157  , 0         , -1.5      , 13.4369   , 46.9422   , 8.94166   
