
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 90 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  23.06.2018 12:36:40.424

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , B_mibeg   , mibas_w   , mimax_w   , misolv_w  , B_mdein   , mizsolv_w , milsol_w  , milsolv_w , B_dash    , B_lsd     , B_dashv   , dmar_w    , zwbas     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           ,           , , ,           , , , ,           ,           ,           , , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","","TorqueLimit","TorqueBeforeLimitation","","TorqueForTimingIntervention","","","","","","",""
    0.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.84717   , 99.9985   , 5.84717   , 99.2188   , 0         , 2.61111   , 6.72223   , 760       , 820       , 824.688   , 398.75    , 278.281   , 824.141   , 971.094   , 839.922   , 0.820315  , 1.36719   , 0.89844   , 1.32813   , 29.625    , 72.1406   , 73.2891   , 17.8594   , 70        , 67.5      , 67.5      , 2.25867   , 102.75    , 0         , 0.337403  , 0.949982  , 0.392157  , 0         , -12.75    , 0         , 12.2147   , 24.9603   , 5.84717   , 0         , 6.20423   , 6.72608   , 6.72608   , 0         , 0         , 0         , 0         , 30        
    0.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.76172   , 99.9985   , 5.76172   , 99.2188   , 0         , 2.61111   , 6.52778   , 760       , 820       , 824.688   , 394.375   , 275.234   , 825.391   , 970.547   , 839.453   , 0.781252  , 1.40625   , 0.859377  , 1.40625   , 29.2969   , 72.1406   , 73.2891   , 17.6953   , 70        , 67.5      , 67.5      , 2.24      , 102.75    , 0         , 0.33667   , 0.949982  , 0.392157  , 0         , -14.25    , 0         , 12.0865   , 24.9909   , 5.76172   , 0         , 5.82886   , 6.64063   , 6.64063   , 0         , 0         , 0         , 0         , 30        
    0.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.76783   , 99.9985   , 5.76783   , 99.2188   , 0         , 2.61111   , 6.77778   , 760       , 820       , 824.688   , 393.281   , 275.547   , 825.391   , 971.016   , 839.844   , 0.781252  , 1.40625   , 0.859377  , 1.40625   , 29.2031   , 72.1406   , 73.2891   , 17.7188   , 70        , 67.5      , 67.5      , 2.25867   , 102.75    , 0         , 0.334107  , 0.949982  , 0.392157  , 0         , -13.5     , 0         , 12.0331   , 24.9893   , 5.76783   , 0         , 5.83497   , 6.64673   , 6.64673   , 0         , 0         , 0         , 0         , 30.75     
    0.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.74646   , 99.9985   , 5.74646   , 99.2188   , 0         , 2.61111   , 6.72223   , 760       , 820       , 824.688   , 391.875   , 274.844   , 824.141   , 969.922   , 838.906   , 0.742189  , 1.44532   , 0.859377  , 1.40625   , 29.0859   , 72.1406   , 73.2891   , 17.6719   , 70        , 67.5      , 67.5      , 2.26134   , 102.75    , 0         , 0.334778  , 0.949982  , 0.392157  , 0         , -13.5     , 0         , 11.9827   , 24.9939   , 5.74646   , 0         , 5.76172   , 6.62537   , 6.62537   , 0         , 0         , 0         , 0         , 30.75     
    0.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.76783   , 99.9985   , 5.76783   , 99.2188   , 0         , 2.61111   , 6.86112   , 760       , 820       , 824.688   , 393.203   , 275.938   , 824.141   , 969.922   , 838.906   , 0.742189  , 1.44532   , 0.859377  , 1.40625   , 29.1797   , 72.1406   , 73.2891   , 17.7422   , 70        , 67.5      , 67.5      , 2.26667   , 102.75    , 0         , 0.334595  , 0.949982  , 0.392157  , 0         , -13.5     , 0         , 11.9965   , 24.9863   , 5.76783   , 0         , 5.84412   , 6.64673   , 6.64673   , 0         , 0         , 0         , 0         , 30.75     
    0.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.78614   , 99.9985   , 5.78614   , 99.2188   , 0         , 2.55556   , 7.00001   , 760       , 820       , 824.688   , 395.391   , 276.406   , 824.141   , 971.172   , 840       , 0.742189  , 1.44532   , 0.89844   , 1.40625   , 29.3672   , 72.1406   , 73.2891   , 17.7656   , 70        , 67.5      , 67.5      , 2.28267   , 102.75    , 0         , 0.335388  , 0.949982  , 0.392157  , 0         , -13.5     , 0         , 12.0483   , 24.9817   , 5.78614   , 0         , 5.99976   , 6.66504   , 6.66504   , 0         , 0         , 0         , 0         , 30        
    0.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.78309   , 99.9985   , 5.78309   , 99.2188   , 0         , 2.61111   , 7.08334   , 760       , 820       , 824.609   , 398.672   , 276.406   , 824.141   , 971.172   , 840       , 0.742189  , 1.44532   , 0.89844   , 1.40625   , 29.6953   , 72.1406   , 73.2891   , 17.7656   , 70        , 67.5      , 67.5      , 2.29867   , 102.75    , 0         , 0.335144  , 0.949982  , 0.392157  , 0         , -14.25    , 0         , 12.1353   , 24.9817   , 5.78309   , 0         , 5.92652   , 6.66199   , 6.66199   , 0         , 0         , 0         , 0         , 30        
    0.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.72815   , 99.9985   , 5.72815   , 99.2188   , 0         , 2.61111   , 7.11112   , 760       , 820       , 824.609   , 400.391   , 274.531   , 824.141   , 971.172   , 840       , 0.703127  , 1.40625   , 0.859377  , 1.48438   , 29.9063   , 72.1406   , 73.2891   , 17.6484   , 70        , 67.5      , 67.5      , 2.30934   , 102.75    , 0         , 0.334961  , 0.949982  , 0.392157  , 0         , -14.25    , 0         , 12.2116   , 24.997    , 5.72815   , 0         , 5.80445   , 6.60706   , 6.60706   , 0         , 0         , 0         , 0         , 30        
    0.400, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.76172   , 99.9985   , 5.76172   , 99.2188   , 0         , 2.61111   , 6.97223   , 760       , 820       , 824.609   , 400.938   , 275.781   , 824.141   , 971.172   , 840       , 0.703127  , 1.40625   , 0.859377  , 1.48438   , 29.9297   , 72.1406   , 73.2891   , 17.7188   , 70        , 67.5      , 67.5      , 2.312     , 102.75    , 0         , 0.334412  , 0.949982  , 0.392157  , 0         , -14.25    , 0         , 12.2772   , 24.9832   , 5.76172   , 0         , 5.90516   , 6.64063   , 6.64063   , 0         , 0         , 0         , 0         , 30        
    0.450, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.80445   , 99.9985   , 5.80445   , 99.2188   , 0         , 2.61111   , 7.05556   , 760       , 820       , 824.609   , 402.891   , 277.109   , 825.391   , 971.172   , 840       , 0.664064  , 1.44532   , 0.859377  , 1.48438   , 30.0703   , 72.1406   , 73.2891   , 17.7891   , 75        , 67.5      , 67.5      , 2.32534   , 102.75    , 0         , 0.336304  , 0.949982  , 0.392157  , 0         , -13.5     , 0         , 12.2894   , 24.971    , 5.80445   , 0         , 6.03943   , 6.68335   , 6.68335   , 0         , 0         , 0         , 0         , 30        
    0.500, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.78919   , 99.9985   , 5.78919   , 99.2188   , 0         , 2.61111   , 7.19445   , 760       , 820       , 824.688   , 405.234   , 276.563   , 825.391   , 969.922   , 838.906   , 0.664064  , 1.44532   , 0.859377  , 1.48438   , 30.3281   , 72.1406   , 73.2891   , 17.7656   , 75        , 67.5      , 67.5      , 2.34667   , 102.75    , 0         , 0.335327  , 0.949982  , 0.392157  , 0         , -14.25    , 0         , 12.3108   , 24.9787   , 5.78919   , 0         , 6.01807   , 6.6681    , 6.6681    , 0         , 0         , 0         , 0         , 30        
    0.550, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.78614   , 99.9985   , 5.78614   , 99.2188   , 0         , 2.61111   , 6.97223   , 760       , 820       , 824.688   , 404.141   , 276.484   , 824.141   , 968.75    , 837.891   , 0.664064  , 1.44532   , 0.820315  , 1.48438   , 30.2109   , 72.1406   , 73.2891   , 17.7656   , 75        , 67.5      , 67.5      , 2.328     , 102.75    , 0         , 0.336365  , 0.949982  , 0.392157  , 0         , -14.25    , 0         , 12.3459   , 24.9817   , 5.78614   , 0         , 5.83191   , 6.66504   , 6.66504   , 0         , 0         , 0         , 0         , 30        
    0.600, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.74952   , 99.9985   , 5.74952   , 99.2188   , 0         , 2.61111   , 7.05556   , 800       , 820       , 824.609   , 401.172   , 275.313   , 824.141   , 971.094   , 839.922   , 0.664064  , 1.44532   , 0.820315  , 1.48438   , 29.9766   , 72.1406   , 73.2891   , 17.6953   , 75        , 67.5      , 67.5      , 2.30134   , 102.75    , 0         , 0.333863  , 0.949982  , 0.392157  , 0         , -14.25    , 0         , 12.262    , 24.9909   , 5.74952   , 0         , 5.67322   , 6.62842   , 6.62842   , 0         , 0         , 0         , 0         , 30        
    0.650, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.68543   , 99.9985   , 5.68543   , 99.2188   , 0         , 2.55556   , 6.97223   , 800       , 820       , 824.609   , 400       , 273.438   , 825.391   , 968.75    , 837.891   , 0.625002  , 1.48438   , 0.781252  , 1.5625    , 29.9063   , 72.1406   , 73.2891   , 17.5781   , 75        , 67.5      , 67.5      , 2.296     , 102.75    , 0         , 0.333069  , 0.949982  , 0.392157  , 0         , -14.25    , 0         , 12.2681   , 25.0046   , 5.68543   , 0         , 5.55725   , 6.56434   , 6.56434   , 0         , 0         , 0         , 0         , 30        
    0.700, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.65186   , 99.9985   , 5.65186   , 99.2188   , 0         , 2.61111   , 6.88889   , 800       , 820       , 824.688   , 399.063   , 272.813   , 825.391   , 971.094   , 839.922   , 0.625002  , 1.48438   , 0.781252  , 1.5625    , 29.8359   , 72.1406   , 73.2891   , 17.5313   , 75        , 67.5      , 67.5      , 2.26667   , 102.75    , 0         , 0.33075   , 0.949982  , 0.392157  , 0         , -14.25    , 0         , 12.2467   , 25.0092   , 5.65186   , 0         , 5.43824   , 6.53077   , 6.53077   , 0         , 0         , 0         , 0         , 29.25     
