
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: MOriginal.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 41 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  26.04.2017 11:42:16.728

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , ldtvm     , mshfm_w   , nmot      , plsol     , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl        , rlmax_w   , rlmx_w    , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , g/s       , rpm       , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","MassAirFlow","EngineSpeed","BoostPressureDesired","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
    0.700, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.22223   , 800       , 830       , 839.063   , 844.922   , 0.839846  , 1.01563   , 0.703127  , 1.01563   , 30        , 115.664   , 113.203   , 425       , 26.25     , 26.25     , 2.33067   , 95.25     , 0         , 0         , 0         , -15       
    0.750, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.13889   , 800       , 830       , 839.063   , 847.266   , 0.839846  , 1.01563   , 0.703127  , 1.01563   , 30        , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.312     , 95.25     , 0         , 0         , 0         , -15       
    0.800, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.86112   , 800       , 830       , 839.063   , 845.234   , 0.820315  , 1.01563   , 0.703127  , 1.05469   , 30        , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.30134   , 95.25     , 0         , 0         , 0         , -15       
    0.850, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.97223   , 800       , 830       , 839.063   , 847.266   , 0.820315  , 1.01563   , 0.703127  , 1.05469   , 29.25     , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.28      , 95.25     , 0         , 0         , 0         , -14.25    
    0.900, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.72223   , 800       , 830       , 837.813   , 847.344   , 0.820315  , 0.976565  , 0.722658  , 1.01563   , 29.25     , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.20267   , 95.25     , 0         , 0         , 0         , -14.25    
    0.950, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.88889   , 800       , 830       , 837.813   , 847.188   , 0.820315  , 0.976565  , 0.722658  , 1.01563   , 28.5      , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.21867   , 95.25     , 0         , 0         , 0         , -14.25    
    1.000, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.19445   , 840       , 830       , 837.813   , 845.703   , 0.800783  , 0.937502  , 0.722658  , 1.05469   , 28.5      , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.23734   , 95.25     , 0         , 0         , 0         , -13.5     
    1.050, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.00001   , 840       , 830       , 837.813   , 845.977   , 0.800783  , 0.937502  , 0.722658  , 1.05469   , 28.5      , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.208     , 95.25     , 0         , 0         , 0         , -13.5     
    1.100, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.05556   , 840       , 830       , 839.063   , 845.977   , 0.820315  , 0.976565  , 0.722658  , 1.05469   , 28.5      , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.20267   , 95.25     , 0         , 0         , 0         , -13.5     
    1.150, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.13889   , 840       , 830       , 839.063   , 847.148   , 0.820315  , 0.976565  , 0.722658  , 1.05469   , 28.5      , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.18934   , 95.25     , 0         , 0         , 0         , -13.5     
