
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 73 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  29.12.2017 09:03:41.600

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    0.000, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 12.5763   , 25.3815   , 21.8475   , 13.6667   , 15.4722   , 2280      , 820       , 830       , 297.891   , 297.969   , 830.313   , 1154.06   , 863.281   , 1.5625    , 2.18751   , 1.52344   , 2.10938   , 22.9922   , 94.1484   , 95.6484   , 23.0156   , 545       , 20.25     , 20.25     , 1.912     , 90        , 94.375    , 0.358948  , 0.949982  , 3.92157   , 23.2013   , 33        , 12.5458   , 49.5621   , 12.5458   
    0.050, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 12.5549   , 25.1297   , 21.7926   , 13.6667   , 15.1667   , 2280      , 820       , 830       , 297.5     , 297.5     , 830.313   , 1154.3    , 863.438   , 1.5625    , 2.03126   , 1.52344   , 2.18751   , 22.8984   , 94.1953   , 95.6953   , 22.9688   , 545       , 20.25     , 20.25     , 1.888     , 90        , 94.3984   , 0.358399  , 0.949982  , 3.92157   , 23.2013   , 33        , 12.6114   , 49.5194   , 12.6099   
    0.100, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 11.7951   , 24.8261   , 20.1965   , 13.6667   , 14.9722   , 2280      , 820       , 830       , 297.266   , 279.219   , 830.313   , 1156.8    , 865.313   , 1.5625    , 2.03126   , 1.52344   , 2.18751   , 22.875    , 94.1953   , 95.6953   , 21.2344   , 545       , 20.25     , 20.25     , 1.87467   , 90        , 94.4141   , 0.336731  , 0.949982  , 3.92157   , 22.1225   , 33.75     , 12.6251   , 49.5148   , 12.6251   
    0.150, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 10.7788   , 24.3149   , 18.0481   , 13.4167   , 14.6389   , 2280      , 820       , 830       , 298.359   , 256.875   , 830.313   , 1152.42   , 862.031   , 1.71875   , 2.03126   , 1.48438   , 2.26563   , 22.9688   , 94.0781   , 95.5781   , 19.1719   , 545       , 20.25     , 20.25     , 1.86134   , 90        , 94.4297   , 0.309448  , 0.949982  , 3.92157   , 20.6836   , 33        , 12.6221   , 49.5102   , 12.6221   
    0.200, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.99146   , 23.7213   , 16.3788   , 11.6389   , 14.0556   , 2280      , 820       , 830       , 293.203   , 238.281   , 830.313   , 1152.97   , 862.5     , 1.71875   , 2.03126   , 1.48438   , 2.26563   , 22.5      , 94.2188   , 95.7188   , 17.4609   , 545       , 20.25     , 20.25     , 1.84      , 90        , 94.4219   , 0.294495  , 0.949982  , 3.13726   , 19.6032   , 33        , 12.4481   , 49.466    , 12.4481   
    0.250, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.50013   , 23.1217   , 15.3412   , 10.3333   , 13.25     , 2280      , 820       , 830.078   , 284.297   , 231.25    , 830.313   , 1152.11   , 861.797   , 1.71875   , 2.18751   , 1.5625    , 2.10938   , 21.6797   , 94.1484   , 95.6484   , 16.8047   , 545       , 20.25     , 20.25     , 1.8       , 90        , 94.4063   , 0.283142  , 0.949982  , 2.7451    , 18.8845   , 33.75     , 12.0789   , 49.5072   , 12.0789   
    0.300, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 8.25501   , 22.3328   , 12.677    , 9.8889    , 11.3056   , 2240      , 820       , 830.078   , 262.656   , 212.891   , 830.313   , 1155.63   , 864.453   , 1.71875   , 2.18751   , 1.5625    , 2.10938   , 19.6875   , 93.9844   , 95.4844   , 15.1172   , 545       , 20.25     , 20.25     , 1.66934   , 90        , 94.3906   , 0.259522  , 0.949982  , 2.35294   , 16.9054   , 35.25     , 11.3068   , 49.5057   , 11.3068   
    0.350, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 8.04444   , 21.4661   , 12.2101   , 9.19445   , 10.7222   , 2280      , 820       , 830.078   , 242.813   , 209.375   , 830.313   , 1156.02   , 864.688   , 1.71875   , 2.18751   , 1.52344   , 2.26563   , 17.8594   , 94.1484   , 95.6484   , 14.7891   , 545       , 20.25     , 20.25     , 1.576     , 90        , 94.3672   , 0.252197  , 0.949982  , 1.96079   , 16.5469   , 36        , 10.4965   , 49.4141   , 10.495    
    0.400, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 8.06885   , 20.7016   , 12.265    , 8.75001   , 10.8333   , 2240      , 820       , 830.078   , 235.469   , 209.609   , 830.313   , 1151.95   , 861.641   , 1.71875   , 2.18751   , 1.52344   , 2.26563   , 17.1797   , 93.9375   , 95.4375   , 14.8125   , 545       , 20.25     , 20.25     , 1.6       , 90        , 94.3438   , 0.252503  , 0.949982  , 1.56863   , 16.5469   , 35.25     , 9.9762    , 49.5011   , 9.9762    
    0.450, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 8.05665   , 20.0394   , 12.2101   , 8.69445   , 10.25     , 2280      , 820       , 830.078   , 227.578   , 209.688   , 830.313   , 1151.64   , 861.406   , 1.71875   , 2.18751   , 1.44532   , 2.18751   , 16.4531   , 94.1016   , 95.6016   , 14.8125   , 545       , 20.25     , 21        , 1.56267   , 90        , 94.3125   , 0.252564  , 0.949982  , 1.56863   , 16.5469   , 36        , 9.57032   , 49.3637   , 9.57032   
    0.500, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 8.07801   , 19.4641   , 12.2711   , 8.69445   , 10.5278   , 2240      , 820       , 830.078   , 221.641   , 210.156   , 830.313   , 1151.64   , 861.406   , 1.71875   , 2.18751   , 1.44532   , 2.18751   , 15.9141   , 93.9141   , 95.4141   , 14.8594   , 545       , 20.25     , 21        , 1.57067   , 90        , 94.2734   , 0.252869  , 0.949982  , 1.56863   , 16.5469   , 36        , 9.15223   , 49.4492   , 9.15223   
