TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    0.400, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.84302   , 99.2188   , 0         , 3.5       , 6.50001   , 800       , 820       , 836.406   , 404.688   , 315.703   , 836.484   , 853.203   , 0.527345  , 0.89844   , 0.585939  , 0.781252  , 27.1172   , 72.1406   , 73.2891   , 19.3828   , 210       , 16.5      , 16.5      , 2.09067   , 48.75     , 0         , 0.377137  , 0         , 0         , -4.5      , 12.7716   , 33.8761   , 7.98646   
    0.450, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.76063   , 99.2188   , 0         , 3.52778   , 6.86112   , 800       , 820       , 836.406   , 406.563   , 312.891   , 836.484   , 854.844   , 0.527345  , 0.937502  , 0.60547   , 0.800783  , 27.2813   , 72.1406   , 73.2891   , 19.125    , 210       , 16.5      , 16.5      , 2.13867   , 48.75     , 0         , 0.374085  , 0         , 0         , -5.25     , 12.8235   , 33.934    , 7.81251   
    0.500, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.79114   , 99.2188   , 0         , 3.5       , 6.94445   , 800       , 820       , 836.406   , 411.25    , 312.344   , 836.484   , 853.438   , 0.527345  , 0.937502  , 0.60547   , 0.800783  , 27.75     , 72.1406   , 73.2891   , 19.1484   , 210       , 16.5      , 16.5      , 2.19734   , 48.75     , 0         , 0.372742  , 0         , 0         , -6        , 13.1332   , 33.9203   , 7.6355    
    0.550, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.69349   , 99.2188   , 0         , 3.5       , 6.61112   , 800       , 820       , 836.406   , 410.703   , 309.844   , 836.484   , 852.891   , 0.546876  , 0.976565  , 0.625002  , 0.781252  , 27.75     , 72.1406   , 73.2891   , 18.9844   , 210       , 16.5      , 16.5      , 2.11467   , 48.75     , 0         , 0.370667  , 0         , 0         , -6        , 13.1439   , 33.9936   , 7.50123   
    0.600, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.83692   , 99.2188   , 0         , 3.5       , 6.83334   , 800       , 820       , 836.406   , 411.953   , 313.906   , 836.484   , 852.891   , 0.546876  , 0.976565  , 0.625002  , 0.781252  , 27.8672   , 72.1406   , 73.2891   , 19.3594   , 210       , 16.5      , 16.5      , 2.168     , 48.75     , 0         , 0.373413  , 0         , 0         , -6        , 13.1836   , 33.9569   , 7.80945   
    0.650, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.76063   , 99.2188   , 0         , 3.5       , 6.86112   , 800       , 820       , 836.406   , 412.813   , 311.484   , 836.484   , 856.25    , 0.527345  , 1.01563   , 0.625002  , 0.781252  , 27.9141   , 72.1406   , 73.2891   , 19.1016   , 210       , 16.5      , 16.5      , 2.17334   , 48.75     , 0         , 0.372681  , 0         , 0         , -6        , 13.2263   , 33.9569   , 7.74537   
    0.700, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.72095   , 99.2188   , 0         , 3.5       , 6.66667   , 800       , 820       , 836.406   , 412.969   , 310.938   , 836.484   , 855.078   , 0.527345  , 1.01563   , 0.625002  , 0.781252  , 27.9141   , 72.1406   , 73.2891   , 19.0547   , 210       , 16.5      , 16.5      , 2.16      , 48.75     , 0         , 0.373047  , 0         , 0         , -6        , 13.2263   , 33.9569   , 7.74232   
    0.750, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.73621   , 99.2188   , 0         , 3.5       , 6.50001   , 800       , 820       , 836.406   , 411.406   , 310.938   , 836.484   , 855       , 0.527345  , 1.01563   , 0.60547   , 0.800783  , 27.7734   , 72.1406   , 73.2891   , 19.0547   , 210       , 16.5      , 16.5      , 2.12534   , 48.75     , 0         , 0.371704  , 0         , 0         , -6.75     , 13.1424   , 33.9875   , 7.55311   
    0.800, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.56226   , 99.2188   , 0         , 3.5       , 6.41667   , 840       , 820       , 836.406   , 406.953   , 307.813   , 836.484   , 856.719   , 0.527345  , 1.01563   , 0.60547   , 0.800783  , 27.4219   , 72.1406   , 73.2891   , 18.8203   , 210       , 16.5      , 16.5      , 2.104     , 48.75     , 0         , 0.369934  , 0         , 0         , -6.75     , 12.9746   , 34.0531   , 7.21131   
    0.850, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.6294    , 99.2188   , 0         , 3.52778   , 6.61112   , 800       , 820       , 836.406   , 403.984   , 307.969   , 836.484   , 857.031   , 0.546876  , 1.05469   , 0.585939  , 0.820315  , 27.2344   , 72.1406   , 73.2891   , 18.9141   , 210       , 16.5      , 16.5      , 2.10934   , 48.75     , 0         , 0.368164  , 0         , 0         , -6.75     , 12.88     , 34.0531   , 7.3639    
    0.900, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.70569   , 99.2188   , 0         , 3.5       , 6.94445   , 800       , 820       , 836.406   , 408.438   , 309.844   , 836.484   , 854.063   , 0.546876  , 1.05469   , 0.585939  , 0.820315  , 27.5859   , 72.1406   , 73.2891   , 19.0313   , 210       , 16.5      , 16.5      , 2.17067   , 48.75     , 0         , 0.370423  , 0         , 0         , -6        , 13.0478   , 34.0088   , 7.75147   
    0.950, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.7118    , 99.2188   , 0         , 3.52778   , 7.11112   , 800       , 820       , 836.406   , 412.969   , 311.094   , 836.484   , 853.281   , 0.566408  , 1.09375   , 0.60547   , 0.820315  , 27.9141   , 72.1406   , 73.2891   , 19.0547   , 210       , 16.5      , 16.5      , 2.20534   , 48.75     , 0         , 0.373474  , 0         , 0         , -6        , 13.2233   , 33.9417   , 7.84302   
    1.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.72095   , 99.2188   , 0         , 3.5       , 6.77778   , 800       , 820       , 836.406   , 414.609   , 311.328   , 836.484   , 855.781   , 0.566408  , 1.09375   , 0.60547   , 0.820315  , 28.0313   , 72.1406   , 73.2891   , 19.0547   , 210       , 16.5      , 16.5      , 2.128     , 48.75     , 0         , 0.372193  , 0         , 0         , -6.75     , 13.2721   , 33.934    , 7.69044   
    1.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.724     , 99.2188   , 0         , 3.52778   , 6.30556   , 800       , 820       , 836.406   , 410.234   , 311.328   , 836.484   , 854.375   , 0.546876  , 1.09375   , 0.60547   , 0.800783  , 27.6563   , 72.1406   , 73.2891   , 19.0547   , 210       , 16.5      , 16.5      , 2.08267   , 48.75     , 0         , 0.372193  , 0         , 0         , -6        , 13.089    , 33.9569   , 7.83692   
    1.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.73621   , 99.2188   , 0         , 3.52778   , 6.36112   , 800       , 820       , 836.406   , 406.016   , 311.406   , 836.484   , 854.375   , 0.546876  , 1.09375   , 0.60547   , 0.800783  , 27.2813   , 72.1406   , 73.2891   , 19.0547   , 210       , 16.5      , 16.5      , 2.09334   , 48.75     , 0         , 0.372315  , 0         , 0         , -5.25     , 12.9669   , 33.9279   , 7.64466   
