
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 108 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  28.07.2019 10:17:54.045

TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , ps_w      , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , vfil_w    , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , km/h      , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","","BaroPressure","","BoostPressureActual","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","VehicleSpeed","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch",""
    0.000, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 0         , 1         , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 23.0469   , 99.9985   , 23.0469   , 99.2188   , 0         , 0         , 0         , 0         , 800       , 820       , 831.563   , 832.813   , 840.391   , 840.391   , 3.98439   , 3.98439   , 3.98439   , 3.98439   , 3.98439   , 0         , 99.75     , 99.9844   , 84.2109   , 84.2109   , 56.0391   , 49.9997   , 69.75     , 69.75     , 0         , 108.75    , 108.75    , 0.791856  , 4.20857   , 0.00488281, 0.732421  , 0.366211  , 0         , 2.35294   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 11.8976   , 0         , 0         , 0         , 0         , 0         
    0.050, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 0         , 1         , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 23.0469   , 99.9985   , 23.0469   , 99.2188   , 0         , 0         , 0         , 0         , 800       , 820       , 831.563   , 831.563   , 842.188   , 842.188   , 3.98439   , 3.98439   , 3.98439   , 3.98439   , 3.98439   , 0         , 99.75     , 99.9844   , 84.2109   , 84.2109   , 56.0391   , 49.9997   , 69.75     , 69.75     , 0         , 108.75    , 108.75    , 0.791856  , 4.20857   , 0         , 0.732421  , 0.366211  , 0         , 2.35294   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 11.968    , 0         , 0         , 0         , 0         , 0         
    0.100, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 0         , 1         , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 23.0469   , 99.9985   , 23.0469   , 99.2188   , 0         , 0         , 0         , 0         , 800       , 820       , 831.563   , 831.563   , 840.625   , 840.625   , 3.98439   , 3.98439   , 3.98439   , 3.98439   , 3.98439   , 0         , 99.75     , 99.9844   , 84.2109   , 84.2109   , 56.0391   , 49.9997   , 69.75     , 69.75     , 0         , 108.75    , 108.75    , 0.791856  , 4.21346   , 0.00488281, 0.732421  , 0.366211  , 0         , 2.35294   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 11.968    , 0         , 0         , 0         , 0         , 0         
    0.150, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 0         , 1         , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 23.0469   , 99.9985   , 23.0469   , 99.2188   , 0         , 0         , 0         , 0         , 800       , 820       , 831.563   , 832.813   , 840.391   , 840.391   , 3.98439   , 3.98439   , 3.98439   , 3.98439   , 3.98439   , 0         , 99.75     , 99.9844   , 84.2109   , 84.2109   , 56.0391   , 49.9997   , 69.75     , 69.75     , 0         , 108.75    , 108.75    , 0.796744  , 4.20857   , 0.00488281, 0.732421  , 0.366211  , 0         , 2.35294   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 11.968    , 0         , 0         , 0         , 0         , 0         
    0.200, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 0         , 1         , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 23.0469   , 99.9985   , 23.0469   , 99.2188   , 0         , 0         , 0         , 0         , 800       , 820       , 831.563   , 832.813   , 842.578   , 842.656   , 3.98439   , 3.98439   , 3.98439   , 3.98439   , 3.98439   , 0         , 99.75     , 99.9844   , 84.2109   , 84.2109   , 56.0391   , 49.9997   , 69.75     , 69.75     , 0         , 108.75    , 108.75    , 0.791856  , 4.21346   , 0.00488281, 0.732421  , 0.366211  , 0         , 2.35294   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 11.968    , 0         , 0         , 0         , 0         , 0         
    0.250, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 0         , 1         , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 23.0469   , 99.9985   , 23.0469   , 99.2188   , 0         , 0         , 0         , 0         , 800       , 820       , 831.563   , 831.563   , 842.578   , 842.656   , 3.98439   , 3.98439   , 3.98439   , 3.98439   , 3.98439   , 0         , 99.75     , 99.9844   , 84.2109   , 84.2109   , 56.0391   , 49.9997   , 69.75     , 69.75     , 0         , 108.75    , 108.75    , 0.791856  , 4.21346   , 0.00488281, 0.732421  , 0.366211  , 0         , 2.35294   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 11.968    , 0         , 0         , 0         , 0         , 0         
    0.300, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 0         , 1         , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 23.0469   , 99.9985   , 23.0469   , 99.2188   , 0         , 0         , 0         , 0         , 800       , 820       , 831.563   , 831.563   , 840.313   , 840.313   , 3.98439   , 3.98439   , 3.98439   , 3.98439   , 3.98439   , 0         , 99.75     , 99.9844   , 84.2109   , 84.2109   , 56.0391   , 49.9997   , 69.75     , 69.75     , 0         , 108.75    , 108.75    , 0.796744  , 4.20857   , 0.00488281, 0.732421  , 0.366211  , 0         , 2.35294   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 11.968    , 0         , 0         , 0         , 0         , 0         
    0.350, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 0         , 1         , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 23.0469   , 99.9985   , 23.0469   , 99.2188   , 0         , 0         , 0         , 0         , 800       , 820       , 831.563   , 831.563   , 840.703   , 840.703   , 3.98439   , 3.98439   , 3.98439   , 3.98439   , 3.98439   , 0         , 99.75     , 99.9844   , 84.2109   , 84.2109   , 56.0391   , 49.9997   , 69.75     , 69.75     , 0         , 108.75    , 108.75    , 0.796744  , 4.20857   , 0.00488281, 0.732421  , 0.366211  , 0         , 2.35294   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 11.968    , 0         , 0         , 0         , 0         , 0         
