TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdkds_w  , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , B_mibeg   , mibas_w   , mimax_w   , misolv_w  , B_mdein   , mizsolv_w , milsol_w  , milsolv_w , B_dash    , B_lsd     , B_dashv   , dmar_w    , zwbas     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           ,           , , ,           , , , ,           ,           ,           , , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","","TorqueLimit","TorqueBeforeLimitation","","TorqueForTimingIntervention","","","","","","",""
    0.400, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.27778   , 12.6945   , 2440      , 840       , 840.313   , 235       , 161.641   , 840.234   , 1004.38   , 861.328   , 861.328   , 1.71875   , 2.10938   , 1.64063   , 2.34376   , 17.9531   , 125.227   , 127.219   , 10.9688   , 325       , 66        , 66        , 1.76534   , 108       , 71.5313   , 0.192322  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 7.08008   , 44.9616   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    0.450, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.27778   , 12.5      , 2400      , 840       , 840.313   , 233.359   , 161.797   , 840.234   , 1004.38   , 861.328   , 861.328   , 1.71875   , 2.10938   , 1.64063   , 2.34376   , 17.7891   , 124.031   , 126       , 10.9688   , 325       , 66        , 66        , 1.77067   , 108       , 71.4453   , 0.192505  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 7.02057   , 45.2179   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    0.500, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.27778   , 12.5556   , 2400      , 840       , 840.313   , 233.516   , 161.797   , 840.234   , 1004.38   , 861.328   , 861.328   , 1.71875   , 2.26563   , 1.64063   , 2.18751   , 17.8125   , 124.711   , 126.703   , 10.9688   , 325       , 66        , 66        , 1.77067   , 108       , 71.3594   , 0.192505  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 6.99463   , 44.7419   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    0.550, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.27778   , 12.5      , 2400      , 840       , 840.313   , 232.578   , 161.875   , 840.234   , 1004.38   , 861.328   , 861.328   , 1.71875   , 2.26563   , 1.64063   , 2.18751   , 17.7188   , 123.563   , 125.531   , 10.9688   , 325       , 66        , 66        , 1.75734   , 108       , 71.3203   , 0.192627  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 6.93207   , 44.9997   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    0.600, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.22223   , 12.4167   , 2400      , 840       , 840.313   , 232.031   , 161.875   , 840.234   , 1004.38   , 861.328   , 861.328   , 1.875     , 2.26563   , 1.64063   , 2.18751   , 17.6484   , 123.938   , 125.906   , 10.9688   , 325       , 66        , 66        , 1.75467   , 108       , 71.2109   , 0.192627  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 6.90613   , 44.574    , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    0.650, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.22223   , 12.8889   , 2400      , 840       , 840.313   , 233.828   , 161.875   , 840.234   , 1004.38   , 861.328   , 861.328   , 1.875     , 2.26563   , 1.64063   , 2.18751   , 17.8359   , 123.141   , 125.109   , 10.9688   , 325       , 66        , 66        , 1.77334   , 108       , 71.1563   , 0.192627  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 6.96106   , 44.7281   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    0.700, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.13889   , 12.8611   , 2400      , 840       , 840.313   , 237.188   , 161.875   , 840.234   , 1004.38   , 861.328   , 861.328   , 1.95313   , 2.10938   , 1.64063   , 2.18751   , 18.1406   , 123.258   , 125.227   , 10.9688   , 325       , 66        , 66        , 1.78134   , 108       , 71.0391   , 0.192627  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 7.19147   , 44.4077   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    0.750, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.13889   , 12.6945   , 2400      , 840       , 840.313   , 236.25    , 161.875   , 840.234   , 1004.38   , 861.328   , 861.328   , 1.95313   , 2.10938   , 1.64063   , 2.18751   , 18.0703   , 122.555   , 124.5     , 10.9688   , 320       , 66        , 66        , 1.77334   , 108       , 70.9844   , 0.192627  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 7.13349   , 44.4535   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    0.800, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.13889   , 12.3611   , 2400      , 840       , 840.313   , 233.125   , 161.875   , 840.234   , 1004.38   , 861.328   , 861.328   , 1.875     , 2.10938   , 1.79688   , 2.18751   , 17.7656   , 122.813   , 124.758   , 10.9688   , 320       , 66        , 66        , 1.76      , 108       , 70.8672   , 0.192627  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 6.98853   , 44.188    , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    0.850, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.13889   , 12.4445   , 2400      , 840       , 840.313   , 232.031   , 162.109   , 840.234   , 1004.38   , 861.328   , 861.328   , 1.875     , 2.10938   , 1.79688   , 2.18751   , 17.6484   , 121.805   , 123.75    , 10.9688   , 320       , 66        , 66        , 1.77334   , 108       , 70.8516   , 0.192871  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 6.87256   , 44.2841   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
