
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 114 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  08.08.2020 16:08:45.881

TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , ps_w      , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , vfil_w    , vpssplg_w , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      , mibas_w   , mimax_w   
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , km/h      , -         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           ,           , 
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","","BaroPressure","","BoostPressureActual","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","VehicleSpeed","","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch","","","TorqueLimit"
    0.000, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 1         , 0.99997   , 1         , 2         , 1         , 0         , 3         , 0         , 1         , 0         , 10.7452   , 99.9985   , 10.7452   , 99.2188   , 0         , 5.27778   , 6.13889   , 760       , 800       , 820       , 518.75    , 829.063   , 981.016   , 848.516   , 0.781252  , 0.703127  , 0.859377  , 0.820315  , 0.937502  , 0         , 26.25     , 26.5781   , 105.211   , 109.547   , 25.0313   , 198.3     , 64.5      , 64.5      , 1.98934   , 90        , 90        , 0.752752  , 4.25256   , 0.732421  , 0.732421  , 0.366211  , 0         , 0.585205  , 1.17647   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.1648   , 11.25     , 0         , 0         , 0         , 0         , 12.6114   , 45.8008   
    0.050, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 1         , 0.99997   , 1         , 2         , 1         , 0         , 3         , 0         , 1         , 0         , 11.0535   , 99.9985   , 11.0535   , 99.2188   , 0         , 5.16667   , 6.33334   , 760       , 800       , 820       , 522.813   , 829.063   , 981.016   , 848.516   , 0.781252  , 0.722658  , 0.820315  , 0.859377  , 0.89844   , 0         , 26.25     , 26.3906   , 105.211   , 109.547   , 25.7109   , 198.3     , 64.5      , 64.5      , 2.016     , 90        , 90        , 0.752752  , 4.25745   , 0.732421  , 0.732421  , 0.366211  , 0         , 0.615296  , 1.17647   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.1648   , 19.5      , 0         , 0         , 0         , 0         , 12.4207   , 45.4254   
    0.100, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 1         , 0.99997   , 1         , 2         , 1         , 0         , 3         , 0         , 1         , 0         , 11.1664   , 99.9985   , 11.1664   , 99.2188   , 0         , 5.16667   , 6.19445   , 760       , 800       , 820       , 525.391   , 829.063   , 979.766   , 847.422   , 0.781252  , 0.722658  , 0.820315  , 0.859377  , 0.89844   , 0         , 26.25     , 26.5078   , 105.211   , 109.547   , 26.3438   , 198.3     , 64.5      , 64.5      , 2.01067   , 90        , 90        , 0.752752  , 4.25745   , 0.732421  , 0.732421  , 0.366211  , 0         , 0.627747  , 1.17647   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.1648   , 14.25     , 0         , 0         , 0         , 0         , 12.5153   , 45.3568   
    0.150, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 1         , 0.99997   , 1         , 2         , 1         , 0         , 3         , 0         , 1         , 0         , 10.7178   , 99.9985   , 10.7178   , 99.2188   , 0         , 5.16667   , 6.02778   , 800       , 800       , 820       , 524.141   , 829.063   , 980.938   , 848.359   , 0.781252  , 0.742189  , 0.781252  , 0.859377  , 0.89844   , 0         , 26.25     , 26.4375   , 105.211   , 109.547   , 25.5938   , 198.3     , 65.25     , 66        , 1.98134   , 90        , 90.75     , 0.752752  , 4.25745   , 0.71289   , 0.732421  , 0.366211  , 0         , 0.616028  , 1.17647   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.1648   , 11.25     , 0         , 0         , 0         , 0         , 12.6404   , 45.9534   
    0.200, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 1         , 0.99997   , 1         , 2         , 1         , 0         , 3         , 0         , 1         , 0         , 10.8002   , 99.9985   , 10.8002   , 99.2188   , 0         , 5.16667   , 6.11112   , 760       , 800       , 820       , 522.578   , 829.063   , 981.016   , 848.516   , 0.781252  , 0.742189  , 0.781252  , 0.859377  , 0.89844   , 0         , 26.25     , 26.5781   , 105.211   , 109.547   , 25.1484   , 197.402   , 65.25     , 66        , 1.992     , 90        , 90.75     , 0.752752  , 4.25256   , 0.71289   , 0.732421  , 0.366211  , 0         , 0.608948  , 1.17647   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.2352   , 10.5      , 0         , 0         , 0         , 0         , 12.6755   , 45.8008   
    0.250, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 1         , 0.99997   , 1         , 2         , 1         , 0         , 3         , 0         , 1         , 0         , 10.9009   , 99.9985   , 10.9009   , 99.2188   , 0         , 5.16667   , 6.11112   , 800       , 800       , 820       , 520.938   , 827.813   , 981.016   , 848.516   , 0.820315  , 0.761721  , 0.781252  , 0.820315  , 0.859377  , 0         , 26.25     , 26.4844   , 105.211   , 109.547   , 25.3594   , 197.402   , 64.5      , 64.5      , 1.99467   , 90        , 90        , 0.752752  , 4.25745   , 0.732421  , 0.732421  , 0.366211  , 0         , 0.606751  , 1.17647   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.1648   , 11.25     , 0         , 0         , 0         , 0         , 12.6144   , 45.6986   
    0.300, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 1         , 0.99997   , 1         , 2         , 1         , 0         , 3         , 0         , 1         , 0         , 11.1572   , 99.9985   , 11.1572   , 99.2188   , 0         , 5.19445   , 6.22223   , 760       , 800       , 820       , 523.359   , 827.813   , 981.719   , 849.141   , 0.820315  , 0.761721  , 0.781252  , 0.820315  , 0.859377  , 0         , 26.25     , 26.3906   , 105.211   , 109.547   , 26.1563   , 197.402   , 64.5      , 64.5      , 2.00267   , 90        , 90        , 0.752752  , 4.25745   , 0.727539  , 0.732421  , 0.366211  , 0         , 0.60553   , 1.17647   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.1648   , 20.25     , 0         , 0         , 0         , 0         , 12.5809   , 45.3736   
    0.350, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 1         , 0.99997   , 1         , 2         , 1         , 0         , 3         , 0         , 1         , 0         , 11.1328   , 99.9985   , 11.1328   , 99.2188   , 0         , 5.16667   , 6         , 800       , 800       , 820       , 523.828   , 827.813   , 981.172   , 848.594   , 0.820315  , 0.761721  , 0.820315  , 0.859377  , 0.859377  , 0         , 26.25     , 26.4609   , 105.211   , 109.547   , 25.9219   , 197.402   , 64.5      , 64.5      , 1.98934   , 90        , 90.75     , 0.752752  , 4.25256   , 0.717773  , 0.732421  , 0.366211  , 0         , 0.622254  , 1.17647   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.1648   , 12.75     , 0         , 0         , 0         , 0         , 12.59     , 45.459    
