TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , ps_w      , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , vfil_w    , vpssplg_w , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , km/h      , -         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","","BaroPressure","","BoostPressureActual","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","VehicleSpeed","","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch",""
    0.400, 0         , 0         , -1.5      , 0         , 0         , 0         , 0.828125  , 2         , 1.05542   , 0.908265  , 1.07587   , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 26.5564   , 99.9985   , 26.5564   , 99.2188   , 58.3039   , 19.6389   , 19.3611   , 1200      , 1160      , 840       , 747.266   , 841.484   , 1168.59   , 874.141   , 1.09375   , 0.976565  , 1.44532   , 1.44532   , 1.71875   , 0         , 54.75     , 54.8203   , 80.5547   , 85.4766   , 58.1016   , 524.647   , 44.25     , 44.25     , 2.88534   , 99.75     , 99.75     , 1.00204   , 4.00327   , 1.05957   , 1.68945   , 0.844726  , 0.695313  , 0.922181  , 7.84314   , -0        , -0        , -0        , -0        , 0         , 1.125     , 31.1146   , 12.8832   , 10.5      , 0         , 0         , 1         , 1         
    0.450, 0         , 0         , -1.5      , 0         , 0         , 0         , 0.828125  , 2         , 1.05319   , 0.908265  , 1.07587   , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 26.7304   , 99.9985   , 26.7304   , 99.2188   , 59.079    , 19.6111   , 19.0278   , 1160      , 1140      , 840       , 753.359   , 841.484   , 1167.97   , 874.141   , 1.09375   , 0.976565  , 1.44532   , 1.44532   , 1.71875   , 0         , 54.75     , 55.125    , 80.625    , 85.3125   , 58.6406   , 524.647   , 44.25     , 44.25     , 2.872     , 99.75     , 99.75     , 1.00204   , 4.00327   , 1.05957   , 1.69922   , 0.844726  , 1.05469   , 0.940797  , 7.84314   , -0        , -0        , -0        , -0        , 0         , 1.125     , 31.1146   , 12.8128   , 10.5      , 0         , 0         , 1         , 1         
    0.500, 0         , 0         , -1.5      , 0         , 0         , 0         , 0.828125  , 2         , 1.05106   , 0.908265  , 1.07587   , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 27.2339   , 99.9985   , 27.2339   , 99.2188   , 60.6446   , 19.4722   , 18.75     , 1120      , 1130      , 840       , 755.938   , 841.484   , 1166.33   , 874.141   , 1.05469   , 0.937502  , 1.40625   , 1.40625   , 1.64063   , 0         , 54.75     , 55.2188   , 80.625    , 85.1953   , 59.625    , 525.389   , 44.25     , 44.25     , 2.856     , 99.75     , 99.75     , 1.00204   , 4.00327   , 1.0498    , 1.69434   , 0.849609  , 1.23438   , 0.951966  , 7.84314   , -0        , -0        , -0        , -0        , 0         , 1.125     , 31.4747   , 12.8128   , 11.25     , 0         , 0         , 1         , 1         
    0.550, 0         , 0         , -1.5      , 0         , 0         , 0         , 0.828125  , 18        , 1.07559   , 0.908265  , 1.07309   , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 27.3133   , 99.9985   , 27.3133   , 99.2188   , 61.0749   , 19.3611   , 18.4445   , 1120      , 1100      , 840       , 757.969   , 841.484   , 1163.98   , 874.141   , 1.05469   , 0.937502  , 1.40625   , 1.40625   , 1.64063   , 0         , 54.75     , 55.2891   , 80.6719   , 85.1016   , 60        , 525.389   , 44.25     , 44.25     , 2.87734   , 99.75     , 99.75     , 1.00204   , 4.00327   , 1.0498    , 1.7041    , 0.849609  , 1.44531   , 0.962159  , 7.84314   , -0        , -0        , -0        , -0        , 0         , 1.125     , 31.4747   , 12.8128   , 12        , 0         , 0         , 1         , 1         
    0.600, 0         , 0         , -1.5      , 0         , 0         , 0         , 0.828125  , 2         , 1.07773   , 0.908265  , 1.07309   , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 27.7863   , 99.9985   , 27.7863   , 99.2188   , 62.3993   , 19.25     , 18.2778   , 1120      , 1090      , 860       , 760.234   , 841.484   , 1161.09   , 874.141   , 1.01563   , 0.89844   , 1.36719   , 1.36719   , 1.5625    , 0         , 54.75     , 55.3828   , 80.7188   , 85.0078   , 61.0547   , 525.389   , 44.25     , 44.25     , 2.93067   , 99.75     , 99.75     , 1.00204   , 4.00327   , 1.02539   , 1.71387   , 0.854492  , 1.69531   , 0.976197  , 7.84314   , -0        , -0        , -0        , -0        , 0         , 1.125     , 31.8349   , 12.8128   , 15        , 0         , 0         , 1         , 1         
    0.650, 0         , 0         , -1.5      , 0         , 0         , 0         , 0.828125  , 18        , 1.07987   , 0.908265  , 1.07309   , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 28.1464   , 99.9985   , 28.1464   , 99.2188   , 63.5987   , 19.3333   , 17.75     , 1080      , 1070      , 860       , 761.172   , 841.484   , 1157.66   , 874.141   , 1.01563   , 0.89844   , 1.36719   , 1.36719   , 1.5625    , 0         , 54.75     , 55.2891   , 80.7422   , 84.8672   , 61.875    , 525.389   , 44.25     , 44.25     , 2.912     , 99.75     , 99.75     , 1.00693   , 3.99838   , 1.03516   , 1.72363   , 0.859375  , 2.15625   , 0.992799  , 7.84314   , -0        , -0        , -0        , -0        , 0         , 1.125     , 32.1934   , 12.672    , 15        , 0         , 0         , 1         , 1         
    0.700, 0         , 0         , -1.5      , 0         , 0         , 0         , 0.828125  , 2         , 1.082     , 0.908265  , 1.07309   , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 28.1555   , 99.9985   , 28.1555   , 99.2188   , 63.7696   , 20.1111   , 21.5278   , 1080      , 1060      , 860       , 780.313   , 841.484   , 1164.06   , 882.188   , 0.976565  , 0.859377  , 1.32813   , 1.32813   , 1.48438   , 0         , 56.25     , 56.9766   , 80.7422   , 84.8672   , 61.8984   , 526.405   , 44.25     , 44.25     , 3.11734   , 99.75     , 99.75     , 1.0167    , 3.98861   , 1.02051   , 1.72851   , 0.864257  , 2.39063   , 0.992921  , 8.2353    , -0        , -0        , -0        , -0        , 0         , 1.125     , 32.1934   , 12.8128   , 15        , 0         , 0         , 1         , 1         
    0.750, 0         , 0         , -1.5      , 0         , 0         , 0         , 0.828125  , 2         , 1.08414   , 0.908265  , 1.07309   , 0         , 0         , 0         , 0         , 0         , 0.999757  , 1.95313   , 28.4943   , 99.9985   , 28.4943   , 99.2188   , 64.9384   , 19.9167   , 15.9445   , 1080      , 1050      , 880       , 761.172   , 841.484   , 1152.81   , 879.609   , 0.976565  , 0.859377  , 1.32813   , 1.32813   , 1.48438   , 0         , 54.75     , 55.2422   , 80.7656   , 84.8203   , 62.9063   , 526.405   , 44.25     , 44.25     , 2.81334   , 99.75     , 99.75     , 1.02159   , 3.98861   , 1.06934   , 1.7334    , 0.864257  , 2.66406   , 1.00275   , 8.2353    , -0        , -0        , -0        , -0        , 0         , 1.125     , 32.5536   , 12.8128   , 15        , 0         , 0         , 1         , 1         
    0.800, 0         , 0         , -1.5      , 0         , 0         , 0         , 0.828125  , 2         , 1.08627   , 0.908265  , 1.07309   , 0         , 0         , 0         , 0         , 0         , 0.999757  , 1.95313   , 28.4699   , 99.9985   , 28.4699   , 99.2188   , 64.9567   , 19.8056   , 17.3333   , 1080      , 1040      , 880       , 767.422   , 841.484   , 1148.67   , 880.156   , 0.937502  , 0.859377  , 1.28907   , 1.28907   , 1.48438   , 0         , 55.5      , 55.6875   , 80.7656   , 84.7266   , 62.8594   , 526.405   , 44.25     , 44.25     , 2.896     , 99.75     , 99.75     , 1.02159   , 3.98861   , 1.04492   , 1.73828   , 0.864257  , 2.91406   , 1.00812   , 8.2353    , -0        , -0        , -0        , -0        , 0         , 1.125     , 32.5536   , 12.7424   , 15        , 0         , 0         , 1         , 1         
    0.850, 0         , 0         , -1.5      , 0         , 0         , 0         , 0.828125  , 2         , 1.08798   , 0.908265  , 1.07309   , 0         , 0         , 0         , 0         , 0         , 0.999757  , 2.34375   , 28.7262   , 99.9985   , 28.7262   , 99.2188   , 65.8295   , 19.8056   , 17.1945   , 1040      , 1030      , 900       , 768.906   , 841.484   , 1143.59   , 880.156   , 0.937502  , 0.859377  , 1.28907   , 1.28907   , 1.48438   , 0         , 55.5      , 55.8281   , 80.7891   , 84.7031   , 63.4688   , 526.405   , 44.25     , 44.25     , 2.90134   , 99.75     , 99.75     , 1.02159   , 3.98861   , 1.03027   , 1.7334    , 0.864257  , 3.21094   , 1.01666   , 8.2353    , -0        , -0        , -0        , -0        , 0         , 1.125     , 32.9137   , 12.8128   , 15        , 0         , 0         , 1         , 1         
