TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , ps_w      , pus_w     , pvdk_w    , pvdks_w   , rkat_w    , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , vfil_w    , vpssplg_w , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      , mibas_w   , mimax_w   
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , km/h      , -         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           ,           , 
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","","BaroPressure","","BoostPressureActual","AdaptationIdle","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","VehicleSpeed","","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch","","","TorqueLimit"
    0.400, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0.799256  , 0.99997   , 0.776917  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 13.1317   , 99.9985   , 13.1317   , 99.2188   , 0         , 9.66667   , 15.25     , 840       , 860       , 820       , 705.078   , 826.641   , 1064.53   , 866.641   , 0         , 0.820315  , 0.566408  , 0.722658  , 0.859377  , 4.06251   , 0         , 61.5      , 61.5      , 105.609   , 107.578   , 36.0469   , 404.764   , 29.25     , 29.25     , 2.688     , 39.75     , 40.5      , 0.821184  , 4.18902   , 0.888671  , 0.732421  , 0.366211  , 0         , 0.543641  , 3.13726   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.728    , -15.75    , 1         , 1         , 0         , 1         , 28.8971   , 46.8552   
    0.450, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.801087  , 0.99997   , 0.776917  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 13.147    , 99.9985   , 13.147    , 99.2188   , 0         , 9.69445   , 15.4445   , 840       , 860       , 820       , 707.422   , 826.641   , 1068.36   , 869.766   , 0         , 0.820315  , 0.566408  , 0.722658  , 0.859377  , 4.06251   , 0         , 61.5      , 61.7344   , 105.609   , 107.578   , 36.0938   , 404.764   , 29.25     , 29.25     , 2.71467   , 39.75     , 40.5      , 0.821184  , 4.18902   , 0.874023  , 0.732421  , 0.366211  , 0         , 0.544007  , 3.13726   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.7984   , -16.5     , 1         , 1         , 0         , 1         , 28.891    , 46.8384   
    0.500, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.802918  , 0.99997   , 0.776917  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 13.0829   , 99.9985   , 13.0829   , 99.2188   , 0         , 9.72223   , 15.1945   , 840       , 860       , 820       , 702.266   , 826.641   , 1070.47   , 871.484   , 0         , 0.820315  , 0.566408  , 0.703127  , 0.878909  , 4.21876   , 0         , 60.75     , 61.2188   , 105.609   , 107.578   , 35.9531   , 404.764   , 29.25     , 29.25     , 2.68534   , 39.75     , 40.5      , 0.821184  , 4.18902   , 0.883789  , 0.732421  , 0.366211  , 0         , 0.543457  , 3.13726   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.728    , -15.75    , 1         , 1         , 0         , 1         , 28.7628   , 46.8216   
    0.550, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.804749  , 0.99997   , 0.776917  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 13.0676   , 99.9985   , 13.0676   , 99.2188   , 0         , 9.66667   , 15.5      , 840       , 860       , 820       , 704.063   , 826.641   , 1068.13   , 869.609   , 0         , 0.820315  , 0.566408  , 0.703127  , 0.878909  , 4.21876   , 0         , 60.75     , 61.4063   , 105.609   , 107.578   , 35.9063   , 404.921   , 29.25     , 29.25     , 2.72534   , 39.75     , 40.5      , 0.821184  , 4.1939    , 0.883789  , 0.732421  , 0.366211  , 0         , 0.541565  , 3.13726   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.6576   , -15.75    , 1         , 1         , 0         , 1         , 28.7689   , 46.8384   
    0.600, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.784974  , 0.99997   , 0.776917  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 12.9059   , 99.9985   , 12.9059   , 99.2188   , 0         , 9.75001   , 15.5833   , 880       , 860       , 820       , 701.172   , 826.641   , 1069.53   , 870.703   , 0         , 0.859377  , 0.585939  , 0.722658  , 0.89844   , 4.21876   , 0         , 60.75     , 61.1484   , 105.609   , 107.578   , 35.5313   , 404.921   , 29.25     , 29.25     , 2.648     , 39.75     , 40.5      , 0.821184  , 4.1939    , 0.854492  , 0.732421  , 0.366211  , 0         , 0.536927  , 3.13726   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.728    , -17.25    , 1         , 1         , 0         , 1         , 28.7857   , 46.9071   
    0.650, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.783143  , 0.99997   , 0.776917  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 12.7899   , 99.9985   , 12.7899   , 99.2188   , 0         , 9.72223   , 15.1111   , 880       , 860       , 820       , 693.281   , 826.641   , 1068.52   , 869.922   , 0         , 0.859377  , 0.585939  , 0.722658  , 0.89844   , 4.21876   , 0         , 60        , 60.5625   , 105.609   , 107.578   , 35.2266   , 404.921   , 29.25     , 29.25     , 2.592     , 39.75     , 40.5      , 0.821184  , 4.1939    , 0.864257  , 0.732421  , 0.366211  , 0         , 0.53003   , 3.13726   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.728    , -17.25    , 1         , 1         , 0         , 1         , 28.4714   , 47.1985   
    0.700, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.781312  , 0.99997   , 0.776917  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 12.8998   , 99.9985   , 12.8998   , 99.2188   , 0         , 9.75001   , 15.0556   , 840       , 860       , 820       , 688.906   , 826.641   , 1064.77   , 866.797   , 0         , 0.89844   , 0.566408  , 0.742189  , 0.89844   , 4.06251   , 0         , 60        , 60.0703   , 105.609   , 107.578   , 35.5781   , 404.921   , 29.25     , 29.25     , 2.58934   , 39.75     , 40.5      , 0.816296  , 4.1939    , 0.864257  , 0.732421  , 0.366211  , 0         , 0.533265  , 3.13726   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.7984   , -15.75    , 1         , 1         , 0         , 1         , 28.3585   , 47.1131   
    0.750, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.779481  , 0.99997   , 0.776917  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 12.8876   , 99.9985   , 12.8876   , 99.2188   , 0         , 9.66667   , 15.5833   , 840       , 860       , 820       , 692.109   , 826.641   , 1066.17   , 867.969   , 0         , 0.89844   , 0.566408  , 0.742189  , 0.89844   , 4.06251   , 0         , 60        , 60.2578   , 105.609   , 107.578   , 35.5547   , 405.038   , 29.25     , 29.25     , 2.59467   , 39.75     , 40.5      , 0.816296  , 4.19879   , 0.874023  , 0.732421  , 0.366211  , 0         , 0.536744  , 3.13726   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.728    , -16.5     , 1         , 1         , 0         , 1         , 28.4287   , 46.8903   
    0.800, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0.777649  , 0.99997   , 0.776917  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 12.8906   , 99.9985   , 12.8906   , 99.2188   , 0         , 9.66667   , 15.2222   , 840       , 860       , 820       , 693.359   , 826.641   , 1068.05   , 869.531   , 0         , 0.859377  , 0.566408  , 0.742189  , 0.878909  , 4.21876   , 0         , 60        , 60.4453   , 105.609   , 107.578   , 35.5781   , 405.038   , 29.25     , 29.25     , 2.584     , 39.75     , 40.5      , 0.816296  , 4.18902   , 0.86914   , 0.732421  , 0.366211  , 0         , 0.534851  , 3.13726   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.6576   , -15.75    , 1         , 1         , 0         , 1         , 28.6896   , 46.9925   
    0.850, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.775879  , 0.99997   , 0.775879  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 12.97     , 99.9985   , 12.97     , 99.2188   , 0         , 9.6389    , 15.3056   , 840       , 860       , 820       , 694.453   , 826.641   , 1066.25   , 868.125   , 0         , 0.859377  , 0.566408  , 0.742189  , 0.878909  , 4.21876   , 0         , 60        , 60.4688   , 105.609   , 107.578   , 35.7891   , 405.038   , 29.25     , 29.25     , 2.58934   , 39.75     , 40.5      , 0.816296  , 4.1939    , 0.878906  , 0.732421  , 0.366211  , 0         , 0.540162  , 3.13726   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.728    , -16.5     , 1         , 1         , 0         , 1         , 28.5691   , 46.8552   
