
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 73 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  13.01.2018 12:20:06.433

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    0.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 8.48694   , 99.2188   , 0         , 4.02778   , 6.72223   , 840       , 820       , 829.141   , 370       , 297.656   , 829.063   , 986.016   , 852.813   , 0.527345  , 0.722658  , 0.546876  , 0.664064  , 27.4219   , 72.1406   , 73.2891   , 20.3672   , 195       , 8.25      , 8.25      , 2.09067   , 42.75     , 0         , 0.358948  , 0.949982  , 0         , 0         , -2.25     , 12.9807   , 34.0988   , 8.52662   
    0.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 8.5907    , 99.2188   , 0         , 4.02778   , 6.36112   , 840       , 820       , 829.141   , 366.797   , 297.422   , 829.063   , 985.391   , 852.266   , 0.527345  , 0.722658  , 0.546876  , 0.683596  , 27.1641   , 72.1406   , 73.2891   , 20.4141   , 195       , 8.25      , 8.25      , 2.05334   , 42.75     , 0         , 0.358704  , 0.949982  , 0         , 0         , -1.5      , 12.8388   , 34.0454   , 8.67005   
    0.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 8.54493   , 99.2188   , 0         , 4.02778   , 6.36112   , 840       , 820       , 829.141   , 363.438   , 298.906   , 829.063   , 982.344   , 849.609   , 0.527345  , 0.722658  , 0.546876  , 0.683596  , 26.7891   , 72.1406   , 73.2891   , 20.4844   , 195       , 8.25      , 8.25      , 2.03467   , 42.75     , 0         , 0.360779  , 0.949982  , 0         , 0         , 0         , 12.6984   , 34.076    , 8.73109   
    0.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 8.56324   , 99.2188   , 0         , 4.02778   , 6.83334   , 840       , 820       , 829.141   , 363.828   , 297.344   , 829.063   , 985.313   , 852.188   , 0.546876  , 0.703127  , 0.566408  , 0.703127  , 26.8594   , 72.1406   , 73.2891   , 20.3672   , 195       , 8.25      , 8.25      , 2.056     , 42.75     , 0         , 0.358582  , 0.949982  , 0         , 0         , -0.75     , 12.6968   , 34.0683   , 8.62427   
    0.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 8.46253   , 99.2188   , 0         , 4.02778   , 6.80556   , 840       , 820       , 829.141   , 365       , 297.109   , 829.063   , 985.781   , 852.656   , 0.546876  , 0.703127  , 0.566408  , 0.703127  , 26.9531   , 72.1406   , 73.2891   , 20.3438   , 195       , 8.25      , 8.25      , 2.05867   , 42.75     , 0         , 0.358032  , 0.949982  , 0         , 0         , -0.75     , 12.7701   , 34.1202   , 8.46253   
    0.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 8.48389   , 99.2188   , 0         , 4.02778   , 6.75001   , 840       , 820       , 829.141   , 365.313   , 297.188   , 829.063   , 983.984   , 851.094   , 0.566408  , 0.683596  , 0.585939  , 0.703127  , 27        , 72.1406   , 73.2891   , 20.3672   , 195       , 8.25      , 8.25      , 2.104     , 42.75     , 0         , 0.358399  , 0.949982  , 0         , 0         , -0.75     , 12.735    , 34.1049   , 8.50526   
    0.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 8.49305   , 99.2188   , 0         , 4.02778   , 7.00001   , 840       , 820       , 829.141   , 367.891   , 297.656   , 829.063   , 985.938   , 852.734   , 0.566408  , 0.683596  , 0.585939  , 0.703127  , 27.2578   , 72.1406   , 73.2891   , 20.4141   , 195       , 8.25      , 8.25      , 2.11467   , 42.75     , 0         , 0.356873  , 0.949982  , 0         , 0         , -1.5      , 12.8845   , 34.0393   , 8.70972   
    0.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 8.49915   , 99.2188   , 0         , 4.02778   , 6.72223   , 840       , 820       , 829.141   , 368.125   , 298.203   , 829.063   , 986.016   , 852.813   , 0.585939  , 0.683596  , 0.585939  , 0.722658  , 27.2344   , 72.1406   , 73.2891   , 20.4141   , 195       , 8.25      , 8.25      , 2.09867   , 42.75     , 0         , 0.359314  , 0.949982  , 0         , 0         , -1.5      , 12.8815   , 34.0241   , 8.77991   
    0.400, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 8.57239   , 99.2188   , 0         , 4.02778   , 6.30556   , 840       , 820       , 829.141   , 365.703   , 299.453   , 829.063   , 986.016   , 852.813   , 0.585939  , 0.683596  , 0.585939  , 0.722658  , 26.9766   , 72.1406   , 73.2891   , 20.5078   , 195       , 8.25      , 8.25      , 2.048     , 42.75     , 0         , 0.361695  , 0.949982  , 0         , 0         , -1.5      , 12.7777   , 34.0531   , 8.74329   
    0.450, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 8.5022    , 99.2188   , 0         , 4.02778   , 6.52778   , 840       , 820       , 829.141   , 365.234   , 298.125   , 829.063   , 982.891   , 850.078   , 0.585939  , 0.664064  , 0.60547   , 0.742189  , 26.9531   , 72.1406   , 73.2891   , 20.4141   , 195       , 8.25      , 8.25      , 2.05334   , 42.75     , 0         , 0.359558  , 0.949982  , 0         , 0         , 0         , 12.7609   , 34.0531   , 8.71888   
    0.500, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 8.63038   , 99.2188   , 0         , 4.02778   , 6.55556   , 840       , 820       , 829.141   , 362.891   , 298.594   , 829.063   , 981.641   , 849.063   , 0.585939  , 0.664064  , 0.60547   , 0.742189  , 26.6953   , 72.1406   , 73.2891   , 20.4609   , 195       , 8.25      , 8.25      , 2.04534   , 42.75     , 0         , 0.358704  , 0.949982  , 0         , 0         , -0.75     , 12.6572   , 34.0317   , 8.50831   
