TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fnwue     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , plsol_w   , plsolr_w  , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkat_w    , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , usvk      , usvk2     , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , V         , V         , km/h      , -         , -         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           ,           , , 
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","BoostPressureDesired","","","","BaroPressure","","BoostPressureActual","AdaptationIdle","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","O2SVoltageSensor1","O2SVoltageSensor1Bank2","VehicleSpeed","","","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch","","","TorqueLimit","TorqueForTimingIntervention"
    0.400, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 2         , 0         , 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.00574   , 99.9985   , 9.00574   , 99.2188   , 0         , 9.25001   , 9.16667   , 1120      , 1140      , 800       , 819.609   , 0         , 389.219   , 388.906   , 820.391   , 863.438   , 831.484   , 0         , 0.566408  , 0.410157  , 0.527345  , 0.742189  , 0.664064  , 0         , 26.25     , 26.9531   , 103.852   , 103.852   , 26.9531   , 201.679   , 26.25     , 26.25     , 1.76      , 34.5      , 35.25     , 0.718536  , 4.28189   , 0.678711  , 0.732421  , 0.366211  , 0.790981  , 0.63451   , 0         , 0.474488  , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.7984   , 2.25      , 0         , 0         , 0         , 1         , 13.2904   , 44.8243   , 8.95997   
    0.450, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 18        , 0         , 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.03626   , 99.9985   , 9.03626   , 99.2188   , 0         , 9.22223   , 9.25001   , 1120      , 1140      , 800       , 819.609   , 0         , 389.766   , 390.313   , 820.391   , 863.75    , 831.484   , 0         , 0.585939  , 0.390626  , 0.546876  , 0.761721  , 0.644533  , 0         , 27        , 27        , 103.828   , 103.828   , 27.0469   , 201.679   , 26.25     , 26.25     , 1.768     , 34.5      , 35.25     , 0.713648  , 4.28189   , 0.673828  , 0.732421  , 0.366211  , 0.796197  , 0.629295  , 0         , 0.475159  , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.7984   , 3         , 0         , 0         , 0         , 1         , 13.3331   , 44.8609   , 9.04236   
    0.500, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 2         , 0.00390625, 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.07593   , 99.9985   , 9.07593   , 99.2188   , 0         , 9.30556   , 9.3889    , 1120      , 1140      , 800       , 819.609   , 0         , 391.484   , 392.109   , 820.391   , 864.141   , 831.484   , 0         , 0.585939  , 0.390626  , 0.546876  , 0.761721  , 0.644533  , 0         , 27        , 27.0703   , 103.781   , 103.781   , 27.1406   , 201.679   , 26.25     , 26.25     , 1.78667   , 34.5      , 35.25     , 0.713648  , 4.28189   , 0.673828  , 0.732421  , 0.366211  , 0.796197  , 0.629295  , 0         , 0.478394  , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , 4.5       , 0         , 0         , 0         , 1         , 13.3179   , 44.8151   , 9.42689   
    0.550, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 18        , 0.00390625, 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.1095    , 99.9985   , 9.1095    , 99.2188   , 0         , 9.22223   , 9.3889    , 1120      , 1140      , 800       , 819.609   , 0         , 392.578   , 392.656   , 820.391   , 864.609   , 831.484   , 0         , 0.566408  , 0.390626  , 0.527345  , 0.781252  , 0.664064  , 0         , 27        , 27.1875   , 103.805   , 103.805   , 27.2109   , 200.292   , 26.25     , 26.25     , 1.792     , 34.5      , 35.25     , 0.713648  , 4.28189   , 0.673828  , 0.732421  , 0.366211  , 0.790981  , 0.629295  , 0         , 0.478394  , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.9392   , 3.75      , 0         , 0         , 0         , 1         , 13.3682   , 44.7861   , 9.29871   
    0.600, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 2         , 0.00390625, 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.12781   , 99.9985   , 9.12781   , 99.2188   , 0         , 9.25001   , 9.41667   , 1120      , 1140      , 800       , 819.688   , 0         , 391.953   , 393.047   , 820.391   , 868.281   , 834.688   , 0         , 0.566408  , 0.390626  , 0.527345  , 0.781252  , 0.664064  , 0         , 27        , 27.1406   , 103.805   , 103.805   , 27.2344   , 200.292   , 26.25     , 26.25     , 1.77867   , 34.5      , 35.25     , 0.713648  , 4.28189   , 0.688476  , 0.732421  , 0.366211  , 0.790981  , 0.629295  , 0         , 0.479859  , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.9392   , 3.75      , 0         , 0         , 0         , 1         , 13.3682   , 44.7892   , 9.40858   
    0.650, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 2         , 0         , 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.11561   , 99.9985   , 9.11561   , 99.2188   , 0         , 9.25001   , 9.52779   , 1120      , 1140      , 800       , 819.688   , 0         , 394.609   , 392.969   , 819.141   , 865.938   , 831.563   , 0         , 0.546876  , 0.390626  , 0.507814  , 0.800783  , 0.644533  , 0         , 27        , 27.3516   , 103.805   , 103.805   , 27.2344   , 200.292   , 26.25     , 26.25     , 1.84267   , 34.5      , 35.25     , 0.713648  , 4.28189   , 0.683593  , 0.732421  , 0.366211  , 0.78055   , 0.629295  , 0         , 0.479676  , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , 4.5       , 0         , 0         , 0         , 1         , 13.4552   , 44.8044   , 9.46351   
    0.700, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 2         , 0         , 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.14612   , 99.9985   , 9.14612   , 99.2188   , 0         , 9.25001   , 9.44445   , 1120      , 1140      , 800       , 819.688   , 0         , 396.719   , 393.516   , 819.141   , 867.109   , 831.484   , 0         , 0.546876  , 0.390626  , 0.507814  , 0.800783  , 0.644533  , 0         , 27        , 27.5391   , 103.805   , 103.805   , 27.2813   , 200.292   , 26.25     , 26.25     , 1.8       , 34.5      , 35.25     , 0.713648  , 4.28189   , 0.668945  , 0.732421  , 0.366211  , 0.78055   , 0.63451   , 0         , 0.480042  , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , 3         , 0         , 0         , 0         , 1         , 13.5941   , 44.7998   , 9.28956   
    0.750, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 2         , 0.0078125 , 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.08509   , 99.9985   , 9.08509   , 99.2188   , 0         , 9.33334   , 9.25001   , 1120      , 1140      , 800       , 819.688   , 0         , 394.609   , 391.406   , 819.141   , 867.188   , 831.484   , 0         , 0.527345  , 0.410157  , 0.527345  , 0.781252  , 0.664064  , 0         , 27        , 27.3984   , 103.828   , 103.828   , 27.1406   , 202.187   , 26.25     , 26.25     , 1.792     , 34.5      , 35.25     , 0.713648  , 4.28189   , 0.673828  , 0.732421  , 0.366211  , 0.78055   , 0.63451   , 0         , 0.477845  , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.7984   , 3         , 0         , 0         , 0         , 1         , 13.5101   , 44.8304   , 9.16444   
    0.800, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 2         , 0.0078125 , 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.0088    , 99.9985   , 9.0088    , 99.2188   , 0         , 9.33334   , 9.19445   , 1120      , 1140      , 800       , 819.609   , 0         , 392.109   , 389.453   , 819.141   , 867.031   , 831.484   , 0         , 0.527345  , 0.410157  , 0.527345  , 0.781252  , 0.664064  , 0         , 27        , 27.1875   , 103.828   , 103.828   , 26.9766   , 202.187   , 26.25     , 26.25     , 1.784     , 34.5      , 35.25     , 0.713648  , 4.28189   , 0.683593  , 0.732421  , 0.366211  , 0.78055   , 0.63451   , 0         , 0.475159  , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.7984   , 2.25      , 0         , 0         , 0         , 1         , 13.4216   , 44.8563   , 8.90809   
    0.850, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 2         , 0         , 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.95692   , 99.9985   , 8.95692   , 99.2188   , 0         , 9.27779   , 9.36112   , 1120      , 1140      , 800       , 819.609   , 0         , 391.797   , 387.891   , 819.141   , 867.109   , 831.641   , 0         , 0.527345  , 0.390626  , 0.546876  , 0.800783  , 0.683596  , 0         , 27        , 27.1641   , 103.852   , 103.852   , 26.8594   , 202.187   , 26.25     , 26.25     , 1.78934   , 34.5      , 35.25     , 0.713648  , 4.28189   , 0.673828  , 0.732421  , 0.366211  , 0.785765  , 0.63451   , 0         , 0.473877  , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , 2.25      , 0         , 0         , 0         , 1         , 13.3835   , 44.8609   , 8.75855   
