  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , rpm       , g/s       , mbar      ,, mbar      ,, mbar      ,, V         , V         , V         , V         , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       
TIME,IgnitionRetardCyl1,IgnitionRetardCyl5,IgnitionRetardCyl3,IgnitionRetardCyl2,SelectedGear,AirFuelRatioDesired,WastegateDutyCycle,EngineSpeed,MassAirFlow,BoostPressureDesired,,BaroPressure,,BoostPressureActual,,KnockVoltageCyl1,KnockVoltageCyl5,KnockVoltageCyl3,KnockVoltageCyl2,EngineLoad_8,EngineLoadCorrected,EngineLoadSpecified,EGTModelBeforeCat,IntakeAirTemperature,IntakeAirTemperature,FuelInjectorOnTime,CoolantTemperature,VehicleSpeed,ThrottlePlateAngle,AccelPedalPosition,IgnitionTimingAngleOverall
857.064,0,0,0,0,3,0.797609,0,3480,111.167,2440,23.39983626,826.641,11.98943574,1539.84,10.34409566,7.65627,8.43752,8.75002,7.81252,108,201.984,210.258,565,23.25,23.25,6.62401,90.75,78.5703,41.1765,99.9999,18
857.114,0,0,0,0,3,0.797609,0,3520,113.778,2440,23.39983626,826.641,11.98943574,1559.84,10.63417166,7.50002,8.12502,8.43752,8.75002,108,201.844,210.797,570,23.25,23.25,6.64801,90.75,79.2188,41.1765,99.9999,18.75
857.164,0,0,0,0,3,0.797365,0,3560,113.445,2440,23.39983626,826.641,11.98943574,1574.92,10.85288896,7.50002,8.12502,8.43752,8.75002,108.75,201.656,211.641,570,23.25,23.25,6.67734,90.75,79.6406,41.1765,99.9999,18.75
857.214,0,0,0,0,3,0.797365,0,3560,116.722,2420,23.10976026,826.641,11.98943574,1588.91,11.05579712,8.43752,8.43752,8.75002,9.06252,109.5,201.469,212.109,570,23.25,23.25,6.76001,90.75,80.1563,41.1765,99.9999,18
857.264,0,0,0,0,3,0.797365,0,3600,120.056,2420,23.10976026,826.641,11.98943574,1603.67,11.26987321,8.43752,8.43752,8.75002,9.06252,111.75,201.328,212.836,575,23.25,23.25,6.86134,90.75,80.4297,41.5686,99.9999,18
857.314,0,0,0,0,3,0.797365,0,3600,123.222,2440,23.39983626,826.641,11.98943574,1628.44,11.62913234,8.12502,9.06252,10,10,113.25,201.07,213.633,575,23.25,23.25,6.97068,90.75,80.9688,41.5686,99.9999,17.25
857.364,0,0,0,0,3,0.79712,0,3640,124.333,2440,23.39983626,826.641,11.98943574,1642.19,11.82855959,8.12502,9.06252,10,10,114.75,200.953,214.242,575,23.25,23.25,6.98134,90.75,81.2422,41.9608,99.9999,17.25
857.414,0,0,0,0,3,0.79712,0,3640,128.75,2440,23.38283781,827.813,12.00643419,1662.19,12.10163713,8.43752,10,10.3125,9.68752,117,200.719,214.852,575,23.25,23.25,7.11201,90.75,81.8125,41.9608,99.9999,16.5
857.464,0,0,0,0,3,0.79712,0,3680,132.389,2440,23.38283781,827.813,12.00643419,1687.73,12.47206418,8.43752,10,10.3125,9.68752,119.25,200.555,215.461,575,23.25,23.25,7.21868,90.75,82.1875,41.9608,99.9999,16.5
857.514,0,0,0,0,3,0.79712,0,3720,140.5,2440,23.38283781,827.813,12.00643419,1712.66,12.83364392,7.50002,10.3125,10.625,10.3125,122.25,200.344,216.281,585,23.25,23.25,7.37601,90.75,82.7266,41.9608,99.9999,15.75
857.564,0,0,0,0,3,0.79712,0,3720,138.528,2460,23.67291381,827.813,12.00643419,1741.33,13.24946786,7.50002,10.3125,10.625,10.3125,123.75,200.695,216.844,585,23.25,23.25,7.54134,90.75,83.1953,41.9608,99.9999,15.75
857.614,0,0,0,0,3,0.79712,0,3760,144.75,2460,23.68991226,826.641,11.98943574,1769.53,13.67547348,7.81252,10,10.3125,9.37502,127.5,200.344,218.063,585,23.25,23.25,7.68268,90.75,83.8203,42.353,99.9999,15.75
857.664,0,0,0,0,3,0.79712,0,3800,149.556,2460,23.68991226,826.641,11.98943574,1799.06,14.10377069,7.81252,10,10.3125,9.37502,130.5,200.367,217.992,595,23.25,23.25,7.83201,90.75,84.2422,42.7451,99.9999,15
857.714,0,0,0,0,3,0.79712,0,3840,148.861,2460,23.68991226,826.641,11.98943574,1831.72,14.5774648,8.12502,10.3125,11.5625,9.06252,131.25,200.156,219.68,595,23.25,23.25,7.90401,90.75,84.9922,42.7451,99.9999,15
857.764,0,0,0,0,3,0.79712,0,3840,157.417,2460,23.68991226,826.641,11.98943574,1865.94,15.07378484,8.12502,10.3125,11.5625,9.06252,135,200.156,219.961,595,23.25,23.25,8.07201,90.75,85.4531,42.7451,99.9999,14.25
857.814,0,0,0,0,3,0.79712,0,3880,158.889,2460,23.68991226,826.641,11.98943574,1898.2,15.54167742,7.81252,11.5625,9.37502,9.37502,137.25,200.156,220.922,595,23.25,23.25,8.23468,90.75,86.1797,42.7451,99.9999,14.25
857.864,0,0,0,0,3,0.796876,0,3880,161.361,2460,23.68991226,826.641,11.98943574,1943.13,16.19333316,7.81252,11.5625,9.37502,9.37502,138.75,200.648,221.836,605,23.25,23.25,8.30934,90.75,86.6484,43.1373,99.9999,13.5
857.914,0,0,0,0,3,0.796876,0,3920,161.611,2460,23.68991226,826.641,11.98943574,1983.05,16.77232485,8.75002,11.875,9.37502,9.68752,138.75,200.648,222.141,605,23.25,24,8.26401,90.75,87.3906,43.1373,99.9999,12.75
857.964,0,0,0,0,3,0.796876,0,3960,165.528,2500,24.27006426,826.641,11.98943574,2018.13,17.28111816,8.75002,11.875,9.37502,9.68752,139.5,203.25,223.313,605,23.25,24,8.33868,90.75,87.875,43.1373,99.9999,11.25
858.014,0,0,0,0,3,0.796876,0,3960,163.972,2540,24.85021626,826.641,11.98943574,2056.56,17.83849919,8.43752,11.875,12.8125,12.8125,140.25,205.992,224.063,605,24,24,8.33868,90.75,88.6328,43.5294,99.9999,12
858.064,0,0,0,0,3,0.796876,0,4040,166.5,2560,25.14029226,826.641,11.98943574,2087.97,18.29406355,8.43752,11.875,12.8125,12.8125,140.25,207.258,225.07,605,24,24,8.33068,90.75,89.0781,43.5294,99.9999,11.25
858.114,0,0,0,0,3,0.796876,0,4040,172.083,2560,25.14029226,826.641,11.98943574,2116.64,18.7098875,8.12502,12.5,13.125,13.75,141.75,207.891,225.609,615,24,24,8.45334,90.75,89.8594,43.9216,99.9999,11.25
858.164,0,0,0,0,3,0.796876,0,4080,175.945,2560,25.14029226,826.641,11.98943574,2117.97,18.72917755,8.12502,12.5,13.125,13.75,144.75,208.242,227.016,615,24,24,8.58134,90.75,90.3516,43.9216,99.9999,11.25
858.214,0,0,0,0,3,0.796876,0,4080,179.917,2580,25.43036826,826.641,11.98943574,2151.8,19.2198411,9.37502,12.8125,12.8125,13.125,147,208.219,226.922,615,24,24,8.71734,90.75,91.1172,43.9216,99.9999,10.5
858.264,0,0,0,0,3,0.796876,0,4120,179.611,2580,25.43036826,826.641,11.98943574,2169.22,19.4724973,9.37502,12.8125,12.8125,13.125,147.75,209.086,228.211,615,24,24,8.80001,90.75,91.6406,43.9216,99.9999,9.75
858.314,0,0,0,0,3,0.796876,0,4120,187.75,2580,25.43036826,826.641,11.98943574,2194.38,19.83741291,8.43752,14.375,13.4375,10.9375,151.5,209.32,229.242,630,24,24,8.94668,90.75,92.2188,43.9216,99.9999,9
858.364,0,0,0,0,3,0.796876,0,4200,187.75,2580,25.43036826,826.641,11.98943574,2228.44,20.33141234,8.43752,14.375,13.4375,10.9375,153,209.391,229.781,630,24,24,9.07734,90.75,93.0859,44.3137,99.9999,8.25
858.414,0,0,0,0,3,0.796876,0,4200,195.083,2580,25.43036826,826.641,11.98943574,2254.22,20.7053203,8.12502,15,15.625,11.25,155.25,209.672,230.695,630,24,24,9.22134,90.75,93.5859,44.3137,99.9999,7.5
858.464,0,0,0,0,3,0.796876,0,4240,197.333,2580,25.43036826,826.641,11.98943574,2289.84,21.22194566,8.12502,15,15.625,11.25,158.25,209.742,230.977,630,24,24,9.40268,90.75,94.3906,44.7059,99.9999,6.75
858.514,0,0,0,0,3,0.796876,0,4280,204.389,2580,25.43036826,826.641,11.98943574,2313.67,21.56757121,8.43752,13.75,13.4375,12.1875,161.25,210.211,232.828,645,24,24,9.59201,90.75,94.875,44.7059,99.9999,6
858.564,0,0,0,0,3,0.796876,0,4320,209.111,2580,25.43036826,826.641,11.98943574,2356.09,22.18282241,8.43752,13.75,13.4375,12.1875,164.25,210.234,232.945,645,24,24,9.81068,90.75,95.6484,44.7059,99.9999,5.25
858.614,0,0,0,0,3,0.796876,0,4360,215.611,2580,25.43036826,826.641,11.98943574,2392.11,22.70524928,7.81252,16.25,11.875,15,165.75,210.633,234.539,645,24,24,9.92801,90.75,96.2031,44.7059,99.9999,4.5
858.664,0,0,0,0,3,0.796876,0,4320,215.028,2580,25.43036826,826.641,11.98943574,2415.47,23.04405805,7.81252,16.25,11.875,15,166.5,210.703,234.82,645,24,24,10.048,90.75,96.7734,45.0981,99.9999,3.75
858.714,0,0,0,0,3,0.796876,0,4400,221.445,2580,25.43036826,826.641,11.98943574,2446.8,23.4984621,7.81252,16.25,11.875,15,169.5,210.914,236.391,660,24,24,10.1973,90.75,97.5859,45.0981,99.9999,3.75
858.764,0,0,0,0,3,0.796876,0,4400,226.222,2580,25.43036826,826.641,11.98943574,2479.77,23.97665239,8.75002,15.625,13.75,11.875,191.25,211.078,236.602,660,24,24,11.6213,90.75,98.1328,45.0981,99.9999,3
858.814,0,0,0,0,3,0.796876,0,4400,235.056,2580,25.43036826,826.641,11.98943574,2515.16,24.48994187,8.75002,15.625,13.75,11.875,191.25,210.984,235.992,660,24,24,11.7813,90.75,98.9609,45.4902,99.9999,-2.25
858.864,0,0,0,0,3,0.742189,0,4480,238.778,2580,25.43036826,826.641,11.98943574,2558.52,25.11882664,9.37502,13.125,11.875,11.25,191.25,211.711,239.227,660,24,24,12.7733,90.75,99.4766,45.4902,99.9999,-2.25
858.914,0,0,0,0,3,0.742189,0,4440,240.778,2600,25.72044426,826.641,11.98943574,2580.08,25.43152857,9.37502,13.125,11.875,11.25,191.25,211.406,237.68,675,24,24,12.8773,90.75,99.9297,45.4902,99.9999,-2.25
858.964,0,0,0,0,3,0.734376,0,4520,242.834,2600,25.72044426,826.641,11.98943574,2625.94,26.09667284,9.37502,10.625,11.875,9.06252,191.25,211.406,237.68,675,23.25,23.25,13.2507,90.75,100.758,45.8824,99.9999,-2.25
859.014,0,0,0,0,3,0.734376,0,4520,252.417,2600,25.72044426,826.641,11.98943574,2667.11,26.69379428,9.37502,10.625,11.875,9.06252,191.25,211.922,239.813,675,23.25,23.25,13.3974,90.75,101.289,45.8824,99.9999,-3
859.064,0,0,0,0,3,0.734376,0,4560,244.917,2600,25.72044426,826.641,11.98943574,2687.97,26.99634355,9.06252,11.25,10.9375,8.43752,191.25,211.922,239.813,675,23.25,23.25,13.6,90.75,101.805,45.8824,99.9999,-2.25
859.114,0,0,0,0,3,0.734376,0,4600,249.667,2600,25.72044426,826.641,11.98943574,2695.94,27.11193884,9.06252,11.25,10.9375,8.43752,191.25,212.836,241.734,690,23.25,23.25,13.6134,90.75,102.297,45.8824,99.9999,-3
859.164,0,0,0,0,3,0.726564,0,4560,248.861,2600,25.73857401,825.391,11.97130599,2705.23,27.26480889,8.43752,10.625,11.5625,8.43752,191.25,212.906,240.938,690,23.25,23.25,13.8667,90.75,102.961,46.2745,99.9999,-3
859.214,0,0,0,0,3,0.726564,0,4640,254,2600,25.73857401,825.391,11.97130599,2722.5,27.51528951,8.43752,10.625,11.5625,8.43752,191.25,212.977,242.531,690,23.25,23.25,13.8587,90.75,103.461,46.2745,99.9999,-3
859.264,0,0,0,0,3,0.726564,0,4600,256.417,2600,25.72044426,826.641,11.98943574,2723.13,27.50629716,9.06252,10.3125,9.37502,7.18752,191.25,213.164,242.344,690,23.25,23.25,13.9814,90.75,104.086,46.2745,99.9999,-3
859.314,0,0,0,0,3,0.726564,0,4680,258.056,2600,25.72044426,826.641,11.98943574,2713.91,27.37257212,9.06252,10.3125,9.37502,7.18752,191.25,213.422,243.727,700,23.25,23.25,13.8987,90.75,104.531,46.2745,99.9999,-3
859.364,0,0,0,0,3,0.726564,0,4640,258.445,2600,25.73857401,825.391,11.97130599,2749.06,27.90051044,10,9.06252,8.43752,8.12502,191.25,213.469,244.383,700,23.25,23.25,14.0854,90.75,105.195,46.2745,99.9999,-3
859.414,0,0,0,0,3,0.726564,0,4720,258.056,2600,25.73857401,825.391,11.97130599,2710.39,27.3396485,10,9.06252,8.43752,8.12502,191.25,213.75,245.484,700,23.25,23.25,14.032,90.75,105.609,46.6667,99.9999,-3
859.464,0,0,0,0,3,0.726564,0,4680,259.028,2600,25.72044426,826.641,11.98943574,2718.83,27.44393082,9.68752,8.43752,9.06252,7.50002,191.25,213.727,244.922,700,23.25,23.25,13.9174,90.75,106.039,46.6667,99.9999,-3
859.514,0,0,0,0,3,0.718751,0,4760,262.917,2600,25.72044426,826.641,11.98943574,2742.81,27.79173194,9.68752,8.43752,9.06252,7.50002,191.25,214.125,246.586,700,23.25,23.25,14.1174,90.75,106.477,46.6667,99.9999,-3
859.564,0,0,0,0,3,0.718751,0,4760,263.722,2600,25.72044426,826.641,11.98943574,2750.23,27.89935014,9.68752,8.43752,9.06252,7.50002,191.25,214.219,246.961,715,23.25,23.25,14.2294,90.75,107.063,46.6667,99.9999,-2.25
859.614,0,0,0,0,3,0.718751,0,4800,259.278,2600,25.72044426,826.641,11.98943574,2728.36,27.58215203,9.06252,8.43752,10.3125,7.18752,191.25,214.289,247.219,715,23.25,23.25,14.1147,90.75,107.492,47.0588,99.9999,-2.25
859.664,0,0,0,0,3,0.718751,0,4760,262.111,2600,25.72044426,826.641,11.98943574,2726.02,27.54821314,9.06252,8.43752,10.3125,7.18752,191.25,214.219,246.75,715,23.25,23.25,14.1174,90.75,107.922,47.0588,96.2233,-2.25
859.714,0,0,0,0,3,0.718751,0,4840,263.306,1420,8.624090014,825.391,11.97130599,2740.78,27.78041898,9.68752,8.43752,10.3125,8.43752,191.25,214.898,249.68,715,22.5,22.5,13.2747,90.75,108.539,47.0588,28.957,-1.5
859.764,0,0,0,0,3,0.718751,0,4760,196.917,1100,3.982874014,825.391,11.97130599,2724.3,27.54139635,9.68752,8.43752,10.3125,8.43752,182.25,214.898,249.68,725,22.5,22.5,10.5973,90.75,108.867,30.9804,0,-8.25
859.814,0,0,0,0,3,0.838624,0,4920,116.639,820,-0.096319736,826.641,11.98943574,2459.06,23.67627869,10,9.06252,10.3125,7.81252,113.25,214.078,246.328,725,22.5,22.5,6.01067,90.75,109.352,19.6078,0,-3.75
859.864,0,0,0,0,3,0.838624,0,4760,83.3612,820,-0.096319736,826.641,11.98943574,2333.05,21.84865485,10,9.06252,10.3125,7.81252,83.25,215.273,250.781,725,22.5,22.5,4.65334,90.75,109.773,12.9412,0,0
859.914,0,0,0,0,3,0.838624,0,4840,31.4722,820,-0.078189986,825.391,11.97130599,2218.2,20.20102317,8.12502,7.81252,8.43752,6.87502,54,214.195,246.867,725,21.75,21.75,1.73867,90.75,110.047,8.2353,0,3.75
859.964,0,0,0,0,3,0.870851,0,4800,13,820,-0.078189986,825.391,11.97130599,2034.38,17.53493466,8.12502,7.81252,8.43752,6.87502,29.25,214.898,249.727,665,21.75,21.75,1.608,90.75,110.313,5.88235,0,19.5
