
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 90 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  24.06.2018 12:12:57.396

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , B_mibeg   , mibas_w   , mimax_w   , misolv_w  , B_mdein   , mizsolv_w , milsol_w  , milsolv_w , B_dash    , B_lsd     , B_dashv   , dmar_w    , zwbas     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           ,           , , ,           , , , ,           ,           ,           , , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","","TorqueLimit","TorqueBeforeLimitation","","TorqueForTimingIntervention","","","","","","",""
    0.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.91028   , 99.9985   , 4.91028   , 99.2188   , 0         , 2.25      , 6.77778   , 760       , 820       , 836.016   , 409.531   , 263.203   , 835.234   , 981.016   , 848.516   , 0.800783  , 1.5625    , 0.976565  , 1.32813   , 30.6563   , 72.1406   , 73.2891   , 16.3359   , 65        , 76.5      , 76.5      , 2.33334   , 114.75    , 0         , 0.31482   , 0.949982  , 0         , 0         , -15.75    , 0         , 12.4924   , 24.9649   , 4.91028   , 0         , 5.29786   , 5.78919   , 5.78919   , 0         , 0         , 0         , 0         , 29.25     
    0.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.95606   , 99.9985   , 4.95606   , 99.2188   , 0         , 2.27778   , 7.22223   , 760       , 820       , 836.016   , 409.453   , 264.219   , 836.484   , 981.016   , 848.516   , 0.800783  , 1.5625    , 0.937502  , 1.28907   , 30.6328   , 72.1406   , 73.2891   , 16.4063   , 70        , 76.5      , 76.5      , 2.36534   , 114.75    , 0         , 0.316651  , 0.949982  , 0         , 0         , -15       , 0         , 12.4771   , 24.9573   , 4.95606   , 0         , 5.34668   , 5.83497   , 5.83497   , 0         , 0         , 0         , 0         , 30        
    0.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.90723   , 99.9985   , 4.90723   , 99.2188   , 0         , 2.27778   , 6.91667   , 760       , 820       , 836.016   , 409.219   , 262.266   , 836.484   , 981.016   , 848.516   , 0.800783  , 1.5625    , 0.937502  , 1.28907   , 30.7734   , 72.1406   , 73.2891   , 16.3359   , 70        , 76.5      , 76.5      , 2.36267   , 114.75    , 0         , 0.31366   , 0.949982  , 0         , 0         , -15       , 0         , 12.5198   , 24.9726   , 4.90723   , 0         , 5.23377   , 5.78614   , 5.78614   , 0         , 0         , 0         , 0         , 30        
    0.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.98047   , 99.9985   , 4.98047   , 99.2188   , 0         , 2.30556   , 6.80556   , 760       , 820       , 836.016   , 405.156   , 264.063   , 835.234   , 981.016   , 848.516   , 0.781252  , 1.60157   , 0.89844   , 1.25      , 30.3281   , 72.1406   , 73.2891   , 16.4531   , 70        , 76.5      , 76.5      , 2.33867   , 114.75    , 0         , 0.315857  , 0.949982  , 0         , 0         , -14.25    , 0         , 12.4252   , 24.9573   , 4.98047   , 0         , 5.84107   , 5.85938   , 5.85938   , 0         , 0         , 0         , 0         , 30        
    0.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.15442   , 99.9985   , 5.15442   , 99.2188   , 0         , 2.30556   , 7.00001   , 760       , 820       , 836.016   , 406.484   , 271.016   , 835.234   , 981.016   , 848.516   , 0.781252  , 1.60157   , 0.89844   , 1.25      , 30.3281   , 72.1406   , 73.2891   , 16.9688   , 70        , 76.5      , 76.5      , 2.456     , 114.75    , 0         , 0.324158  , 0.949982  , 0         , 0         , -12       , 0         , 12.3551   , 24.9191   , 5.15442   , 0         , 6.9275    , 6.1493    , 6.1493    , 0         , 0         , 0         , 0         , 30        
    0.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.3833    , 99.9985   , 5.3833    , 99.2188   , 0         , 2.30556   , 6.86112   , 720       , 820       , 836.016   , 409.609   , 283.828   , 835.234   , 981.016   , 848.516   , 0.800783  , 1.5625    , 0.89844   , 1.25      , 30.4688   , 72.1406   , 73.2891   , 18.0469   , 70        , 76.5      , 76.5      , 2.464     , 114.75    , 0         , 0.334961  , 0.949982  , 0         , 0         , -8.25     , 0         , 12.3932   , 24.8795   , 5.3833    , 0         , 7.92542   , 6.79322   , 6.79322   , 0         , 0         , 0         , 0         , 30        
    0.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.896     , 99.9985   , 5.896     , 99.2188   , 0         , 2.36111   , 6.83334   , 720       , 820       , 835.938   , 410.391   , 293.047   , 835.234   , 981.016   , 848.516   , 0.800783  , 1.5625    , 0.89844   , 1.25      , 30.5391   , 72.1406   , 73.2891   , 18.9609   , 70        , 76.5      , 76.5      , 2.45067   , 114.75    , 0         , 0.350525  , 0.949982  , 0         , 0         , -8.25     , 0         , 12.3917   , 24.8535   , 5.896     , 0         , 7.92237   , 7.34253   , 7.34253   , 0         , 0         , 0         , 0         , 30        
    0.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.95704   , 99.9985   , 5.95704   , 99.2188   , 0         , 2.36111   , 6.80556   , 760       , 820       , 835.938   , 410.547   , 292.734   , 835.234   , 981.016   , 848.516   , 0.800783  , 1.5625    , 0.89844   , 1.21094   , 30.5625   , 72.1406   , 73.2891   , 18.9844   , 70        , 76.5      , 76.5      , 2.45334   , 114.75    , 0         , 0.351013  , 0.949982  , 0.392157  , 0         , -9        , 0         , 12.4329   , 24.8825   , 5.95704   , 0         , 7.83082   , 7.37      , 7.37      , 0         , 0         , 0         , 0         , 30        
    0.400, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 6.4087    , 99.9985   , 6.4087    , 99.2188   , 0         , 2.55556   , 6.72223   , 760       , 820       , 835.938   , 408.359   , 297.891   , 835.234   , 981.016   , 848.516   , 0.800783  , 1.5625    , 0.89844   , 1.21094   , 30.3984   , 72.1406   , 73.2891   , 19.5938   , 70        , 76.5      , 76.5      , 2.39467   , 114.75    , 0         , 0.356323  , 0.949982  , 0.392157  , 0         , -11.25    , 0         , 12.3901   , 24.8978   , 6.4087    , 0         , 7.05567   , 7.74842   , 7.74842   , 0         , 0         , 0         , 0         , 30        
    0.450, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 6.37513   , 99.9985   , 6.37513   , 99.2188   , 0         , 2.63889   , 6.88889   , 760       , 820       , 835.938   , 408.359   , 291.875   , 835.234   , 981.016   , 848.516   , 0.781252  , 1.60157   , 0.859377  , 1.21094   , 30.4219   , 72.1406   , 73.2891   , 18.9375   , 70        , 75        , 75        , 2.40267   , 114       , 0         , 0.355957  , 0.949982  , 0.392157  , 0         , -10.5     , 0         , 12.3932   , 24.9008   , 6.37513   , 0         , 7.38526   , 7.35779   , 7.35779   , 0         , 0         , 0         , 0         , 30        
    0.500, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 6.80542   , 99.9985   , 6.80542   , 99.2188   , 0         , 2.72222   , 7.27778   , 760       , 820       , 835.938   , 411.563   , 297.656   , 835.234   , 981.016   , 848.516   , 0.781252  , 1.60157   , 0.859377  , 1.21094   , 30.8438   , 72.1406   , 73.2891   , 19.6172   , 70        , 75        , 75        , 2.44267   , 114       , 0         , 0.356018  , 0.949982  , 0.392157  , 0         , -12       , 0         , 12.5443   , 24.9268   , 6.80542   , 0         , 6.86036   , 7.78504   , 7.78504   , 0         , 0         , 0         , 0         , 30        
    0.550, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 6.80237   , 99.9985   , 6.80237   , 99.2188   , 0         , 2.72222   , 7.08334   , 760       , 820       , 835.938   , 412.734   , 295.938   , 835.234   , 979.766   , 847.422   , 0.781252  , 1.60157   , 0.859377  , 1.25      , 30.9609   , 72.1406   , 73.2891   , 19.4531   , 70        , 75.75     , 76.5      , 2.44      , 114       , 0         , 0.356507  , 0.949982  , 0.784314  , 0         , -10.5     , 0         , 12.5778   , 24.9298   , 6.80237   , 0         , 7.3761    , 7.68128   , 7.68128   , 0         , 0         , 0         , 0         , 29.25     
    0.600, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 6.85425   , 99.9985   , 6.85425   , 99.2188   , 0         , 3.08334   , 7.08334   , 760       , 820       , 835.859   , 413.203   , 298.906   , 835.234   , 981.016   , 848.516   , 0.781252  , 1.60157   , 0.859377  , 1.25      , 30.8906   , 72.1406   , 73.2891   , 19.6875   , 70        , 75.75     , 76.5      , 2.392     , 114       , 0         , 0.357544  , 0.949982  , 0.784314  , 0         , -12       , 0         , 12.5702   , 24.9314   , 6.85425   , 0         , 7.05872   , 7.82471   , 7.82471   , 0         , 0         , 0         , 0         , 29.25     
    0.650, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.13196   , 99.9985   , 7.13196   , 99.2188   , 0         , 3.02778   , 7.69445   , 760       , 820       , 835.859   , 418.203   , 300.781   , 836.484   , 981.016   , 848.516   , 0.781252  , 1.5625    , 0.820315  , 1.28907   , 31.4766   , 72.1406   , 73.2891   , 19.9688   , 70        , 75        , 75        , 2.464     , 114       , 0         , 0.360657  , 0.949982  , 0.784314  , 0         , -10.5     , 0         , 12.764    , 24.9558   , 7.13196   , 0         , 7.37305   , 8.01087   , 8.01087   , 0         , 0         , 0         , 0         , 29.25     
    0.700, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.08924   , 99.9985   , 7.08924   , 99.2188   , 0         , 3.08334   , 7.86112   , 800       , 820       , 835.938   , 424.531   , 299.297   , 836.484   , 981.016   , 848.516   , 0.781252  , 1.5625    , 0.820315  , 1.28907   , 32.1563   , 72.1406   , 73.2891   , 19.8984   , 70        , 75        , 75        , 2.49334   , 114       , 0         , 0.358032  , 0.949982  , 0.784314  , 0         , -11.25    , 0         , 13.002    , 24.9726   , 7.08924   , 0         , 7.04346   , 7.96815   , 7.96815   , 0         , 0         , 0         , 0         , 29.25     
