
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 110 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  03.08.2019 07:47:55.313

TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , ps_w      , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , vfil_w    , vpssplg_w , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , km/h      , -         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","","BaroPressure","","BoostPressureActual","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","VehicleSpeed","","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch",""
    0.000, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 138       , 1         , 0.969147  , 1         , 0         , 0         , 0         , 0         , 3         , 1.04688   , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.58334   , 11.4445   , 2560      , 1250      , 820       , 227.578   , 831.563   , 1159.45   , 867.266   , 1.79688   , 1.48438   , 1.71875   , 1.44532   , 1.5625    , 0         , 15        , 15.5391   , 92.1328   , 102       , 10.875    , 452.167   , 30.75     , 30.75     , 1.45867   , 87        , 87        , 0.723424  , 4.29166   , 0.751953  , 0.732421  , 0.366211  , 59.1953   , 0.206787  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.376    , -4.5      , 1         , 1         , 0         , 0         
    0.050, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 138       , 1         , 0.969147  , 1         , 0         , 0         , 0         , 0         , 3         , 1.04688   , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.55556   , 11.3611   , 2560      , 1250      , 820       , 228.359   , 832.813   , 1157.5    , 865.781   , 1.71875   , 1.64063   , 1.71875   , 1.44532   , 1.64063   , 0         , 15        , 15.5859   , 92.3203   , 102.188   , 10.875    , 452.167   , 30.75     , 30.75     , 1.44      , 87        , 87        , 0.723424  , 4.28678   , 0.751953  , 0.732421  , 0.366211  , 59.1797   , 0.206909  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.376    , -4.5      , 1         , 1         , 0         , 0         
    0.100, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 138       , 1         , 0.969147  , 1         , 0         , 0         , 0         , 0         , 3         , 1.04688   , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.55556   , 11.6389   , 2560      , 1250      , 820       , 227.891   , 832.813   , 1158.52   , 866.641   , 1.71875   , 1.64063   , 1.71875   , 1.44532   , 1.64063   , 0         , 15        , 15.5391   , 92.0156   , 101.859   , 10.875    , 452.167   , 30.75     , 30.75     , 1.44      , 87        , 87        , 0.723424  , 4.28678   , 0.761718  , 0.732421  , 0.366211  , 59.1797   , 0.207153  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.376    , -4.5      , 1         , 1         , 0         , 0         
    0.150, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 138       , 1         , 0.969147  , 1         , 0         , 0         , 0         , 0         , 3         , 1.04688   , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.55556   , 11.6389   , 2560      , 1250      , 820       , 228.438   , 832.813   , 1160.78   , 868.281   , 1.71875   , 1.48438   , 1.71875   , 1.44532   , 1.48438   , 0         , 15        , 15.5859   , 92.2031   , 102.07    , 10.875    , 452.167   , 30.75     , 30.75     , 1.44      , 87        , 87        , 0.723424  , 4.28189   , 0.761718  , 0.732421  , 0.366211  , 59.1563   , 0.207276  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.376    , -4.5      , 1         , 1         , 0         , 0         
    0.200, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 138       , 1         , 0.969147  , 1         , 0         , 0         , 0         , 0         , 3         , 1.04688   , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.55556   , 11.6111   , 2560      , 1250      , 820       , 229.766   , 832.813   , 1157.58   , 865.938   , 1.71875   , 1.48438   , 1.71875   , 1.44532   , 1.48438   , 0         , 15        , 15.6797   , 91.9922   , 101.836   , 10.875    , 450.702   , 30.75     , 30.75     , 1.44      , 87        , 87        , 0.723424  , 4.28678   , 0.751953  , 0.732421  , 0.366211  , 59.1406   , 0.207276  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.376    , -4.5      , 1         , 1         , 0         , 0         
    0.250, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 138       , 1         , 0.969147  , 1         , 0         , 0         , 0         , 0         , 3         , 1.04688   , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.55556   , 11.9445   , 2560      , 1250      , 820       , 230.078   , 832.813   , 1157.58   , 865.938   , 1.71875   , 1.5625    , 1.5625    , 1.44532   , 1.40625   , 0         , 15        , 15.7031   , 92.0156   , 101.883   , 10.875    , 450.702   , 30.75     , 30.75     , 1.45067   , 87        , 87        , 0.723424  , 4.29166   , 0.766601  , 0.732421  , 0.366211  , 59.0469   , 0.207337  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.4464   , -4.5      , 1         , 1         , 0         , 0         
    0.300, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 138       , 1         , 0.969147  , 1         , 0         , 0         , 0         , 0         , 3         , 1.04688   , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.58334   , 11.5      , 2560      , 1250      , 820       , 227.656   , 832.813   , 1158.83   , 866.875   , 1.71875   , 1.5625    , 1.5625    , 1.44532   , 1.40625   , 0         , 15        , 15.5156   , 91.8984   , 101.766   , 10.875    , 450.702   , 30.75     , 30.75     , 1.45067   , 87        , 87        , 0.723424  , 4.29166   , 0.761718  , 0.732421  , 0.366211  , 59.0938   , 0.207337  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.376    , -4.5      , 1         , 1         , 0         , 0         
    0.350, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 138       , 1         , 0.969147  , 1         , 0         , 0         , 0         , 0         , 3         , 1.04688   , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.55556   , 11.6111   , 2560      , 1250      , 820       , 229.609   , 832.813   , 1157.58   , 865.859   , 1.71875   , 1.48438   , 1.5625    , 1.40625   , 1.32813   , 0         , 15        , 15.6563   , 91.7813   , 101.625   , 10.875    , 450.702   , 30.75     , 30.75     , 1.45067   , 87        , 87        , 0.723424  , 4.28678   , 0.756836  , 0.732421  , 0.366211  , 58.9844   , 0.207398  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.4464   , -4.5      , 1         , 1         , 0         , 0         
