
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 90 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  29.06.2018 16:11:24.416

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , B_mibeg   , mibas_w   , mimax_w   , misolv_w  , B_mdein   , mizsolv_w , milsol_w  , milsolv_w , B_dash    , B_lsd     , B_dashv   , dmar_w    , zwbas     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           ,           , , ,           , , , ,           ,           ,           , , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","","TorqueLimit","TorqueBeforeLimitation","","TorqueForTimingIntervention","","","","","","",""
    0.000, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 3.80554   , 99.9985   , 3.80554   , 99.2188   , 2.39258   , 5.25      , 7.47223   , 2120      , 800       , 819.141   , 181.016   , 163.828   , 819.141   , 987.266   , 831.484   , 1.71875   , 1.875     , 1.40625   , 1.71875   , 12.3984   , 86.1797   , 92.1563   , 10.7813   , 465       , 47.25     , 47.25     , 1.58934   , 93.75     , 61.9375   , 0.200073  , 0.949982  , 0.392157  , 5.57411   , 43.5      , 0         , 5.39399   , 30.7739   , 3.80554   , 0         , 5.39246   , 3.80554   , 3.80554   , 0         , 0         , 0         , 0         , 42.75     
    0.050, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 3.80554   , 99.9985   , 3.80554   , 99.2188   , 2.39868   , 5.25      , 7.63889   , 2080      , 800       , 819.141   , 178.359   , 163.906   , 819.141   , 991.328   , 834.922   , 1.71875   , 1.875     , 1.40625   , 1.71875   , 12.1406   , 86.0156   , 91.9922   , 10.7813   , 465       , 47.25     , 47.25     , 1.58134   , 93.75     , 62.0391   , 0.199951  , 0.949982  , 0.392157  , 5.57411   , 43.5      , 0         , 5.39093   , 30.8411   , 3.80554   , 0         , 5.38941   , 3.80554   , 3.80554   , 0         , 0         , 0         , 0         , 42.75     
    0.100, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 3.82386   , 99.9985   , 3.82386   , 99.2188   , 2.40174   , 5.25      , 7.83334   , 2080      , 800       , 819.141   , 181.172   , 163.984   , 819.141   , 990.547   , 834.219   , 1.71875   , 1.95313   , 1.48438   , 1.71875   , 12.3984   , 85.9219   , 91.8984   , 10.7813   , 465       , 47.25     , 47.25     , 1.58667   , 93.75     , 61.9688   , 0.200073  , 0.949982  , 0.392157  , 5.57411   , 43.5      , 0         , 5.39093   , 30.7724   , 3.82386   , 0         , 5.38941   , 3.82386   , 3.82386   , 0         , 0         , 0         , 0         , 42.75     
    0.150, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 3.80554   , 99.9985   , 3.80554   , 99.2188   , 2.39868   , 5.25      , 8.41667   , 2080      , 800       , 819.141   , 185.547   , 163.75    , 819.141   , 991.563   , 835.156   , 1.71875   , 1.95313   , 1.48438   , 1.71875   , 12.8438   , 86.25     , 92.2266   , 10.7813   , 465       , 47.25     , 47.25     , 1.624     , 93.75     , 61.9922   , 0.200134  , 0.949982  , 0.392157  , 5.57411   , 44.25     , 0         , 5.39093   , 30.7602   , 3.80554   , 0         , 5.38941   , 3.80554   , 3.80554   , 0         , 0         , 0         , 0         , 43.5      
    0.200, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 3.82386   , 99.9985   , 3.82386   , 99.2188   , 2.40174   , 5.25      , 7.66667   , 2080      , 800       , 819.141   , 185.781   , 163.906   , 819.141   , 991.328   , 834.922   , 1.79688   , 1.95313   , 1.48438   , 1.71875   , 12.8438   , 85.9219   , 91.8984   , 10.7813   , 465       , 47.25     , 47.25     , 1.61067   , 93.75     , 61.9531   , 0.19989   , 0.949982  , 0.392157  , 5.57411   , 43.5      , 0         , 5.39093   , 30.8594   , 3.82386   , 0         , 5.38941   , 3.82386   , 3.82386   , 0         , 0         , 0         , 0         , 42.75     
    0.250, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 3.80249   , 99.9985   , 3.80249   , 99.2188   , 2.39258   , 5.25      , 7.80556   , 2120      , 800       , 819.141   , 183.906   , 163.75    , 819.141   , 990.078   , 833.828   , 1.79688   , 1.95313   , 1.48438   , 1.71875   , 12.6797   , 86.25     , 92.2266   , 10.7813   , 465       , 47.25     , 47.25     , 1.60534   , 93.75     , 62        , 0.200073  , 0.949982  , 0.392157  , 5.57411   , 43.5      , 0         , 5.39399   , 30.7602   , 3.80249   , 0         , 5.39246   , 3.80249   , 3.80249   , 0         , 0         , 0         , 0         , 42.75     
    0.300, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 3.71704   , 99.9985   , 3.71704   , 99.2188   , 2.03552   , 5.27778   , 7.36112   , 2080      , 800       , 819.141   , 181.172   , 163.984   , 819.141   , 987.813   , 831.953   , 1.79688   , 1.95313   , 1.64063   , 1.71875   , 12.3984   , 85.9688   , 91.9453   , 10.7813   , 465       , 47.25     , 47.25     , 1.58934   , 93.75     , 62        , 0.19989   , 0.949982  , 0.392157  , 4.85541   , 43.5      , 0         , 5.39093   , 30.8624   , 3.71704   , 0         , 5.38941   , 3.71704   , 3.71704   , 0         , 0         , 0         , 0         , 42.75     
    0.350, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 3.39051   , 99.9985   , 3.39051   , 99.2188   , 0.848389  , 5.25      , 7.47223   , 2080      , 800       , 819.141   , 178.906   , 163.984   , 819.141   , 987.656   , 831.797   , 1.79688   , 1.95313   , 1.64063   , 1.71875   , 12.1875   , 86.0156   , 91.9922   , 10.7813   , 465       , 47.25     , 47.25     , 1.584     , 93.75     , 61.9375   , 0.200134  , 0.949982  , 0.392157  , 2.33768   , 43.5      , 0         , 5.39093   , 30.7694   , 3.39051   , 0         , 5.38941   , 3.39051   , 3.39051   , 0         , 0         , 0         , 0         , 42.75     
    0.400, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 3.27454   , 99.9985   , 3.27454   , 99.2188   , 0.457764  , 5.27778   , 7.63889   , 2080      , 800       , 819.141   , 181.25    , 163.906   , 819.141   , 987.422   , 831.641   , 1.64063   , 1.95313   , 1.48438   , 1.64063   , 12.4219   , 86.1094   , 92.0859   , 10.7813   , 465       , 47.25     , 47.25     , 1.58934   , 93.75     , 61.9922   , 0.200134  , 0.949982  , 0.392157  , 1.25887   , 44.25     , 0         , 5.39093   , 30.7739   , 3.27454   , 0         , 5.38941   , 3.27454   , 3.27454   , 0         , 0         , 0         , 0         , 43.5      
    0.450, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 5.34363   , 99.9985   , 5.34363   , 99.2188   , 0         , 5.25      , 7.80556   , 2080      , 800       , 819.141   , 180.859   , 163.906   , 819.141   , 988.828   , 832.813   , 1.64063   , 1.95313   , 1.48438   , 1.64063   , 12.375    , 86.0156   , 91.9922   , 10.7813   , 465       , 47.25     , 47.25     , 1.58934   , 93.75     , 61.8984   , 0.200073  , 0.949982  , 0.392157  , 0         , 27        , 0         , 5.39093   , 30.8151   , 5.34363   , 0         , 5.34363   , 3.15857   , 3.15857   , 1         , 0         , 1         , 0         , 42.75     
    0.500, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 4.99268   , 99.9985   , 4.99268   , 99.2188   , 0         , 5.25      , 7.63889   , 2080      , 800       , 819.219   , 180.938   , 163.906   , 820.391   , 991.094   , 834.688   , 1.64063   , 1.875     , 1.5625    , 1.64063   , 12.3984   , 85.9453   , 91.9219   , 10.7813   , 465       , 47.25     , 47.25     , 1.57067   , 93.75     , 61.9453   , 0.200073  , 0.949982  , 0.392157  , 0         , 18.75     , 0         , 5.39093   , 30.7694   , 4.99268   , 0         , 4.99268   , 3.15552   , 3.15552   , 1         , 0         , 1         , 0         , 42.75     
    0.550, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 4.66614   , 99.9985   , 4.66614   , 99.2188   , 0         , 5.27778   , 7.50001   , 2080      , 800       , 819.219   , 180.469   , 163.984   , 820.391   , 989.375   , 833.203   , 1.64063   , 1.875     , 1.5625    , 1.64063   , 12.3281   , 85.8984   , 91.8516   , 10.7813   , 465       , 47.25     , 47.25     , 1.576     , 93.75     , 61.8359   , 0.200073  , 0.949982  , 0.392157  , 0         , 14.25     , 0         , 5.38941   , 30.7404   , 4.66614   , 0         , 4.66614   , 3.15857   , 3.15857   , 1         , 0         , 1         , 0         , 42.75     
    0.600, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 4.39759   , 99.9985   , 4.39759   , 99.2188   , 0         , 5.27778   , 7.75001   , 2080      , 800       , 819.219   , 182.031   , 163.906   , 819.141   , 987.422   , 831.563   , 1.71875   , 1.79688   , 1.48438   , 1.64063   , 12.4922   , 86.1094   , 92.0859   , 10.7813   , 465       , 47.25     , 47.25     , 1.6       , 93.75     , 61.8906   , 0.200134  , 0.949982  , 0.392157  , 0         , 12        , 0         , 5.39093   , 30.7556   , 4.39759   , 0         , 4.39759   , 3.15857   , 3.15857   , 1         , 0         , 1         , 0         , 42.75     
    0.650, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 4.17481   , 99.9985   , 4.17481   , 99.2188   , 0         , 5.27778   , 7.44445   , 2080      , 800       , 819.219   , 180.234   , 163.984   , 819.141   , 990.938   , 834.531   , 1.71875   , 1.79688   , 1.48438   , 1.64063   , 12.3047   , 85.8516   , 91.8047   , 10.7813   , 465       , 47.25     , 47.25     , 1.568     , 93.75     , 61.8359   , 0.200073  , 0.949982  , 0.392157  , 0         , 9.75      , 0         , 5.38941   , 30.8075   , 4.17481   , 0         , 4.17481   , 3.15552   , 3.15552   , 1         , 0         , 1         , 0         , 42.75     
