
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 120 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  05.09.2020 10:11:51.685

TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkat_w    , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      , mibas_w   , mimax_w   
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , km/h      , -         , -         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           ,           , 
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","AdaptationIdle","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","VehicleSpeed","","","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch","","","TorqueLimit"
    0.000, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 138       , 1         , 0.997224  , 1         , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 5.91736   , 99.9985   , 5.91736   , 99.2188   , 0         , 5.36112   , 8.47223   , 1120      , 1150      , 840       , 344.453   , 279.609   , 843.906   , 1163.2    , 870.078   , 0         , 1.21094   , 0.976565  , 1.25      , 1.01563   , 1.09375   , 0         , 21.75     , 22.2656   , 103.758   , 103.758   , 17.1094   , 490.018   , 40.5      , 40.5      , 1.944     , 87.75     , 88.5      , 0.70876   , 4.30144   , 0.71289   , 0.732421  , 0.361328  , 66.7969   , 0.336304  , 0.949982  , 0         , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.024    , -0.75     , 1         , 1         , 1         , 0         , 9.65729   , 44.7525   
    0.050, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 138       , 1         , 0.997224  , 1         , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 5.87769   , 99.9985   , 5.87769   , 99.2188   , 0         , 5.36112   , 8.61112   , 1080      , 1120      , 840       , 356.875   , 272.813   , 843.906   , 1163.2    , 870.078   , 0         , 1.21094   , 0.976565  , 1.25      , 1.01563   , 1.09375   , 0         , 23.25     , 23.3203   , 103.828   , 103.828   , 16.6172   , 490.018   , 40.5      , 40.5      , 1.98134   , 87.75     , 88.5      , 0.70876   , 4.30633   , 0.703125  , 0.732421  , 0.366211  , 66.7578   , 0.322327  , 0.949982  , 0         , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.024    , -3        , 1         , 1         , 1         , 0         , 10.3027   , 44.8059   
    0.100, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 138       , 1         , 0.997224  , 1         , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.12488   , 99.9985   , 6.12488   , 99.2188   , 0         , 5.38889   , 8.61112   , 1040      , 1100      , 840       , 364.766   , 279.609   , 843.906   , 1162.89   , 869.922   , 0         , 1.21094   , 0.937502  , 1.21094   , 0.976565  , 1.05469   , 0         , 23.25     , 23.7656   , 103.641   , 103.641   , 16.9922   , 489.178   , 40.5      , 41.25     , 1.99734   , 87.75     , 88.5      , 0.70876   , 4.30633   , 0.698242  , 0.732421  , 0.366211  , 66.6094   , 0.33075   , 0.949982  , 0         , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.024    , -2.25     , 1         , 1         , 1         , 0         , 10.7437   , 44.5893   
    0.150, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 138       , 1         , 0.997224  , 1         , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.48194   , 99.9985   , 6.48194   , 99.2188   , 0         , 5.36112   , 8.61112   , 1000      , 1070      , 840       , 377.5     , 297.344   , 843.906   , 1163.2    , 870.156   , 0         , 1.21094   , 0.937502  , 1.21094   , 0.976565  , 1.05469   , 0         , 24        , 24.5391   , 103.453   , 103.453   , 18.1875   , 489.178   , 40.5      , 41.25     , 2.04      , 87.75     , 88.5      , 0.70876   , 4.30144   , 0.703125  , 0.727539  , 0.366211  , 66.5781   , 0.352173  , 0.949982  , 0         , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.8832   , 3.75      , 1         , 1         , 1         , 0         , 11.0901   , 44.3589   
    0.200, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 138       , 1         , 0.997224  , 1         , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.70472   , 99.9985   , 6.70472   , 99.2188   , 0         , 5.36112   , 8.36112   , 1000      , 1050      , 840       , 384.375   , 300.781   , 843.906   , 1162.89   , 869.922   , 0         , 1.17188   , 0.89844   , 1.17188   , 0.937502  , 1.09375   , 0         , 24.75     , 25.0313   , 103.406   , 103.406   , 18.3984   , 489.178   , 41.25     , 41.25     , 2.04267   , 87.75     , 88.5      , 0.70876   , 4.30144   , 0.698242  , 0.732421  , 0.366211  , 66.3906   , 0.355835  , 0.949982  , 0         , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.024    , 1.5       , 1         , 1         , 1         , 0         , 11.4472   , 44.1544   
    0.250, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 154       , 1         , 0.997224  , 1         , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.72608   , 99.9985   , 6.72608   , 99.2188   , 0         , 5.38889   , 8.44445   , 1000      , 1020      , 840       , 392.969   , 295.391   , 843.906   , 1162.89   , 869.922   , 0         , 1.17188   , 0.89844   , 1.17188   , 0.937502  , 1.09375   , 0         , 25.5      , 25.6875   , 103.383   , 103.383   , 17.9531   , 489.178   , 41.25     , 41.25     , 2.08      , 87.75     , 88.5      , 0.70876   , 4.30144   , 0.708007  , 0.732421  , 0.366211  , 66.3047   , 0.349854  , 0.949982  , 0         , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.024    , -5.25     , 1         , 1         , 1         , 0         , 11.8301   , 44.1391   
    0.300, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 138       , 1         , 0.997224  , 1         , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.80542   , 99.9985   , 6.80542   , 99.2188   , 0         , 5.36112   , 8.61112   , 1000      , 1010      , 840       , 402.344   , 297.813   , 843.906   , 1162.89   , 869.922   , 0         , 1.13282   , 0.859377  , 1.13282   , 0.89844   , 1.05469   , 0         , 26.25     , 26.3906   , 103.336   , 103.336   , 18.0938   , 489.042   , 41.25     , 41.25     , 2.11734   , 87.75     , 87.75     , 0.70876   , 4.30144   , 0.708007  , 0.732421  , 0.366211  , 66.1484   , 0.352356  , 0.949982  , 0         , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.024    , -6.75     , 1         , 1         , 1         , 0         , 12.0895   , 44.0674   
    0.350, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 138       , 1.00092   , 0.997224  , 1         , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.80848   , 99.9985   , 6.80848   , 99.2188   , 0         , 5.36112   , 8.36112   , 960       , 990       , 840       , 406.563   , 298.516   , 843.906   , 1162.89   , 869.922   , 0         , 1.13282   , 0.859377  , 1.13282   , 0.89844   , 1.05469   , 0         , 26.25     , 26.7188   , 103.313   , 103.313   , 18.1406   , 489.042   , 41.25     , 41.25     , 2.10667   , 87.75     , 87.75     , 0.70876   , 4.30633   , 0.703125  , 0.732421  , 0.366211  , 66.1172   , 0.352906  , 0.949982  , 0         , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.9536   , -6        , 1         , 1         , 1         , 1         , 12.384    , 44.0308   
