
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 120 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  06.09.2020 11:12:08.577

TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkat_w    , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      , mibas_w   , mimax_w   
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , km/h      , -         , -         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           ,           , 
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","AdaptationIdle","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","VehicleSpeed","","","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch","","","TorqueLimit"
    0.000, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.875062  , 0.986634  , 0.887025  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 15.4816   , 99.9985   , 15.4816   , 99.2188   , 0         , 6.91667   , 10.5      , 800       , 800       , 820       , 606.094   , 506.797   , 826.641   , 1144.53   , 856.094   , 0         , 0.800783  , 0.585939  , 0.89844   , 0.722658  , 1.36719   , 0         , 42.75     , 43.0547   , 103.289   , 103.289   , 34.7109   , 345.155   , 39.75     , 39.75     , 2.46134   , 84.75     , 85.5      , 0.762528  , 4.24767   , 0.766601  , 0.732421  , 0.366211  , 0         , 0.612977  , 0.949982  , 1.56863   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.1648   , -6.75     , 0         , 0         , 0         , 1         , 20.9152   , 42.4256   
    0.050, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0.873536  , 0.986634  , 0.887025  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 15.4755   , 99.9985   , 15.4755   , 99.2188   , 0         , 6.86112   , 10.3056   , 800       , 800       , 820       , 604.766   , 507.109   , 826.641   , 1142.89   , 854.922   , 0         , 0.800783  , 0.585939  , 0.89844   , 0.722658  , 1.36719   , 0         , 42.75     , 42.9375   , 103.289   , 103.289   , 34.7109   , 345.155   , 39.75     , 39.75     , 2.43734   , 84.75     , 85.5      , 0.762528  , 4.25256   , 0.776367  , 0.732421  , 0.366211  , 0         , 0.614685  , 0.949982  , 1.56863   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.1648   , -5.25     , 0         , 0         , 0         , 1         , 20.8298   , 42.4012   
    0.100, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.87201   , 0.986634  , 0.887025  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 15.5029   , 99.9985   , 15.5029   , 99.2188   , 0         , 6.83334   , 10.5278   , 800       , 800       , 820       , 606.719   , 507.813   , 826.641   , 1142.11   , 854.375   , 0         , 0.781252  , 0.60547   , 0.917971  , 0.742189  , 1.36719   , 0         , 42.75     , 43.1016   , 103.289   , 103.289   , 34.7813   , 345.155   , 39.75     , 39.75     , 2.46134   , 84.75     , 85.5      , 0.762528  , 4.24767   , 0.776367  , 0.732421  , 0.366211  , 0         , 0.614197  , 0.949982  , 1.56863   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.1648   , -6        , 0         , 0         , 0         , 1         , 20.903    , 42.4088   
    0.150, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.870484  , 0.986634  , 0.884034  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 15.4663   , 99.9985   , 15.4663   , 99.2188   , 0         , 6.83334   , 10.4167   , 800       , 800       , 820       , 608.359   , 507.109   , 826.641   , 1143.28   , 855.156   , 0         , 0.781252  , 0.60547   , 0.917971  , 0.742189  , 1.36719   , 0         , 42.75     , 43.2188   , 103.289   , 103.289   , 34.6875   , 345.311   , 39.75     , 39.75     , 2.464     , 84.75     , 85.5      , 0.762528  , 4.25256   , 0.771484  , 0.732421  , 0.366211  , 0         , 0.617066  , 0.949982  , 1.56863   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.1648   , -5.25     , 0         , 0         , 0         , 1         , 20.958    , 42.3752   
    0.200, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0.868958  , 0.986634  , 0.882508  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 15.7105   , 99.9985   , 15.7105   , 99.2188   , 0         , 6.83334   , 10.3333   , 760       , 800       , 820       , 608.203   , 513.672   , 825.391   , 1140.86   , 853.359   , 0         , 0.761721  , 0.625002  , 0.917971  , 0.742189  , 1.32813   , 0         , 42.75     , 43.1719   , 103.289   , 103.289   , 35.2031   , 345.311   , 39.75     , 39.75     , 2.45867   , 84.75     , 85.5      , 0.762528  , 4.24767   , 0.766601  , 0.732421  , 0.366211  , 0         , 0.621338  , 0.949982  , 1.56863   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.1648   , -5.25     , 0         , 0         , 0         , 1         , 20.9183   , 42.3172   
    0.250, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.867432  , 0.986634  , 0.880982  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 15.625    , 99.9985   , 15.625    , 99.2188   , 0         , 6.83334   , 10.3611   , 760       , 800       , 820       , 608.672   , 512.344   , 825.391   , 1145.39   , 856.797   , 0         , 0.761721  , 0.625002  , 0.917971  , 0.742189  , 1.32813   , 0         , 42.75     , 43.1953   , 103.289   , 103.289   , 35.0859   , 345.311   , 39.75     , 39.75     , 2.456     , 84.75     , 85.5      , 0.762528  , 4.24767   , 0.771484  , 0.732421  , 0.366211  , 0         , 0.622071  , 0.949982  , 1.56863   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.0944   , -4.5      , 0         , 0         , 0         , 1         , 20.9397   , 42.3172   
    0.300, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.865906  , 0.986634  , 0.879456  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 15.6952   , 99.9985   , 15.6952   , 99.2188   , 0         , 6.97223   , 10.4167   , 760       , 800       , 820       , 608.984   , 513.672   , 826.641   , 1144.38   , 856.016   , 0         , 0.761721  , 0.625002  , 0.89844   , 0.722658  , 1.28907   , 0         , 42.75     , 43.2422   , 103.289   , 103.289   , 35.2031   , 345.311   , 39.75     , 39.75     , 2.45334   , 84.75     , 85.5      , 0.762528  , 4.24767   , 0.776367  , 0.732421  , 0.366211  , 0         , 0.621338  , 0.949982  , 1.56863   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.0944   , -4.5      , 0         , 0         , 0         , 1         , 20.9747   , 42.334    
    0.350, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0.865601  , 0.986634  , 0.879151  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 15.6036   , 99.9985   , 15.6036   , 99.2188   , 0         , 6.88889   , 10.5833   , 760       , 800       , 820       , 611.094   , 511.172   , 826.641   , 1145.7    , 857.031   , 0         , 0.761721  , 0.625002  , 0.89844   , 0.722658  , 1.28907   , 0         , 42.75     , 43.4063   , 103.289   , 103.289   , 34.9922   , 345.409   , 39.75     , 39.75     , 2.48      , 84.75     , 85.5      , 0.762528  , 4.24767   , 0.766601  , 0.732421  , 0.366211  , 0         , 0.62262   , 0.949982  , 1.56863   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.0944   , -4.5      , 0         , 0         , 0         , 1         , 21.0449   , 42.3172   
