
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 127 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  17.09.2020 09:58:14.050

TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fnwue     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , plsol_w   , plsolr_w  , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkat_w    , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , km/h      , -         , -         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           ,           , , 
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","BoostPressureDesired","","","","BaroPressure","","BoostPressureActual","AdaptationIdle","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","VehicleSpeed","","","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch","","","TorqueLimit","TorqueForTimingIntervention"
    0.000, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 18        , 0         , 0.899781  , 0.99997   , 0.912354  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 11.8897   , 99.9985   , 11.8897   , 99.2188   , 0         , 4.97223   , 7.75001   , 760       , 800       , 840       , 840.078   , 0         , 486.797   , 423.359   , 840.234   , 1093.13   , 852.891   , 0         , 0.89844   , 0.820315  , 0.820315  , 0.781252  , 1.13282   , 0         , 32.25     , 32.5781   , 103.289   , 103.289   , 27.2813   , 386.952   , 51        , 51        , 2.168     , 95.25     , 95.25     , 0.703872  , 4.30633   , 0.649414  , 0.732421  , 0.366211  , 0         , 0.502625  , 0.949982  , 0         , -0        , -0        , -0        , -0        , 0         , 0.375     , 0         , 12.8832   , -1.5      , 0         , 0         , 0         , 1         , 15.715    , 42.3172   , 12.088    
    0.050, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 2         , 0         , 0.898804  , 0.99997   , 0.914918  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 11.7889   , 99.9985   , 11.7889   , 99.2188   , 0         , 4.97223   , 7.41667   , 800       , 800       , 840       , 840.078   , 0         , 482.422   , 420       , 840.234   , 1094.45   , 853.906   , 0         , 0.937502  , 0.800783  , 0.820315  , 0.781252  , 1.13282   , 0         , 32.25     , 32.2969   , 103.289   , 103.289   , 27.0703   , 386.952   , 51        , 51        , 2.128     , 95.25     , 95.25     , 0.698984  , 4.30633   , 0.649414  , 0.732421  , 0.366211  , 0         , 0.501343  , 0.949982  , 0         , -0        , -0        , -0        , -0        , 0         , 0.375     , 0         , 12.9536   , -2.25     , 0         , 0         , 0         , 1         , 15.5655   , 42.3844   , 11.734    
    0.100, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 2         , 0         , 0.898804  , 0.99997   , 0.914918  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 11.7676   , 99.9985   , 11.7676   , 99.2188   , 0         , 4.97223   , 7.61112   , 800       , 800       , 840       , 840.078   , 0         , 480.391   , 419.063   , 840.234   , 1093.36   , 853.047   , 0         , 0.937502  , 0.800783  , 0.820315  , 0.781252  , 1.13282   , 0         , 31.5      , 32.1328   , 103.289   , 103.289   , 27        , 386.952   , 51        , 51        , 2.14134   , 95.25     , 95.25     , 0.703872  , 4.30633   , 0.649414  , 0.732421  , 0.366211  , 0         , 0.499024  , 0.949982  , 0         , -0        , -0        , -0        , -0        , 0         , 0.375     , 0         , 12.9536   , -1.5      , 0         , 0         , 0         , 1         , 15.4068   , 42.392    , 11.7432   
    0.150, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 18        , 0         , 0.919312  , 0.99997   , 0.914918  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 11.7188   , 99.9985   , 11.7188   , 99.2188   , 0         , 4.97223   , 7.41667   , 800       , 800       , 840       , 840.078   , 0         , 477.578   , 417.5     , 840.234   , 1093.13   , 852.891   , 0         , 0.937502  , 0.800783  , 0.820315  , 0.820315  , 1.09375   , 0         , 31.5      , 31.9219   , 103.289   , 103.289   , 26.9063   , 386.952   , 51        , 51        , 2.14134   , 95.25     , 95.25     , 0.698984  , 4.30633   , 0.639648  , 0.732421  , 0.366211  , 0         , 0.496765  , 0.949982  , 0         , -0        , -0        , -0        , -0        , 0         , 0.375     , 0         , 12.9536   , -1.5      , 0         , 0         , 0         , 1         , 15.358    , 42.4179   , 11.7096   
    0.200, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 2         , 0         , 0.920533  , 0.99997   , 0.914918  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 11.8073   , 99.9985   , 11.8073   , 99.2188   , 0         , 4.94445   , 7.61112   , 760       , 800       , 840       , 840.078   , 0         , 475.156   , 420.625   , 840.234   , 1093.83   , 853.438   , 0         , 0.937502  , 0.800783  , 0.820315  , 0.820315  , 1.09375   , 0         , 31.5      , 31.6641   , 103.289   , 103.289   , 27.1172   , 386.952   , 51        , 51        , 2.14934   , 95.25     , 95.25     , 0.698984  , 4.30633   , 0.654297  , 0.727539  , 0.366211  , 0         , 0.499939  , 0.949982  , 0         , -0        , -0        , -0        , -0        , 0         , 0.375     , 0         , 12.8832   , -0.75     , 0         , 0         , 0         , 1         , 15.1337   , 42.3676   , 11.8591   
    0.250, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 2         , 0         , 0.921754  , 0.99997   , 0.914918  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 11.7554   , 99.9985   , 11.7554   , 99.2188   , 0         , 4.94445   , 7.94445   , 760       , 800       , 840       , 840.078   , 0         , 477.813   , 418.594   , 840.234   , 1094.45   , 853.906   , 0         , 0.89844   , 0.820315  , 0.800783  , 0.859377  , 1.09375   , 0         , 31.5      , 31.9219   , 103.289   , 103.289   , 26.9766   , 386.952   , 51        , 51        , 2.17334   , 95.25     , 95.25     , 0.703872  , 4.30633   , 0.659179  , 0.732421  , 0.366211  , 0         , 0.498352  , 0.949982  , 0         , -0        , -0        , -0        , -0        , 0         , 0.375     , 0         , 12.9536   , -0.75     , 0         , 0         , 0         , 1         , 15.1947   , 42.4012   , 11.8012   
    0.300, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 18        , 0         , 0.922974  , 0.99997   , 0.914918  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 11.8042   , 99.9985   , 11.8042   , 99.2188   , 0         , 4.94445   , 7.58334   , 760       , 800       , 840       , 840.078   , 0         , 478.359   , 420.391   , 840.234   , 1093.83   , 853.438   , 0         , 0.89844   , 0.820315  , 0.800783  , 0.859377  , 1.09375   , 0         , 31.5      , 31.9453   , 103.289   , 103.289   , 27.0938   , 386.932   , 51        , 51        , 2.16267   , 95.25     , 95.25     , 0.698984  , 4.31122   , 0.649414  , 0.732421  , 0.366211  , 0         , 0.499939  , 0.949982  , 0         , -0        , -0        , -0        , -0        , 0         , 0.375     , 0         , 12.9536   , -0.75     , 0         , 0         , 0         , 1         , 15.2954   , 42.3752   , 11.8561   
    0.350, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 2         , 0         , 0.924195  , 0.99997   , 0.914918  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 11.8134   , 99.9985   , 11.8134   , 99.2188   , 0         , 4.97223   , 7.77778   , 800       , 800       , 840       , 840.078   , 0         , 479.063   , 420.625   , 840.234   , 1093.36   , 853.047   , 0         , 0.937502  , 0.800783  , 0.800783  , 0.859377  , 1.05469   , 0         , 31.5      , 31.9922   , 103.289   , 103.289   , 27.1172   , 386.932   , 51        , 51        , 2.17334   , 95.25     , 95.25     , 0.703872  , 4.30633   , 0.654297  , 0.732421  , 0.366211  , 0         , 0.498719  , 0.949982  , 0         , -0        , -0        , -0        , -0        , 0         , 0.375     , 0         , 12.9536   , -0.75     , 0         , 0         , 0         , 1         , 15.2954   , 42.3752   , 11.7828   
