
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 108 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  28.07.2019 08:51:56.768

TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , ps_w      , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , vfil_w    , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , km/h      , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","","BaroPressure","","BoostPressureActual","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","VehicleSpeed","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch",""
    0.000, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.998719  , 0.99997   , 1.0076    , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.54603   , 99.9985   , 6.54603   , 33.9844   , 0         , 6.02778   , 15.4445   , 1400      , 1320      , 820       , 359.063   , 829.063   , 1005.94   , 870.078   , 0.546876  , 0.44922   , 0.566408  , 0.585939  , 0.60547   , 0         , 37.5      , 37.9219   , 83.2969   , 88.2891   , 18.4688   , 240.976   , 27.75     , 27.75     , 1.992     , 27.75     , 28.5      , 0.791856  , 4.21834   , 0.908203  , 0.732421  , 0.366211  , 0         , 2.35294   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 14.0096   , -3        , 0         , 0         , 0         , 1         
    0.050, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.997346  , 0.99997   , 1.0076    , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.4087    , 99.9985   , 6.4087    , 38.2813   , 0         , 6.02778   , 15.3611   , 1360      , 1310      , 820       , 358.516   , 830.313   , 1005.78   , 869.922   , 0.566408  , 0.44922   , 0.546876  , 0.566408  , 0.585939  , 0         , 37.5      , 37.8516   , 82.8984   , 87.7266   , 18.9609   , 240.976   , 27.75     , 27.75     , 1.98934   , 27.75     , 28.5      , 0.791856  , 4.21834   , 0.893554  , 0.732421  , 0.366211  , 0         , 2.35294   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.9392   , -3.75     , 0         , 0         , 0         , 1         
    0.100, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.996125  , 0.99997   , 1.0076    , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.35071   , 99.9985   , 6.35071   , 38.2813   , 0         , 6         , 15.1945   , 1360      , 1310      , 820       , 360.156   , 830.313   , 1005.78   , 869.922   , 0.566408  , 0.44922   , 0.546876  , 0.566408  , 0.585939  , 0         , 37.5      , 37.9688   , 82.4766   , 87.1641   , 19.2422   , 240.976   , 27.75     , 27.75     , 1.952     , 27.75     , 28.5      , 0.791856  , 4.21834   , 0.883789  , 0.732421  , 0.366211  , 0         , 2.35294   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 14.0096   , -3.75     , 0         , 0         , 0         , 1         
    0.150, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.994904  , 0.99997   , 1.0076    , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.22559   , 99.9985   , 6.22559   , 38.2813   , 0         , 6.02778   , 14.9722   , 1360      , 1300      , 820       , 358.906   , 830.313   , 1005.78   , 869.922   , 0.546876  , 0.468751  , 0.507814  , 0.546876  , 0.566408  , 0         , 37.5      , 37.7109   , 82.3828   , 87        , 19.3594   , 240.976   , 27.75     , 27.75     , 2.01867   , 27.75     , 28.5      , 0.791856  , 4.22323   , 0.898437  , 0.732421  , 0.366211  , 0         , 2.35294   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.9392   , -3.75     , 0         , 0         , 0         , 1         
    0.200, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0.993684  , 0.99997   , 1.0076    , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.09131   , 99.9985   , 6.09131   , 42.5782   , 0         , 5.94445   , 15.8056   , 1320      , 1290      , 820       , 365.156   , 830.313   , 1005.78   , 869.922   , 0.546876  , 0.468751  , 0.507814  , 0.546876  , 0.566408  , 0         , 38.25     , 38.4609   , 82.3125   , 86.9063   , 19.1719   , 240.038   , 27.75     , 27.75     , 2.12267   , 27.75     , 28.5      , 0.791856  , 4.21834   , 0.893554  , 0.732421  , 0.366211  , 0         , 2.35294   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.9392   , -3.75     , 0         , 0         , 0         , 1         
    0.250, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.992463  , 0.99997   , 1.0076    , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 5.97535   , 99.9985   , 5.97535   , 42.5782   , 0         , 6         , 15.4167   , 1320      , 1290      , 820       , 367.813   , 830.313   , 1006.41   , 870.469   , 0.527345  , 0.488283  , 0.488283  , 0.546876  , 0.546876  , 0         , 38.25     , 38.7656   , 82.1953   , 86.7422   , 18.8438   , 240.038   , 27.75     , 27.75     , 2.10934   , 27.75     , 28.5      , 0.791856  , 4.21834   , 0.90332   , 0.732421  , 0.366211  , 0         , 2.35294   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -3.75     , 0         , 0         , 0         , 1         
    0.300, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.991242  , 0.99997   , 1.0076    , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 5.85938   , 99.9985   , 5.85938   , 42.5782   , 0         , 6.02778   , 15.0833   , 1320      , 1280      , 820       , 369.453   , 830.313   , 1005.78   , 869.922   , 0.527345  , 0.488283  , 0.488283  , 0.546876  , 0.546876  , 0         , 38.25     , 38.9297   , 81.9141   , 86.3672   , 18.7031   , 240.038   , 27.75     , 27.75     , 2.10667   , 27.75     , 28.5      , 0.791856  , 4.22323   , 0.883789  , 0.732421  , 0.366211  , 0         , 2.35294   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -3.75     , 0         , 0         , 0         , 1         
    0.350, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.990021  , 0.99997   , 1.0076    , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 5.84107   , 99.9985   , 5.84107   , 42.5782   , 0         , 5.97223   , 14.1667   , 1320      , 1270      , 820       , 363.438   , 830.313   , 1003.52   , 867.969   , 0.507814  , 0.468751  , 0.507814  , 0.527345  , 0.566408  , 0         , 37.5      , 38.1328   , 81.7734   , 86.1797   , 18.9609   , 240.038   , 27.75     , 27.75     , 2.03467   , 27.75     , 28.5      , 0.791856  , 4.21834   , 0.883789  , 0.732421  , 0.366211  , 0         , 2.35294   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 14.0096   , -3.75     , 0         , 0         , 0         , 1         
