
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 73 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  30.12.2017 10:20:34.189

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    0.000, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 0.982667  , 99.2188   , 0         , 5.72223   , 7.8889    , 920       , 820       , 836.875   , 400.234   , 200.391   , 837.734   , 1156.95   , 865.469   , 0.703127  , 1.21094   , 0.722658  , 1.13282   , 28.6875   , 72.1406   , 73.2891   , 10.875    , 465       , -2.25     , -2.25     , 2.12267   , 88.5      , 0         , 0.239441  , 0.949982  , 0         , 0         , -14.25    , 13.8397   , 34.6695   , 0         
    0.050, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 0.982667  , 99.2188   , 0         , 5.72223   , 7.72223   , 920       , 820       , 836.875   , 399.453   , 199.844   , 837.734   , 1157.27   , 865.625   , 0.703127  , 1.21094   , 0.722658  , 1.13282   , 28.6406   , 72.1406   , 73.2891   , 10.875    , 465       , -2.25     , -2.25     , 2.11467   , 88.5      , 0         , 0.23877   , 0.949982  , 0         , 0         , -14.25    , 13.8458   , 34.7077   , 0         
    0.100, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 0.976563  , 99.2188   , 0         , 5.72223   , 7.38889   , 920       , 820       , 836.875   , 395.391   , 199.688   , 837.734   , 1155.78   , 864.531   , 0.722658  , 1.17188   , 0.722658  , 1.17188   , 28.2891   , 72.1406   , 73.2891   , 10.875    , 465       , -2.25     , -2.25     , 2.088     , 88.5      , 0         , 0.238587  , 0.949982  , 0         , 0         , -14.25    , 13.7314   , 34.729    , 0         
    0.150, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 0.982667  , 99.2188   , 0         , 5.72223   , 7.58334   , 920       , 820       , 836.875   , 393.125   , 199.375   , 837.734   , 1157.27   , 865.625   , 0.722658  , 1.17188   , 0.722658  , 1.17188   , 28.1016   , 72.1406   , 73.2891   , 10.875    , 465       , -2.25     , -2.25     , 2.09067   , 88.5      , 0         , 0.23822   , 0.949982  , 0         , 0         , -14.25    , 13.5651   , 34.6848   , 0         
    0.200, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.01318   , 99.2188   , 0         , 5.72223   , 7.66667   , 920       , 820       , 836.875   , 393.125   , 200.469   , 837.734   , 1157.27   , 865.625   , 0.742189  , 1.17188   , 0.703127  , 1.21094   , 28.0313   , 72.1406   , 73.2891   , 10.875    , 465       , -2.25     , -2.25     , 2.096     , 88.5      , 0         , 0.239502  , 0.949982  , 0         , 0         , -14.25    , 13.4995   , 34.5658   , 0         
    0.250, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.02844   , 99.2188   , 0         , 5.72223   , 7.27778   , 920       , 820       , 836.875   , 391.484   , 202.109   , 837.734   , 1157.27   , 865.625   , 0.742189  , 1.17188   , 0.703127  , 1.21094   , 27.7734   , 72.1406   , 73.2891   , 10.875    , 465       , -2.25     , -2.25     , 2.06134   , 88.5      , 0         , 0.241455  , 0.949982  , 0         , 0         , -14.25    , 13.4323   , 34.581    , 0         
    0.300, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.03149   , 99.2188   , 0         , 5.75      , 7.27778   , 920       , 820       , 836.875   , 390.078   , 201.953   , 836.484   , 1157.27   , 865.625   , 0.742189  , 1.13282   , 0.722658  , 1.17188   , 27.6563   , 72.1406   , 73.2891   , 10.875    , 465       , -2.25     , -2.25     , 2.05334   , 88.5      , 0         , 0.241272  , 0.949982  , 0         , 0         , -14.25    , 13.4293   , 34.5658   , 0         
    0.350, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.04065   , 99.2188   , 0         , 5.72223   , 7.58334   , 880       , 820       , 836.875   , 390.938   , 201.406   , 836.484   , 1157.27   , 865.625   , 0.742189  , 1.13282   , 0.722658  , 1.17188   , 27.7734   , 72.1406   , 73.2891   , 10.875    , 465       , -2.25     , -2.25     , 2.08      , 88.5      , 0         , 0.240662  , 0.949982  , 0         , 0         , -12.75    , 13.4277   , 34.5505   , 0         
    0.400, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.05896   , 99.2188   , 0         , 5.72223   , 7.36112   , 880       , 820       , 836.875   , 391.406   , 202.188   , 836.484   , 1157.27   , 865.625   , 0.722658  , 1.09375   , 0.742189  , 1.21094   , 27.7734   , 72.1406   , 73.2891   , 10.875    , 465       , -2.25     , -2.25     , 2.06667   , 88.5      , 0         , 0.241577  , 0.949982  , 0         , 0         , -13.5     , 13.4201   , 34.4986   , 0         
    0.450, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.07727   , 99.2188   , 0         , 5.72223   , 7.80556   , 880       , 820       , 836.875   , 394.141   , 203.203   , 836.484   , 1157.27   , 865.625   , 0.722658  , 1.09375   , 0.742189  , 1.21094   , 27.9141   , 72.1406   , 73.2891   , 10.875    , 470       , -2.25     , -2.25     , 2.09067   , 88.5      , 0         , 0.242798  , 0.949982  , 0         , 0         , -13.5     , 13.4155   , 34.4696   , 0         
    0.500, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.07117   , 99.2188   , 0         , 5.72223   , 7.69445   , 880       , 820       , 836.875   , 397.188   , 203.672   , 836.484   , 1157.27   , 865.625   , 0.703127  , 1.13282   , 0.722658  , 1.21094   , 28.1719   , 72.1406   , 73.2891   , 10.875    , 470       , -2.25     , -2.25     , 2.136     , 88.5      , 0         , 0.243347  , 0.949982  , 0         , 0         , -13.5     , 13.5544   , 34.4849   , 0         
