
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 73 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  16.05.2018 20:49:10.497

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    0.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 1.30921   , 99.2188   , 0         , 4.41667   , 6.44445   , 800       , 820       , 825.156   , 369.766   , 204.922   , 825.391   , 973.828   , 842.266   , 0.703127  , 1.17188   , 0.820315  , 1.21094   , 26.5781   , 72.1406   , 73.2891   , 10.875    , 240       , 45        , 45        , 2.07734   , 97.5      , 0         , 0.248291  , 0.949982  , 0         , 0         , -12       , 10.965    , 25.0458   , 0.527954  
    0.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 1.3031    , 99.2188   , 0         , 4.44445   , 6.55556   , 800       , 820       , 825.156   , 371.094   , 204.844   , 825.391   , 971.641   , 840.391   , 0.683596  , 1.21094   , 0.800783  , 1.25      , 26.7188   , 72.1406   , 73.2891   , 10.875    , 240       , 45        , 45        , 2.09334   , 97.5      , 0         , 0.24823   , 0.949982  , 0         , 0         , -12       , 11.0504   , 25.0382   , 0.45166   
    0.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 1.32752   , 99.2188   , 0         , 4.41667   , 7.11112   , 800       , 820       , 825.156   , 377.891   , 205.469   , 825.391   , 971.328   , 840.078   , 0.683596  , 1.21094   , 0.800783  , 1.25      , 27.3047   , 72.1406   , 73.2891   , 10.875    , 240       , 45        , 45        , 2.144     , 97.5      , 0         , 0.248963  , 0.949982  , 0         , 0         , -12       , 11.3754   , 25.0427   , 0.64087   
    0.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 1.30921   , 99.2188   , 0         , 4.41667   , 7.11112   , 800       , 820       , 825.156   , 383.672   , 205.234   , 825.391   , 972.031   , 840.703   , 0.703127  , 1.25      , 0.800783  , 1.25      , 27.8906   , 72.1406   , 73.2891   , 10.875    , 240       , 45        , 45        , 2.16      , 97.5      , 0         , 0.248718  , 0.949982  , 0         , 0         , -12       , 11.6058   , 25.0427   , 0.765992  
    0.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 1.30615   , 99.2188   , 0         , 4.41667   , 6.80556   , 800       , 820       , 825.156   , 386.641   , 205.391   , 825.391   , 971.641   , 840.391   , 0.703127  , 1.25      , 0.800783  , 1.25      , 28.1484   , 72.1406   , 73.2891   , 10.875    , 240       , 45        , 45        , 2.15467   , 97.5      , 0         , 0.248902  , 0.949982  , 0         , 0         , -12.75    , 11.702    , 25.0382   , 0.491333  
    0.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 1.27869   , 99.2188   , 0         , 4.41667   , 6.38889   , 800       , 820       , 825.078   , 382.266   , 204.609   , 824.141   , 971.328   , 840.078   , 0.703127  , 1.25      , 0.781252  , 1.21094   , 27.7969   , 72.1406   , 73.2891   , 10.875    , 240       , 45        , 45        , 2.12267   , 97.5      , 0         , 0.247925  , 0.949982  , 0         , 0         , -12.75    , 11.6028   , 25.0565   , 0.198364  
    0.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 1.26953   , 99.2188   , 0         , 4.41667   , 6.86112   , 800       , 820       , 825.078   , 382.422   , 203.906   , 824.141   , 971.328   , 840.078   , 0.703127  , 1.25      , 0.781252  , 1.21094   , 27.8672   , 72.1406   , 73.2891   , 10.875    , 245       , 45        , 45        , 2.15734   , 97.5      , 0         , 0.247132  , 0.949982  , 0         , 0         , -12.75    , 11.6211   , 25.0717   , 0.100708  
    0.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 1.24512   , 99.2188   , 0         , 4.41667   , 6.88889   , 800       , 820       , 825.078   , 383.516   , 203.75    , 825.391   , 971.328   , 840.078   , 0.683596  , 1.28907   , 0.800783  , 1.25      , 27.9844   , 72.1406   , 73.2891   , 10.875    , 245       , 45        , 45        , 2.152     , 97.5      , 0         , 0.246887  , 0.949982  , 0         , 0         , -12.75    , 11.6425   , 25.0748   , 0         
    0.400, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 1.27258   , 99.2188   , 0         , 4.41667   , 6.83334   , 840       , 820       , 825.078   , 383.75    , 203.906   , 825.391   , 971.563   , 840.313   , 0.683596  , 1.28907   , 0.800783  , 1.25      , 27.9844   , 72.1406   , 73.2891   , 10.875    , 245       , 45        , 45        , 2.14934   , 97.5      , 0         , 0.247132  , 0.949982  , 0         , 0         , -12.75    , 11.6562   , 25.0687   , 0         
    0.450, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 1.26038   , 99.2188   , 0         , 4.41667   , 6.38889   , 840       , 820       , 825.156   , 379.531   , 203.516   , 825.391   , 972.422   , 841.094   , 0.664064  , 1.32813   , 0.800783  , 1.25      , 27.6094   , 72.1406   , 73.2891   , 10.875    , 245       , 45        , 45        , 2.10667   , 97.5      , 0         , 0.246643  , 0.949982  , 0         , 0         , -12.75    , 11.6394   , 25.0794   , 0         
    0.500, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 1.22681   , 99.2188   , 0         , 4.41667   , 6.66667   , 840       , 820       , 825.156   , 377.656   , 203.203   , 825.391   , 973.75    , 842.188   , 0.664064  , 1.32813   , 0.800783  , 1.25      , 27.4688   , 72.1406   , 73.2891   , 10.875    , 245       , 45        , 45        , 2.096     , 97.5      , 0         , 0.246216  , 0.949982  , 0         , 0         , -12.75    , 11.5067   , 25.09     , 0         
    0.550, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 1.18713   , 99.2188   , 0         , 4.41667   , 6.88889   , 840       , 820       , 825.156   , 377.109   , 202.188   , 825.391   , 972.734   , 841.328   , 0.683596  , 1.32813   , 0.781252  , 1.28907   , 27.4922   , 72.1406   , 73.2891   , 10.875    , 245       , 45        , 45        , 2.09867   , 97.5      , 0         , 0.244995  , 0.949982  , 0         , 0         , -12.75    , 11.5189   , 25.1007   , 0         
