TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , ps_w      , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , vfil_w    , vpssplg_w , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      , mimax_w   
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , km/h      , -         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           , 
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","","BaroPressure","","BoostPressureActual","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","VehicleSpeed","","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch","","TorqueLimit"
    0.400, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.965363  , 0.993958  , 0.949097  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 14.8712   , 99.9985   , 14.8712   , 99.2188   , 0         , 6.30556   , 9.61112   , 800       , 800       , 820       , 584.375   , 834.063   , 1150      , 860.234   , 0.683596  , 0.703127  , 0.800783  , 0.683596  , 0.722658  , 0         , 40.5      , 40.6641   , 80.9297   , 84.2578   , 33.2813   , 442.128   , 45        , 45        , 2.38934   , 92.25     , 93        , 0.728312  , 4.28189   , 0.708007  , 0.732421  , 0.366211  , 0         , 0.596619  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.672    , 0.75      , 1         , 1         , 0         , 1         , 36.8241   
    0.450, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.966889  , 0.993958  , 0.949097  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 14.856    , 99.9985   , 14.856    , 99.2188   , 0         , 6.30556   , 9.47223   , 800       , 800       , 820       , 583.75    , 834.063   , 1150      , 860.234   , 0.683596  , 0.703127  , 0.800783  , 0.683596  , 0.722658  , 0         , 40.5      , 40.6172   , 80.9297   , 84.2578   , 33.4688   , 442.128   , 45        , 45        , 2.38667   , 92.25     , 93        , 0.728312  , 4.28189   , 0.71289   , 0.732421  , 0.366211  , 0         , 0.596619  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.5312   , 0.75      , 1         , 1         , 0         , 1         , 36.8241   
    0.500, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.968415  , 0.993958  , 0.952027  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 14.8438   , 99.9985   , 14.8438   , 99.2188   , 0         , 6.27778   , 9.41667   , 800       , 800       , 820       , 583.203   , 834.063   , 1150      , 860.234   , 0.703127  , 0.683596  , 0.800783  , 0.683596  , 0.742189  , 0         , 40.5      , 40.5703   , 80.9297   , 84.2578   , 33.4453   , 442.128   , 45        , 45        , 2.392     , 92.25     , 93        , 0.728312  , 4.28189   , 0.708007  , 0.732421  , 0.366211  , 0         , 0.596314  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.5312   , 0.75      , 1         , 1         , 0         , 1         , 36.8241   
    0.550, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.969941  , 0.993958  , 0.953553  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 14.8468   , 99.9985   , 14.8468   , 99.2188   , 0         , 6.30556   , 9.50001   , 760       , 800       , 820       , 582.969   , 834.063   , 1150.47   , 860.625   , 0.703127  , 0.683596  , 0.800783  , 0.683596  , 0.742189  , 0         , 40.5      , 40.5703   , 80.9297   , 84.2578   , 33.2344   , 442.323   , 45        , 45        , 2.4       , 92.25     , 93        , 0.728312  , 4.28678   , 0.717773  , 0.732421  , 0.366211  , 0         , 0.593018  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.6016   , 0.75      , 1         , 1         , 0         , 1         , 36.8454   
    0.600, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.950532  , 0.993958  , 0.954468  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 14.8895   , 99.9985   , 14.8895   , 99.2188   , 0         , 6.30556   , 9.55556   , 760       , 800       , 820       , 585       , 834.063   , 1152.73   , 862.266   , 0.703127  , 0.683596  , 0.820315  , 0.664064  , 0.761721  , 0         , 40.5      , 40.7109   , 80.9297   , 84.2578   , 33.3516   , 442.323   , 45        , 45        , 2.36534   , 92.25     , 93        , 0.728312  , 4.28189   , 0.717773  , 0.732421  , 0.366211  , 0         , 0.597229  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.6016   , 1.5       , 1         , 1         , 0         , 1         , 36.8012   
    0.650, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.949006  , 0.993958  , 0.954468  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 14.9323   , 99.9985   , 14.9323   , 99.2188   , 0         , 6.30556   , 9.44445   , 760       , 800       , 820       , 587.5     , 834.063   , 1149.38   , 859.766   , 0.703127  , 0.683596  , 0.820315  , 0.664064  , 0.761721  , 0         , 40.5      , 40.8516   , 80.9297   , 84.2578   , 33.4453   , 442.323   , 45        , 45        , 2.37334   , 92.25     , 93        , 0.723424  , 4.28189   , 0.708007  , 0.732421  , 0.366211  , 0         , 0.597535  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.6016   , 1.5       , 1         , 1         , 0         , 1         , 36.7478   
    0.700, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.94748   , 0.993958  , 0.954468  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 14.8743   , 99.9985   , 14.8743   , 99.2188   , 0         , 6.33334   , 9.36112   , 760       , 800       , 820       , 586.875   , 832.813   , 1151.25   , 861.172   , 0.722658  , 0.664064  , 0.839846  , 0.644533  , 0.761721  , 0         , 40.5      , 40.8281   , 80.9297   , 84.2578   , 33.3516   , 442.323   , 45        , 45        , 2.37067   , 92.25     , 93        , 0.728312  , 4.28189   , 0.703125  , 0.732421  , 0.366211  , 0         , 0.598755  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.6016   , 0.75      , 1         , 1         , 0         , 1         , 36.7798   
    0.750, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.945954  , 0.993958  , 0.954468  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 14.9078   , 99.9985   , 14.9078   , 99.2188   , 0         , 6.30556   , 9.41667   , 760       , 800       , 820       , 586.563   , 832.813   , 1150.47   , 860.625   , 0.722658  , 0.664064  , 0.839846  , 0.644533  , 0.761721  , 0         , 40.5      , 40.8047   , 80.9297   , 84.2578   , 33.4219   , 442.323   , 45        , 45        , 2.37067   , 92.25     , 93        , 0.723424  , 4.28189   , 0.708007  , 0.732421  , 0.366211  , 0         , 0.596497  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.6016   , 1.5       , 1         , 1         , 0         , 1         , 36.7691   
    0.800, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.944428  , 0.993958  , 0.954468  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 14.9536   , 99.9985   , 14.9536   , 99.2188   , 0         , 6.27778   , 9.52779   , 760       , 800       , 820       , 586.953   , 834.063   , 1150.47   , 860.625   , 0.722658  , 0.644533  , 0.839846  , 0.644533  , 0.781252  , 0         , 40.5      , 40.8047   , 80.9297   , 84.2578   , 33.4922   , 442.323   , 45        , 45        , 2.37334   , 92.25     , 93        , 0.728312  , 4.28189   , 0.708007  , 0.732421  , 0.366211  , 0         , 0.600037  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.6016   , 1.5       , 1         , 1         , 0         , 1         , 36.7584   
    0.850, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.942902  , 0.993958  , 0.954468  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 14.8804   , 99.9985   , 14.8804   , 99.2188   , 0         , 6.30556   , 9.47223   , 760       , 800       , 820       , 586.484   , 834.063   , 1151.41   , 861.328   , 0.722658  , 0.644533  , 0.839846  , 0.644533  , 0.781252  , 0         , 40.5      , 40.8047   , 80.9297   , 84.2578   , 33.3516   , 442.323   , 45        , 45        , 2.368     , 92.25     , 93        , 0.728312  , 4.28189   , 0.698242  , 0.732421  , 0.366211  , 0         , 0.595276  , 0.392157  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.6016   , 0.75      , 1         , 1         , 0         , 1         , 36.7798   
