TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , misolv_w  , mizsolv_w , milsol_w  , milsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           , , , , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueBeforeLimitation","TorqueForTimingIntervention","",""
    0.400, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.8584    , 99.2188   , 0         , 4.77778   , 7.13889   , 760       , 820       , 831.016   , 409.609   , 264.531   , 830.313   , 1002.27   , 852.188   , 0.781252  , 1.13282   , 0.60547   , 0.703127  , 30.3516   , 72.1406   , 73.2891   , 16.2656   , 235       , 17.25     , 17.25     , 2.168     , 58.5      , 0         , 0.319153  , 0.949982  , 0         , 0         , -9.75     , 12.3596   , 24.9481   , 4.8584    , 5.13306   , 5.74036   , 5.74036   
    0.450, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.78821   , 99.2188   , 0         , 4.80556   , 7.02778   , 760       , 820       , 831.016   , 409.063   , 262.578   , 831.563   , 1002.97   , 852.813   , 0.800783  , 1.13282   , 0.625002  , 0.703127  , 30.3281   , 72.1406   , 73.2891   , 16.125    , 235       , 17.25     , 17.25     , 2.13334   , 58.5      , 0         , 0.315918  , 0.949982  , 0         , 0         , -10.5     , 12.3978   , 24.9588   , 4.78821   , 4.93164   , 5.66712   , 5.66712   
    0.500, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.776     , 99.2188   , 0         , 4.77778   , 6.88889   , 760       , 820       , 831.016   , 407.813   , 261.953   , 831.563   , 1002.73   , 852.578   , 0.800783  , 1.13282   , 0.625002  , 0.703127  , 30.2344   , 72.1406   , 73.2891   , 16.1016   , 235       , 17.25     , 17.25     , 2.12534   , 58.5      , 0         , 0.31604   , 0.949982  , 0         , 0         , -10.5     , 12.3825   , 24.9695   , 4.776     , 5.05677   , 5.65491   , 5.65491   
    0.550, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.86145   , 99.2188   , 0         , 4.83334   , 6.75001   , 760       , 820       , 831.016   , 405.547   , 263.984   , 831.563   , 1002.97   , 852.813   , 0.820315  , 1.13282   , 0.625002  , 0.683596  , 30        , 72.1406   , 73.2891   , 16.2656   , 235       , 17.25     , 17.25     , 2.12267   , 58.5      , 0         , 0.317627  , 0.949982  , 0         , 0         , -9        , 12.2833   , 24.9588   , 4.86145   , 5.38025   , 5.74036   , 5.74036   
    0.600, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.82788   , 99.2188   , 0         , 4.80556   , 6.97223   , 760       , 820       , 831.016   , 404.609   , 264.063   , 831.563   , 1002.97   , 852.813   , 0.820315  , 1.13282   , 0.625002  , 0.683596  , 29.8359   , 72.1406   , 73.2891   , 16.1953   , 235       , 17.25     , 17.25     , 2.12534   , 58.5      , 0         , 0.319519  , 0.949982  , 0         , 0         , -10.5     , 12.2223   , 24.9405   , 4.82788   , 4.97132   , 5.70679   , 5.70679   
    0.650, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.83704   , 99.2188   , 0         , 4.80556   , 7.19445   , 760       , 820       , 831.016   , 407.5     , 263.125   , 831.563   , 1002.97   , 852.813   , 0.820315  , 1.13282   , 0.644533  , 0.703127  , 30.2109   , 72.1406   , 73.2891   , 16.2188   , 235       , 17.25     , 17.25     , 2.19467   , 58.5      , 0         , 0.31659   , 0.949982  , 0         , 0         , -9.75     , 12.291    , 24.9695   , 4.83704   , 5.16358   , 5.71595   , 5.71595   
    0.700, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.86451   , 99.2188   , 0         , 4.77778   , 6.97223   , 760       , 820       , 831.016   , 409.063   , 264.219   , 831.563   , 1001.64   , 851.719   , 0.820315  , 1.13282   , 0.644533  , 0.703127  , 30.3047   , 72.1406   , 73.2891   , 16.2656   , 235       , 17.25     , 17.25     , 2.18134   , 58.5      , 0         , 0.318176  , 0.949982  , 0         , 0         , -9        , 12.3566   , 24.9558   , 4.86451   , 5.32837   , 5.74341   , 5.74341   
    0.750, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.92859   , 99.2188   , 0         , 4.77778   , 7.00001   , 760       , 820       , 831.094   , 409.922   , 265.625   , 831.563   , 1001.95   , 851.953   , 0.839846  , 1.09375   , 0.664064  , 0.703127  , 30.3516   , 72.1406   , 73.2891   , 16.3594   , 235       , 17.25     , 17.25     , 2.168     , 58.5      , 0         , 0.31958   , 0.949982  , 0         , 0         , -9        , 12.3856   , 24.9466   , 4.92859   , 5.3711    , 5.8075    , 5.8075    
    0.800, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.90113   , 99.2188   , 0         , 4.80556   , 6.91667   , 760       , 820       , 831.094   , 408.75    , 265.313   , 831.563   , 1000.47   , 850.703   , 0.839846  , 1.09375   , 0.664064  , 0.703127  , 30.2578   , 72.1406   , 73.2891   , 16.3359   , 235       , 17.25     , 17.25     , 2.16534   , 58.5      , 0         , 0.320069  , 0.949982  , 0         , 0         , -9.75     , 12.3596   , 24.9466   , 4.90113   , 5.17578   , 5.78003   , 5.78003   
    0.850, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.97742   , 99.2188   , 0         , 4.80556   , 6.83334   , 760       , 820       , 831.094   , 408.203   , 265.938   , 831.563   , 1002.89   , 852.734   , 0.859377  , 1.09375   , 0.664064  , 0.683596  , 30.2578   , 72.1406   , 73.2891   , 16.4531   , 235       , 17.25     , 17.25     , 2.16      , 58.5      , 0         , 0.319947  , 0.949982  , 0         , 0         , -8.25     , 12.3657   , 24.9588   , 4.97742   , 5.78003   , 5.85633   , 5.85633   
