
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 92 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  05.07.2018 10:06:46.144

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdkds_w  , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , B_mibeg   , mibas_w   , mimax_w   , misolv_w  , B_mdein   , mizsolv_w , milsol_w  , milsolv_w , B_dash    , B_lsd     , B_dashv   , dmar_w    , zwbas     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           ,           , , ,           , , , ,           ,           ,           , , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","","TorqueLimit","TorqueBeforeLimitation","","TorqueForTimingIntervention","","","","","","",""
    0.000, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 0.942994  , 99.9985   , 0.942994  , 99.2188   , 0         , 1.97222   , 6.88889   , 800       , 840       , 856.094   , 393.516   , 208.594   , 856.328   , 1005.94   , 870.078   , 870.078   , 0.683596  , 1.28907   , 0.820315  , 1.32813   , 29.0625   , 82.8984   , 84.2109   , 11.0625   , 70        , 63        , 63        , 2.18934   , 110.25    , 0         , 0.243653  , 0.949982  , 0         , 0         , -13.5     , 0         , 12.0743   , 28.1174   , 0.942994  , 0         , 0.219727  , 1.97449   , 1.97449   , 0         , 0         , 0         , 0         , 30.75     
    0.050, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 0.964356  , 99.9985   , 0.964356  , 99.2188   , 0         , 1.97222   , 7.27778   , 800       , 840       , 856.094   , 395.313   , 208.672   , 856.328   , 1006.72   , 870.703   , 870.703   , 0.683596  , 1.28907   , 0.820315  , 1.32813   , 29.2266   , 82.8984   , 84.2109   , 11.0625   , 70        , 63        , 63        , 2.216     , 110.25    , 0         , 0.243714  , 0.949982  , 0         , 0         , -13.5     , 0         , 12.0514   , 28.1128   , 0.964356  , 0         , 0.216675  , 2.05078   , 2.05078   , 0         , 0         , 0         , 0         , 30.75     
    0.100, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 0.909424  , 99.9985   , 0.909424  , 99.2188   , 0         , 1.94445   , 7.33334   , 800       , 840       , 856.172   , 400.547   , 208.672   , 856.328   , 1008.2    , 872.031   , 872.031   , 0.703127  , 1.25      , 0.859377  , 1.28907   , 29.7422   , 82.8984   , 84.2109   , 11.0625   , 70        , 63        , 63        , 2.24267   , 110.25    , 0         , 0.243714  , 0.949982  , 0         , 0         , -14.25    , 0         , 12.2818   , 28.1174   , 0.909424  , 0         , 0.372315  , 2.02027   , 2.02027   , 0         , 0         , 0         , 0         , 30        
    0.150, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 0.958253  , 99.9985   , 0.958253  , 99.2188   , 0         , 1.97222   , 7.19445   , 800       , 840       , 856.172   , 403.906   , 209.375   , 856.328   , 1006.09   , 870.156   , 870.156   , 0.703127  , 1.25      , 0.859377  , 1.28907   , 30.0234   , 82.8984   , 84.2109   , 11.0625   , 70        , 63        , 63        , 2.248     , 110.25    , 0         , 0.244507  , 0.949982  , 0         , 0         , -14.25    , 0         , 12.3596   , 28.0976   , 0.958253  , 0         , 0.811768  , 2.03858   , 2.03858   , 0         , 0         , 0         , 0         , 30        
    0.200, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.06812   , 99.9985   , 1.06812   , 99.2188   , 0         , 1.97222   , 6.94445   , 800       , 840       , 856.172   , 404.297   , 210.781   , 856.328   , 1006.72   , 870.703   , 870.703   , 0.703127  , 1.21094   , 0.859377  , 1.28907   , 29.9531   , 82.8984   , 84.2109   , 11.0625   , 70        , 63        , 63        , 2.256     , 110.25    , 0         , 0.246155  , 0.949982  , 0         , 0         , -15       , 0         , 12.3398   , 28.0609   , 1.06812   , 0         , 1.00098   , 2.46277   , 2.46277   , 0         , 0         , 0         , 0         , 30        
    0.250, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.06812   , 99.9985   , 1.06812   , 99.2188   , 0         , 1.97222   , 6.91667   , 760       , 840       , 856.172   , 404.688   , 211.094   , 856.328   , 1006.72   , 870.703   , 870.703   , 0.703127  , 1.21094   , 0.859377  , 1.28907   , 29.9531   , 82.8984   , 84.2109   , 11.0625   , 75        , 63        , 63        , 2.26134   , 110.25    , 0         , 0.246521  , 0.949982  , 0         , 0         , -14.25    , 0         , 12.3337   , 28.0518   , 1.06812   , 0         , 1.23596   , 2.41699   , 2.41699   , 0         , 0         , 0         , 0         , 30        
    0.300, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.05591   , 99.9985   , 1.05591   , 99.2188   , 0         , 1.97222   , 6.86112   , 760       , 840       , 856.172   , 403.906   , 211.953   , 856.328   , 1009.38   , 872.969   , 872.969   , 0.703127  , 1.21094   , 0.820315  , 1.32813   , 29.8125   , 82.8984   , 84.2109   , 11.0625   , 75        , 63        , 63        , 2.24534   , 110.25    , 0         , 0.247559  , 0.949982  , 0         , 0         , -14.25    , 0         , 12.2757   , 28.0319   , 1.05591   , 0         , 1.30921   , 2.41394   , 2.41394   , 0         , 0         , 0         , 0         , 30        
    0.350, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.09253   , 99.9985   , 1.09253   , 99.2188   , 0         , 1.97222   , 6.88889   , 800       , 840       , 856.172   , 402.891   , 212.344   , 856.328   , 1006.72   , 870.781   , 870.781   , 0.703127  , 1.21094   , 0.820315  , 1.32813   , 29.6953   , 82.8984   , 84.2109   , 11.0625   , 75        , 63        , 63        , 2.232     , 110.25    , 0         , 0.247986  , 0.949982  , 0         , 0         , -14.25    , 0         , 12.2498   , 28.0228   , 1.09253   , 0         , 1.00708   , 2.44141   , 2.44141   , 0         , 0         , 0         , 0         , 30        
