TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    0.400, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.92432   , 19.8227   , 17.1723   , 10.1389   , 2080      , 820       , 827.813   , 260.781   , 264.375   , 827.813   , 848.516   , 1.36719   , 1.95313   , 1.36719   , 2.03126   , 17.1563   , 90.2578   , 91.6875   , 17.4609   , 470       , 20.25     , 20.25     , 1.66667   , 87.75     , 86.6484   , 1.96079   , 19.2447   , 33.75     , 9.79768   , 47.107    , 9.79615   
    0.450, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.97926   , 19.7876   , 17.2394   , 10.5833   , 2080      , 820       , 827.813   , 258.672   , 264.453   , 829.063   , 848.516   , 1.40625   , 1.95313   , 1.36719   , 2.18751   , 16.9688   , 90.0703   , 91.5      , 17.4609   , 470       , 20.25     , 20.25     , 1.67734   , 87.75     , 86.6484   , 1.96079   , 19.2447   , 33        , 9.64814   , 47.2031   , 9.64661   
    0.500, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.93348   , 19.7571   , 17.1875   , 10.8056   , 2080      , 820       , 827.813   , 263.594   , 265.625   , 829.063   , 848.516   , 1.40625   , 1.95313   , 1.36719   , 2.18751   , 17.3672   , 90.1875   , 91.6172   , 17.5547   , 470       , 20.25     , 20.25     , 1.69334   , 87.75     , 86.6484   , 1.96079   , 19.2447   , 33        , 9.80378   , 47.107    , 9.80225   
    0.550, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.69849   , 19.7327   , 16.6474   , 10.5556   , 2080      , 820       , 827.813   , 264.688   , 261.563   , 827.813   , 848.516   , 1.40625   , 1.95313   , 1.32813   , 2.03126   , 17.4609   , 90.1406   , 91.5703   , 17.2266   , 470       , 20.25     , 20.25     , 1.69334   , 87.75     , 86.6484   , 1.96079   , 18.8845   , 33        , 9.89533   , 47.1543   , 9.89381   
    0.600, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.68629   , 19.6594   , 16.6443   , 10.8333   , 2080      , 820       , 827.813   , 267.813   , 261.563   , 827.813   , 848.516   , 1.40625   , 1.95313   , 1.32813   , 2.03126   , 17.7188   , 90.1406   , 91.5703   , 17.2266   , 470       , 20.25     , 20.25     , 1.70934   , 87.75     , 86.6484   , 1.96079   , 18.8845   , 33        , 10.0296   , 47.107    , 10.0281   
    0.650, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.69239   , 19.5954   , 16.6443   , 9.80556   , 2080      , 820       , 827.813   , 259.922   , 261.563   , 827.813   , 848.516   , 1.44532   , 1.95313   , 1.40625   , 2.03126   , 17.0859   , 90.1406   , 91.5703   , 17.2266   , 470       , 20.25     , 20.25     , 1.648     , 87.75     , 86.6484   , 1.96079   , 18.8845   , 33.75     , 9.72443   , 47.1054   , 9.72291   
    0.700, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.4452    , 19.5068   , 16.0889   , 10.6945   , 2080      , 820       , 827.813   , 258.672   , 256.797   , 827.813   , 848.516   , 1.44532   , 1.95313   , 1.40625   , 2.03126   , 16.9688   , 90.0469   , 91.4766   , 16.8281   , 470       , 20.25     , 20.25     , 1.67734   , 87.75     , 86.6328   , 1.96079   , 18.5244   , 33        , 9.59931   , 47.1009   , 9.59779   
    0.750, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.42689   , 19.429    , 16.0675   , 10.8889   , 2080      , 820       , 827.813   , 263.594   , 257.344   , 827.813   , 847.969   , 1.44532   , 1.95313   , 1.36719   , 2.10938   , 17.3672   , 90.1406   , 91.5703   , 16.875    , 470       , 20.25     , 20.25     , 1.704     , 87.75     , 86.6172   , 1.96079   , 18.5244   , 33        , 9.85108   , 47.0581   , 9.85108   
    0.800, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.42994   , 19.3421   , 16.0889   , 11.0833   , 2080      , 820       , 827.813   , 268.438   , 257.344   , 827.813   , 848.516   , 1.44532   , 1.95313   , 1.36719   , 2.10938   , 17.7656   , 90.1406   , 91.5703   , 16.875    , 470       , 20.25     , 20.25     , 1.728     , 87.75     , 86.6172   , 1.96079   , 18.5244   , 33.75     , 10.0296   , 47.1039   , 10.0281   
    0.850, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.43604   , 19.2688   , 16.098    , 11.6389   , 2080      , 820       , 827.813   , 275.313   , 257.656   , 827.813   , 848.516   , 1.40625   , 2.03126   , 1.36719   , 1.95313   , 18.3281   , 90.0703   , 91.5      , 16.8984   , 470       , 20.25     , 21        , 1.74934   , 87.75     , 86.6094   , 1.96079   , 18.5244   , 33.75     , 10.3134   , 47.1009   , 10.3119   
