
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 50 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  18.11.2017 12:32:35.275

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , ldtvm     , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
    0.600, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.77778   , 840       , 820       , 830.391   , 424.141   , 221.25    , 830.313   , 848.516   , 1.05469   , 1.79688   , 0.976565  , 1.48438   , 27.6328   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.12267   , 77.25     , 0         , 0         , 0         , -12.75    
    0.650, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.86112   , 840       , 820       , 830.391   , 425.234   , 221.094   , 830.313   , 846.406   , 1.05469   , 1.79688   , 0.976565  , 1.48438   , 27.75     , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.13867   , 77.25     , 0         , 0         , 0         , -12.75    
    0.700, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.77778   , 840       , 820       , 830.391   , 425.469   , 221.328   , 830.313   , 848.359   , 1.09375   , 1.79688   , 0.976565  , 1.5625    , 27.75     , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.13334   , 77.25     , 0         , 0         , 0         , -13.5     
    0.750, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.00001   , 840       , 820       , 830.391   , 426.328   , 221.797   , 830.313   , 848.516   , 1.09375   , 1.79688   , 0.976565  , 1.5625    , 27.7969   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.15467   , 77.25     , 0         , 0         , 0         , -12.75    
    0.800, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.97223   , 840       , 820       , 830.391   , 428.516   , 221.328   , 830.313   , 847.969   , 1.09375   , 1.71875   , 0.937502  , 1.48438   , 28.0078   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.16534   , 77.25     , 0         , 0         , 0         , -13.5     
    0.850, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.50001   , 840       , 820       , 830.391   , 425.781   , 221.172   , 830.313   , 848.359   , 1.09375   , 1.71875   , 0.937502  , 1.48438   , 27.7969   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.13334   , 77.25     , 0         , 0         , 0         , -13.5     
    0.900, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.86112   , 840       , 820       , 830.391   , 424.453   , 221.328   , 830.313   , 848.516   , 1.13282   , 1.79688   , 0.976565  , 1.48438   , 27.6563   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.144     , 77.25     , 0         , 0         , 0         , -12.75    
    0.950, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.83334   , 840       , 820       , 830.391   , 423.047   , 219.609   , 830.313   , 848.516   , 1.13282   , 1.79688   , 0.976565  , 1.48438   , 27.6563   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.144     , 77.25     , 0         , 0         , 0         , -12.75    
    1.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.55556   , 840       , 820       , 830.391   , 419.688   , 219.922   , 830.313   , 848.516   , 1.09375   , 1.875     , 0.976565  , 1.5625    , 27.3516   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.12267   , 77.25     , 0         , 0         , 0         , -12.75    
    1.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.91667   , 840       , 820       , 830.391   , 419.063   , 219.375   , 830.313   , 848.516   , 1.09375   , 1.875     , 0.976565  , 1.5625    , 27.3516   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.104     , 77.25     , 0         , 0         , 0         , -12.75    
    1.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.97223   , 840       , 820       , 830.391   , 420.156   , 218.672   , 830.313   , 848.516   , 1.09375   , 1.875     , 1.01563   , 1.64063   , 27.4688   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.10667   , 77.25     , 0         , 0         , 0         , -12.75    
    1.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.97223   , 840       , 820       , 830.391   , 420.938   , 219.453   , 830.313   , 848.516   , 1.09375   , 1.875     , 1.01563   , 1.64063   , 27.4922   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.11467   , 77.25     , 0         , 0         , 0         , -12.75    
    1.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.88889   , 840       , 820       , 830.391   , 421.563   , 219.297   , 830.313   , 848.516   , 1.13282   , 1.79688   , 0.976565  , 1.71875   , 27.5625   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.104     , 77.25     , 0         , 0         , 0         , -12.75    
    1.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.77778   , 840       , 820       , 830.391   , 419.609   , 219.844   , 830.313   , 848.516   , 1.13282   , 1.79688   , 0.976565  , 1.71875   , 27.3516   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.112     , 77.25     , 0         , 0         , 0         , -12.75    
    1.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.94445   , 840       , 820       , 830.391   , 420.703   , 220.313   , 831.563   , 848.516   , 1.17188   , 1.71875   , 1.01563   , 1.71875   , 27.4219   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.12      , 77.25     , 0         , 0         , 0         , -12.75    
    1.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.02778   , 840       , 820       , 830.469   , 422.969   , 220.391   , 831.563   , 848.516   , 1.17188   , 1.71875   , 1.01563   , 1.71875   , 27.6094   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.13067   , 77.25     , 0         , 0         , 0         , -12.75    
    1.400, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.83334   , 840       , 820       , 830.469   , 423.438   , 220.078   , 830.313   , 848.516   , 1.21094   , 1.71875   , 1.01563   , 1.64063   , 27.6563   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.10934   , 77.25     , 0         , 0         , 0         , -12.75    
    1.450, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.08334   , 840       , 820       , 830.469   , 424.531   , 220.078   , 830.313   , 848.516   , 1.21094   , 1.71875   , 1.01563   , 1.64063   , 27.75     , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.152     , 77.25     , 0         , 0         , 0         , -12.75    
    1.500, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.88889   , 840       , 820       , 830.469   , 424.766   , 219.531   , 830.313   , 848.516   , 1.21094   , 1.79688   , 0.976565  , 1.71875   , 27.7969   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.14134   , 77.25     , 0         , 0         , 0         , -13.5     
    1.550, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.91667   , 840       , 820       , 830.469   , 424.141   , 219.609   , 830.313   , 848.516   , 1.21094   , 1.79688   , 0.976565  , 1.71875   , 27.75     , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.152     , 77.25     , 0         , 0         , 0         , -13.5     
    1.600, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.97223   , 840       , 820       , 830.469   , 423.594   , 218.828   , 830.313   , 848.516   , 1.17188   , 1.875     , 1.01563   , 1.64063   , 27.75     , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.15467   , 77.25     , 0         , 0         , 0         , -12.75    
    1.650, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.77778   , 840       , 820       , 830.391   , 421.172   , 218.047   , 830.313   , 848.516   , 1.17188   , 1.875     , 1.01563   , 1.64063   , 27.5859   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.136     , 77.25     , 0         , 0         , 0         , -12.75    
    1.700, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.88889   , 840       , 820       , 830.391   , 420.469   , 218.516   , 829.063   , 848.281   , 1.13282   , 1.95313   , 1.01563   , 1.64063   , 27.5156   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.13867   , 77.25     , 0         , 0         , 0         , -12.75    
    1.750, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.05556   , 840       , 820       , 830.391   , 420.078   , 217.422   , 829.063   , 848.516   , 1.13282   , 1.95313   , 1.01563   , 1.64063   , 27.5391   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.12267   , 77.25     , 0         , 0         , 0         , -12.75    
