
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 114 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  09.08.2020 13:48:54.182

TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , ps_w      , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , vfil_w    , vpssplg_w , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      , mibas_w   , mimax_w   
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , km/h      , -         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           ,           , 
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","","BaroPressure","","BoostPressureActual","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","VehicleSpeed","","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch","","","TorqueLimit"
    0.000, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0.976502  , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.94068   , 99.9985   , 7.94068   , 99.2188   , 0         , 4.91667   , 9.8889    , 760       , 800       , 820       , 599.531   , 826.641   , 989.609   , 855.938   , 1.28907   , 0.585939  , 0.859377  , 1.21094   , 2.89063   , 0         , 42.75     , 42.7969   , 105.211   , 109.547   , 19.4531   , 87.109    , 42.75     , 42.75     , 2.52      , 63.75     , 63.75     , 0.7332    , 4.28189   , 0.737304  , 0.732421  , 0.366211  , 0         , 0.393067  , 0.784314  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5872   , -13.5     , 0         , 0         , 0         , 1         , 20.5292   , 45.6818   
    0.050, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.975434  , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.90406   , 99.9985   , 7.90406   , 99.2188   , 0         , 4.91667   , 9.77779   , 760       , 800       , 820       , 598.047   , 826.641   , 989.609   , 855.938   , 1.28907   , 0.585939  , 0.859377  , 1.21094   , 2.89063   , 0         , 42        , 42.7266   , 105.211   , 109.547   , 19.5234   , 87.109    , 42.75     , 42.75     , 2.49067   , 63.75     , 63.75     , 0.7332    , 4.277     , 0.732421  , 0.732421  , 0.366211  , 0         , 0.39325   , 0.784314  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.6576   , -14.25    , 0         , 0         , 0         , 1         , 20.5032   , 45.5963   
    0.100, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.974366  , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.95289   , 99.9985   , 7.95289   , 99.2188   , 0         , 4.91667   , 9.50001   , 760       , 800       , 820       , 596.25    , 827.813   , 987.813   , 854.375   , 1.28907   , 0.585939  , 0.89844   , 1.17188   , 2.96876   , 0         , 42        , 42.5391   , 105.211   , 109.547   , 19.5938   , 87.109    , 42.75     , 42.75     , 2.44534   , 63.75     , 63.75     , 0.7332    , 4.277     , 0.732421  , 0.732421  , 0.366211  , 0         , 0.394837  , 0.784314  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5872   , -14.25    , 0         , 0         , 0         , 1         , 20.398    , 45.6635   
    0.150, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0.973298  , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.94373   , 99.9985   , 7.94373   , 99.2188   , 0         , 4.97223   , 10.2222   , 800       , 800       , 820       , 599.844   , 827.813   , 987.109   , 853.75    , 1.28907   , 0.585939  , 0.89844   , 1.17188   , 2.96876   , 0         , 42.75     , 42.8672   , 105.211   , 109.547   , 19.5703   , 88.2418   , 42.75     , 42.75     , 2.55734   , 63.75     , 63.75     , 0.728312  , 4.277     , 0.737304  , 0.727539  , 0.366211  , 0         , 0.394104  , 0.784314  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5168   , -14.25    , 0         , 0         , 0         , 1         , 20.5856   , 45.6635   
    0.200, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.97223   , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.85828   , 99.9985   , 7.85828   , 99.2188   , 0         , 4.97223   , 9.75001   , 800       , 800       , 820       , 597.734   , 827.813   , 989.453   , 855.781   , 1.32813   , 0.566408  , 0.937502  , 1.13282   , 2.96876   , 0         , 42.75     , 42.7969   , 105.211   , 109.547   , 19.4531   , 88.2418   , 42.75     , 42.75     , 2.47734   , 63.75     , 63.75     , 0.7332    , 4.277     , 0.732421  , 0.727539  , 0.366211  , 0         , 0.390991  , 0.784314  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5168   , -14.25    , 0         , 0         , 0         , 1         , 20.5506   , 45.7321   
    0.250, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.971162  , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.87354   , 99.9985   , 7.87354   , 99.2188   , 0         , 4.97223   , 9.97223   , 800       , 800       , 820       , 596.172   , 827.813   , 986.875   , 853.594   , 1.32813   , 0.566408  , 0.937502  , 1.13282   , 2.96876   , 0         , 42        , 42.6563   , 105.211   , 109.547   , 19.4766   , 88.2418   , 42.75     , 42.75     , 2.488     , 63.75     , 63.75     , 0.7332    , 4.277     , 0.737304  , 0.727539  , 0.366211  , 0         , 0.39148   , 0.784314  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5872   , -15       , 0         , 0         , 0         , 1         , 20.488    , 45.7321   
    0.300, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0.970093  , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.82471   , 99.9985   , 7.82471   , 99.2188   , 0         , 4.91667   , 10.0833   , 800       , 800       , 820       , 595.859   , 827.813   , 990.781   , 856.953   , 1.28907   , 0.546876  , 0.937502  , 1.13282   , 2.89063   , 0         , 42        , 42.6797   , 105.211   , 109.547   , 19.2656   , 88.2418   , 42.75     , 42.75     , 2.49067   , 63.75     , 63.75     , 0.7332    , 4.277     , 0.732421  , 0.727539  , 0.366211  , 0         , 0.387818  , 0.784314  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.6576   , -15       , 0         , 0         , 0         , 1         , 20.4865   , 45.8008   
    0.350, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.969025  , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.78809   , 99.9985   , 7.78809   , 99.2188   , 0         , 4.91667   , 9.80556   , 800       , 800       , 820       , 594.453   , 827.813   , 989.766   , 856.016   , 1.28907   , 0.546876  , 0.937502  , 1.13282   , 2.89063   , 0         , 42        , 42.5859   , 105.211   , 109.547   , 19.1953   , 89.3942   , 42.75     , 42.75     , 2.46134   , 63.75     , 63.75     , 0.7332    , 4.27211   , 0.737304  , 0.732421  , 0.366211  , 0         , 0.386292  , 0.784314  , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.6576   , -15       , 0         , 0         , 0         , 1         , 20.4498   , 45.784    
