
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 92 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  06.07.2018 09:57:12.866

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdkds_w  , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , B_mibeg   , mibas_w   , mimax_w   , misolv_w  , B_mdein   , mizsolv_w , milsol_w  , milsolv_w , B_dash    , B_lsd     , B_dashv   , dmar_w    , zwbas     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           ,           , , ,           , , , ,           ,           ,           , , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","","TorqueLimit","TorqueBeforeLimitation","","TorqueForTimingIntervention","","","","","","",""
    0.000, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.28174   , 99.9985   , 1.28174   , 99.2188   , 0         , 1.91667   , 7.13889   , 840       , 840       , 852.734   , 375.703   , 202.5     , 853.828   , 1001.95   , 866.563   , 866.563   , 0.644533  , 1.05469   , 0.820315  , 1.25      , 27.8438   , 82.8984   , 84.2109   , 10.9688   , 55        , 66.75     , 66.75     , 2.18934   , 115.5     , 0         , 0.238342  , 0.949982  , 0         , 0         , -12.75    , 0         , 11.6303   , 28.2212   , 1.28174   , 0         , 0         , 2.2583    , 2.2583    , 0         , 0         , 0         , 0         , 32.25     
    0.050, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.22681   , 99.9985   , 1.22681   , 99.2188   , 0         , 1.91667   , 7.33334   , 840       , 840       , 852.734   , 378.984   , 201.563   , 852.578   , 1001.95   , 866.641   , 866.641   , 0.644533  , 1.01563   , 0.859377  , 1.21094   , 28.2422   , 82.8984   , 84.2109   , 10.9688   , 55        , 66.75     , 66.75     , 2.224     , 115.5     , 0         , 0.237427  , 0.949982  , 0         , 0         , -13.5     , 0         , 11.7432   , 28.244    , 1.22681   , 0         , 0         , 2.09961   , 2.09961   , 0         , 0         , 0         , 0         , 31.5      
    0.100, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.25733   , 99.9985   , 1.25733   , 99.2188   , 0         , 1.91667   , 7.05556   , 840       , 840       , 852.734   , 379.141   , 202.188   , 852.578   , 1003.91   , 868.281   , 868.281   , 0.644533  , 1.01563   , 0.859377  , 1.21094   , 28.2188   , 82.8984   , 84.2109   , 10.9688   , 55        , 66.75     , 66.75     , 2.2       , 115.5     , 0         , 0.236328  , 0.949982  , 0         , 0         , -13.5     , 0         , 11.8134   , 28.2273   , 1.25733   , 0         , 0         , 2.20642   , 2.20642   , 0         , 0         , 0         , 0         , 31.5      
    0.150, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.22376   , 99.9985   , 1.22376   , 99.2188   , 0         , 1.91667   , 6.80556   , 840       , 840       , 852.734   , 376.094   , 201.563   , 853.828   , 1002.19   , 866.797   , 866.797   , 0.625002  , 0.976565  , 0.89844   , 1.21094   , 27.9141   , 82.8984   , 84.2109   , 10.9688   , 55        , 66.75     , 66.75     , 2.17334   , 115.5     , 0         , 0.237061  , 0.949982  , 0         , 0         , -13.5     , 0         , 11.7249   , 28.2303   , 1.22376   , 0         , 0         , 2.09351   , 2.09351   , 0         , 0         , 0         , 0         , 31.5      
    0.200, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.24817   , 99.9985   , 1.24817   , 99.2188   , 0         , 1.91667   , 6.66667   , 840       , 840       , 852.734   , 372.266   , 201.563   , 853.828   , 1002.27   , 866.875   , 866.875   , 0.625002  , 0.976565  , 0.89844   , 1.21094   , 27.5859   , 82.8984   , 84.2109   , 10.9688   , 55        , 66.75     , 66.75     , 2.16534   , 115.5     , 0         , 0.236328  , 0.949982  , 0         , 0         , -13.5     , 0         , 11.6196   , 28.2364   , 1.24817   , 0         , 0         , 2.05994   , 2.05994   , 0         , 0         , 0         , 0         , 31.5      
    0.250, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.23901   , 99.9985   , 1.23901   , 99.2188   , 0         , 1.91667   , 7.08334   , 840       , 840       , 852.734   , 373.125   , 201.719   , 853.828   , 1003.52   , 867.969   , 867.969   , 0.644533  , 0.937502  , 0.89844   , 1.21094   , 27.6797   , 82.8984   , 84.2109   , 10.9688   , 55        , 66.75     , 66.75     , 2.17067   , 115.5     , 0         , 0.236328  , 0.949982  , 0         , 0         , -12.75    , 0         , 11.6364   , 28.241    , 1.23901   , 0         , 0         , 2.02637   , 2.02637   , 0         , 0         , 0         , 0         , 32.25     
    0.300, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.23291   , 99.9985   , 1.23291   , 99.2188   , 0         , 1.94445   , 7.00001   , 840       , 840       , 852.734   , 374.219   , 201.719   , 853.828   , 1002.89   , 867.344   , 867.344   , 0.644533  , 0.937502  , 0.89844   , 1.21094   , 27.7734   , 82.8984   , 84.2109   , 10.9688   , 55        , 66.75     , 66.75     , 2.17334   , 115.5     , 0         , 0.236511  , 0.949982  , 0         , 0         , -12.75    , 0         , 11.6547   , 28.244    , 1.23291   , 0         , 0         , 2.01111   , 2.01111   , 0         , 0         , 0         , 0         , 32.25     
    0.350, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.22681   , 99.9985   , 1.22681   , 99.2188   , 0         , 1.91667   , 7.16667   , 840       , 840       , 852.734   , 375.469   , 201.563   , 852.578   , 1004.53   , 868.828   , 868.828   , 0.644533  , 0.937502  , 0.859377  , 1.25      , 27.9141   , 82.8984   , 84.2109   , 10.9688   , 55        , 66.75     , 66.75     , 2.17867   , 115.5     , 0         , 0.236511  , 0.949982  , 0         , 0         , -13.5     , 0         , 11.7081   , 28.2471   , 1.22681   , 0         , 0         , 2.09961   , 2.09961   , 0         , 0         , 0         , 0         , 31.5      
