TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    0.400, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.1106    , 85.5469   , 0         , 10.0833   , 1080      , 820       , 836.172   , 443.438   , 337.031   , 835.234   , 859.688   , 0.585939  , 0.664064  , 0.527345  , 0.625002  , 32.3672   , 72.1406   , 73.2891   , 23.2734   , 220       , 16.5      , 16.5      , 2.232     , 23.25     , 0         , 0.402954  , 2.35294   , 0         , -6.75     , 15.8234   , 35.4935   , 7.48292   
    0.450, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.10145   , 85.5469   , 0         , 9.77779   , 1080      , 820       , 836.172   , 439.844   , 335.313   , 835.234   , 857.734   , 0.60547   , 0.683596  , 0.507814  , 0.644533  , 32.0625   , 72.1406   , 73.2891   , 23.1328   , 220       , 16.5      , 16.5      , 2.23734   , 23.25     , 0         , 0.400391  , 2.35294   , 0         , -6        , 15.596    , 35.5301   , 7.48597   
    0.500, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.05567   , 79.6342   , 0         , 10.6111   , 1120      , 820       , 836.172   , 439.063   , 333.359   , 835.234   , 857.656   , 0.60547   , 0.683596  , 0.507814  , 0.644533  , 32.0391   , 72.1406   , 73.2891   , 22.9922   , 220       , 16.5      , 16.5      , 2.24      , 23.25     , 0         , 0.399414  , 2.35294   , 0         , -7.5      , 15.6128   , 35.5408   , 6.97938   
    0.550, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 6.96106   , 79.39     , 0         , 10.5      , 1120      , 820       , 836.094   , 437.656   , 330.625   , 835.234   , 858.672   , 0.625002  , 0.664064  , 0.527345  , 0.664064  , 31.9688   , 72.1406   , 73.2891   , 22.8047   , 220       , 16.5      , 16.5      , 2.208     , 23.25     , 0         , 0.396424  , 2.35294   , 0         , -6.75     , 15.5686   , 35.5759   , 6.90003   
    0.600, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 6.96106   , 85.5469   , 0         , 10.6111   , 1080      , 820       , 836.094   , 440.078   , 331.172   , 835.234   , 858.047   , 0.625002  , 0.664064  , 0.527345  , 0.664064  , 32.1563   , 72.1406   , 73.2891   , 22.8281   , 220       , 16.5      , 16.5      , 2.26134   , 23.25     , 0         , 0.395691  , 2.35294   , 0         , -7.5      , 15.6067   , 35.5515   , 7.00684   
    0.650, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.13196   , 85.5469   , 0         , 10.8056   , 1080      , 820       , 836.094   , 446.797   , 336.328   , 836.484   , 858.203   , 0.60547   , 0.644533  , 0.546876  , 0.664064  , 32.6484   , 72.1406   , 73.2891   , 23.2031   , 220       , 16.5      , 16.5      , 2.32534   , 23.25     , 0         , 0.401978  , 2.35294   , 0         , -6        , 15.8692   , 35.4935   , 7.56531   
    0.700, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.30286   , 85.5469   , 0         , 10.7778   , 1080      , 820       , 836.094   , 448.828   , 347.813   , 836.484   , 858.594   , 0.60547   , 0.644533  , 0.546876  , 0.664064  , 32.7656   , 72.1406   , 73.2891   , 24.1172   , 220       , 16.5      , 16.5      , 2.36267   , 23.25     , 0         , 0.414673  , 2.35294   , 0         , -4.5      , 15.9378   , 35.437    , 8.4137    
    0.750, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.23877   , 85.5469   , 0         , 10.0278   , 1080      , 820       , 836.172   , 447.188   , 344.531   , 836.484   , 859.609   , 0.585939  , 0.664064  , 0.566408  , 0.683596  , 32.6484   , 72.1406   , 73.2891   , 23.8359   , 220       , 16.5      , 16.5      , 2.272     , 23.25     , 0         , 0.411988  , 2.35294   , 0         , -6.75     , 15.9989   , 35.4767   , 7.49817   
    0.800, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.22657   , 85.5469   , 0         , 10.4445   , 1080      , 820       , 836.172   , 444.453   , 340.313   , 836.484   , 857.734   , 0.585939  , 0.664064  , 0.566408  , 0.683596  , 32.4375   , 72.1406   , 73.2891   , 23.5313   , 220       , 16.5      , 16.5      , 2.288     , 23.25     , 0         , 0.407227  , 2.35294   , 0         , -6        , 15.7318   , 35.5011   , 7.64466   
    0.850, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.1991    , 85.5469   , 0         , 10.6945   , 1080      , 820       , 836.172   , 445.938   , 337.813   , 836.484   , 857.109   , 0.60547   , 0.683596  , 0.566408  , 0.664064  , 32.6016   , 72.1406   , 73.2891   , 23.3438   , 220       , 16.5      , 16.5      , 2.31467   , 23.25     , 0         , 0.404602  , 2.35294   , 0         , -6.75     , 15.8249   , 35.5118   , 7.35779   
