TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , plsol_w   , plsolr_w  , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkat_w    , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      , mibas_w   , mimax_w   
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , km/h      , -         , -         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           ,           , 
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","BoostPressureDesired","","","","BaroPressure","","BoostPressureActual","AdaptationIdle","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","VehicleSpeed","","","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch","","","TorqueLimit"
    0.400, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.805665  , 0.99997   , 0.835663  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.00269   , 99.9985   , 9.00269   , 99.2188   , 0         , 7.55556   , 14.9445   , 1120      , 1140      , 820       , 827.188   , 0         , 570.703   , 366.875   , 826.641   , 1009.61   , 870.234   , 0         , 0.644533  , 0.488283  , 0.566408  , 0.644533  , 0.878909  , 0         , 45        , 45.1406   , 104.906   , 103.781   , 27        , 216.034   , 30.75     , 30.75     , 2.4       , 36        , 36.75     , 0.83096   , 4.18413   , 0.932617  , 0.732421  , 0.366211  , 0         , 0.443238  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.7984   , -11.25    , 0         , 0         , 0         , 1         , 22.5845   , 44.9845   
    0.450, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.804597  , 0.99997   , 0.834595  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.99048   , 99.9985   , 8.99048   , 99.2188   , 0         , 7.61112   , 15.3611   , 1120      , 1130      , 820       , 827.188   , 0         , 569.922   , 366.172   , 826.641   , 1008.59   , 869.375   , 0         , 0.644533  , 0.488283  , 0.566408  , 0.644533  , 0.878909  , 0         , 45        , 45.0938   , 104.883   , 103.781   , 26.9531   , 216.034   , 30.75     , 30.75     , 2.42134   , 36        , 36.75     , 0.83096   , 4.18413   , 0.942382  , 0.732421  , 0.366211  , 0         , 0.442627  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -12.75    , 0         , 0         , 0         , 1         , 22.5571   , 45.0104   
    0.500, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.803528  , 0.99997   , 0.833527  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.88673   , 99.9985   , 8.88673   , 99.2188   , 0         , 7.55556   , 15.1111   , 1120      , 1130      , 820       , 827.188   , 0         , 566.172   , 363.047   , 827.813   , 1009.45   , 870.156   , 0         , 0.664064  , 0.468751  , 0.566408  , 0.625002  , 0.859377  , 0         , 44.25     , 44.8125   , 104.906   , 103.828   , 26.7188   , 215.663   , 30.75     , 30.75     , 2.40534   , 36        , 36.75     , 0.83096   , 4.18413   , 0.9375    , 0.732421  , 0.366211  , 0         , 0.439148  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -12.75    , 0         , 0         , 0         , 1         , 22.4289   , 45.0623   
    0.550, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.80246   , 0.99997   , 0.832459  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.92335   , 99.9985   , 8.92335   , 99.2188   , 0         , 7.63889   , 15.2778   , 1120      , 1130      , 820       , 827.188   , 0         , 566.641   , 364.531   , 827.813   , 1009.14   , 869.922   , 0         , 0.664064  , 0.468751  , 0.566408  , 0.625002  , 0.859377  , 0         , 44.25     , 44.8359   , 104.906   , 103.805   , 26.8359   , 215.663   , 30.75     , 30.75     , 2.40267   , 36        , 36.75     , 0.83096   , 4.17924   , 0.947265  , 0.732421  , 0.366211  , 0         , 0.440369  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -12       , 0         , 0         , 0         , 1         , 22.3557   , 45.0318   
    0.600, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0.801392  , 0.99997   , 0.831391  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.02711   , 99.9985   , 9.02711   , 99.2188   , 0         , 7.66667   , 15.5833   , 1080      , 1130      , 820       , 827.188   , 0         , 569.297   , 367.891   , 826.641   , 1009.77   , 870.469   , 0         , 0.644533  , 0.44922   , 0.566408  , 0.60547   , 0.878909  , 0         , 45        , 45        , 104.883   , 103.758   , 27.0703   , 215.663   , 30.75     , 30.75     , 2.41067   , 36        , 37.5      , 0.83096   , 4.18413   , 0.942382  , 0.732421  , 0.366211  , 0         , 0.443116  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -11.25    , 0         , 0         , 0         , 1         , 22.4487   , 44.957    
    0.650, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.800538  , 0.99997   , 0.830536  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.04847   , 99.9985   , 9.04847   , 99.2188   , 0         , 7.58334   , 15.5556   , 1120      , 1130      , 820       , 827.188   , 0         , 570.703   , 370.859   , 826.641   , 1013.2    , 873.359   , 0         , 0.644533  , 0.44922   , 0.566408  , 0.60547   , 0.878909  , 0         , 45        , 45.1172   , 104.906   , 103.758   , 27.3281   , 215.663   , 30.75     , 30.75     , 2.41067   , 36        , 37.5      , 0.83096   , 4.18413   , 0.942382  , 0.732421  , 0.366211  , 0         , 0.44635   , 0.949982  , 3.13726   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -11.25    , 0         , 0         , 0         , 1         , 22.4838   , 44.9524   
    0.700, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0.799256  , 0.99997   , 0.829255  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.06678   , 99.9985   , 9.06678   , 99.2188   , 0         , 7.66667   , 15.4445   , 1080      , 1130      , 820       , 827.188   , 0         , 572.5     , 369.766   , 826.641   , 1010.47   , 871.016   , 0         , 0.625002  , 0.468751  , 0.585939  , 0.585939  , 0.89844   , 0         , 45        , 45.2813   , 104.883   , 103.758   , 27.2344   , 216.835   , 30.75     , 30.75     , 2.43734   , 36        , 36.75     , 0.83096   , 4.18413   , 0.942382  , 0.732421  , 0.366211  , 0         , 0.447632  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.7984   , -12       , 0         , 0         , 0         , 1         , 22.5479   , 44.9631   
    0.750, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.798188  , 0.99997   , 0.828187  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.10645   , 99.9985   , 9.10645   , 99.2188   , 0         , 7.66667   , 15.5278   , 1080      , 1130      , 820       , 827.188   , 0         , 574.844   , 370.234   , 826.641   , 1011.17   , 871.641   , 0         , 0.625002  , 0.468751  , 0.585939  , 0.585939  , 0.89844   , 0         , 45        , 45.4688   , 104.859   , 103.711   , 27.2578   , 216.835   , 30.75     , 30.75     , 2.52      , 36        , 36.75     , 0.83096   , 4.17924   , 0.952148  , 0.732421  , 0.366211  , 0         , 0.447571  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -11.25    , 0         , 0         , 0         , 1         , 22.609    , 44.9311   
    0.800, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.797333  , 0.99997   , 0.827332  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.25599   , 99.9985   , 9.25599   , 99.2188   , 0         , 7.66667   , 15.5      , 1080      , 1130      , 820       , 827.188   , 0         , 576.719   , 379.063   , 826.641   , 1013.83   , 873.984   , 0         , 0.625002  , 0.468751  , 0.585939  , 0.585939  , 0.89844   , 0         , 45        , 45.5391   , 104.883   , 103.688   , 27.9609   , 216.835   , 30.75     , 30.75     , 2.488     , 36        , 36.75     , 0.83096   , 4.18413   , 0.942382  , 0.732421  , 0.366211  , 0         , 0.457093  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -9.75     , 0         , 0         , 0         , 1         , 22.702    , 44.8471   
    0.850, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.796265  , 0.99997   , 0.826264  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.3628    , 99.9985   , 9.3628    , 99.2188   , 0         , 7.52778   , 15.1389   , 1080      , 1130      , 820       , 827.188   , 0         , 579.219   , 387.813   , 827.813   , 1011.88   , 872.266   , 0         , 0.644533  , 0.468751  , 0.566408  , 0.585939  , 0.878909  , 0         , 45.75     , 45.75     , 104.859   , 103.664   , 28.7344   , 216.835   , 30.75     , 30.75     , 2.43467   , 36        , 37.5      , 0.83096   , 4.18413   , 0.927734  , 0.732421  , 0.366211  , 0         , 0.467774  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -11.25    , 0         , 0         , 0         , 1         , 22.8653   , 44.8319   
