
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 73 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  31.12.2017 09:25:49.241

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    0.000, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 11.6303   , 19.606    , 17.749    , 15.3611   , 23.9445   , 3000      , 840       , 841.406   , 336.094   , 253.438   , 841.484   , 1038.67   , 885.938   , 2.65626   , 3.04688   , 2.26563   , 3.28126   , 27.0469   , 110.25    , 133.406   , 19.7813   , 555       , -5.25     , -5.25     , 2.01334   , 87.75     , 87.9922   , 0.301148  , 0.949982  , 6.66667   , 22.8412   , 37.5      , 15.7913   , 59.0729   , 15.7898   
    0.050, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 11.6303   , 19.5984   , 17.749    , 15.3333   , 23.8889   , 3000      , 840       , 841.406   , 336.563   , 253.438   , 841.484   , 1037.5    , 885       , 2.65626   , 3.04688   , 2.26563   , 3.28126   , 27.0938   , 110.25    , 133.523   , 19.7813   , 555       , -5.25     , -5.25     , 2.00534   , 87.75     , 87.9922   , 0.301148  , 0.949982  , 6.66667   , 22.8412   , 37.5      , 15.7913   , 59.0744   , 15.7898   
    0.100, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 11.6303   , 19.5908   , 17.749    , 15.3333   , 22.8611   , 3000      , 840       , 841.406   , 337.5     , 253.438   , 841.484   , 1035.86   , 882.891   , 2.73438   , 3.04688   , 2.34376   , 3.28126   , 27.1641   , 110.25    , 133.43    , 19.7813   , 555       , -5.25     , -5.25     , 1.99734   , 87.75     , 87.9844   , 0.301148  , 0.949982  , 6.66667   , 22.8412   , 37.5      , 15.8798   , 59.076    , 15.8783   
    0.150, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 11.6211   , 19.5831   , 17.7338   , 15.3333   , 22.1945   , 3000      , 840       , 841.406   , 327.422   , 253.203   , 841.484   , 1038.36   , 885       , 2.73438   , 3.04688   , 2.34376   , 3.28126   , 26.2734   , 110.25    , 133.688   , 19.7578   , 555       , -5.25     , -5.25     , 1.95734   , 87.75     , 87.9844   , 0.301148  , 0.949982  , 6.66667   , 22.8412   , 37.5      , 15.4297   , 59.0744   , 15.4297   
    0.200, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 11.6394   , 19.5755   , 17.7582   , 15.3889   , 23.1111   , 3000      , 840       , 841.406   , 328.281   , 253.75    , 841.484   , 1037.81   , 884.531   , 2.89063   , 3.12501   , 2.57813   , 3.51563   , 26.3672   , 110.25    , 133.57    , 19.8047   , 555       , -5.25     , -5.25     , 2.01067   , 87.75     , 87.9844   , 0.301148  , 0.949982  , 6.66667   , 22.8412   , 37.5      , 15.3488   , 59.0744   , 15.3473   
    0.250, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 11.9019   , 19.5679   , 18.2221   , 15.4445   , 24.0556   , 3000      , 840       , 841.406   , 334.297   , 258.906   , 841.484   , 1036.09   , 883.125   , 2.89063   , 3.12501   , 2.57813   , 3.51563   , 26.8828   , 110.25    , 133.805   , 20.25     , 555       , -5.25     , -5.25     , 2.048     , 87.75     , 87.9922   , 0.30127   , 0.949982  , 6.66667   , 23.2013   , 37.5      , 15.6265   , 59.076    , 15.625    
    0.300, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 11.911    , 19.9219   , 18.2404   , 15.4445   , 23.5278   , 3000      , 840       , 841.406   , 335.234   , 258.984   , 841.484   , 1038.83   , 885.391   , 2.81251   , 2.96876   , 2.42188   , 3.59376   , 26.9766   , 110.25    , 133.148   , 20.2734   , 555       , -5.25     , -5.25     , 2.03467   , 87.75     , 87.9922   , 0.307739  , 0.949982  , 6.66667   , 23.2013   , 37.5      , 15.7486   , 59.0744   , 15.7471   
    0.350, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 11.9049   , 19.9219   , 18.2251   , 15.5556   , 24.5278   , 3000      , 840       , 841.406   , 338.281   , 259.063   , 841.484   , 1036.09   , 883.125   , 2.81251   , 2.96876   , 2.42188   , 3.59376   , 27.2344   , 110.25    , 133.5     , 20.2734   , 555       , -5.25     , -5.25     , 2.088     , 87.75     , 87.9922   , 0.307862  , 0.949982  , 6.66667   , 23.2013   , 37.5      , 15.7913   , 59.0714   , 15.7898   
    0.400, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 11.908    , 19.9219   , 18.2343   , 15.8056   , 23.6389   , 3000      , 840       , 841.406   , 338.047   , 258.984   , 841.484   , 1036.48   , 883.438   , 2.81251   , 3.20313   , 2.34376   , 3.35938   , 27.2344   , 110.25    , 133.266   , 20.2734   , 555       , -5.25     , -5.25     , 2.05334   , 87.75     , 87.9844   , 0.307739  , 0.949982  , 6.66667   , 23.2013   , 37.5      , 15.8356   , 59.0729   , 15.8356   
    0.450, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 11.908    , 19.9219   , 18.2312   , 15.75     , 24.2222   , 3000      , 840       , 841.406   , 338.984   , 258.984   , 841.484   , 1040.39   , 886.719   , 2.81251   , 3.20313   , 2.34376   , 3.35938   , 27.3047   , 110.25    , 133.313   , 20.2734   , 555       , -5.25     , -5.25     , 2.03467   , 87.75     , 87.9766   , 0.307739  , 0.949982  , 6.66667   , 23.2013   , 37.5      , 15.8356   , 59.0744   , 15.8356   
    0.500, 0         , 0         , 0         , 0         , 4         , 0.999757  , 0         , 0         , 0         , 11.908    , 19.9219   , 18.2343   , 15.8333   , 23.8889   , 3000      , 840       , 841.406   , 343.594   , 258.984   , 841.484   , 1036.8    , 883.672   , 2.73438   , 3.43751   , 2.18751   , 3.35938   , 27.7266   , 110.25    , 133.078   , 20.2734   , 555       , -5.25     , -5.25     , 2.048     , 87.75     , 87.9609   , 0.307739  , 0.949982  , 6.66667   , 23.2013   , 37.5      , 16.1011   , 59.0729   , 16.1011   
