
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 129 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  25.05.2022 14:55:12.810

TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fnwue     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , plsol_w   , plsolr_w  , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkat_w    , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , usvk      , usvk2     , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , V         , V         , km/h      , -         , -         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           ,           , , 
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","BoostPressureDesired","","","","BaroPressure","","BoostPressureActual","AdaptationIdle","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","O2SVoltageSensor1","O2SVoltageSensor1Bank2","VehicleSpeed","","","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch","","","TorqueLimit","TorqueForTimingIntervention"
    0.000, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0         , 1         , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 10.8582   , 99.9985   , 10.8582   , 99.2188   , 0         , 6.91667   , 6.75001   , 800       , 800       , 820       , 825.703   , 0         , 421.484   , 422.188   , 825.391   , 855.313   , 839.688   , 0         , 1.25      , 0.683596  , 1.17188   , 0.703127  , 1.95313   , 0         , 28.5      , 28.6406   , 103.289   , 103.289   , 28.7109   , 164.804   , 39.75     , 39.75     , 1.86934   , 86.25     , 86.25     , 0.669656  , 4.33077   , 0.537109  , 0.732421  , 0.366211  , 0.931805  , 0.921373  , 0         , 0.510804  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5872   , 0         , 0         , 0         , 0         , 0         , 13.7543   , 42.3584   , 10.7575   
    0.050, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0         , 1         , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 10.8185   , 99.9985   , 10.8185   , 99.2188   , 0         , 6.91667   , 6.83334   , 800       , 800       , 820       , 825.703   , 0         , 420       , 420.859   , 826.641   , 854.766   , 840       , 0         , 1.21094   , 0.664064  , 1.17188   , 0.703127  , 2.03126   , 0         , 28.5      , 28.5234   , 103.289   , 103.289   , 28.6172   , 164.804   , 39.75     , 39.75     , 1.88267   , 86.25     , 86.25     , 0.669656  , 4.33077   , 0.522461  , 0.732421  , 0.366211  , 0.931805  , 0.921373  , 0         , 0.507752  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5872   , -0.75     , 0         , 0         , 0         , 0         , 13.6719   , 42.392    , 10.437    
    0.100, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0         , 1         , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 10.7544   , 99.9985   , 10.7544   , 99.2188   , 0         , 6.88889   , 6.86112   , 800       , 800       , 820       , 825.703   , 0         , 417.813   , 418.828   , 826.641   , 853.516   , 840       , 0         , 1.21094   , 0.664064  , 1.17188   , 0.703127  , 2.03126   , 0         , 27.75     , 28.3828   , 103.289   , 103.289   , 28.4766   , 164.921   , 39.75     , 39.75     , 1.88267   , 86.25     , 86.25     , 0.669656  , 4.33077   , 0.532226  , 0.732421  , 0.366211  , 0.931805  , 0.921373  , 0         , 0.507691  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5168   , -0.75     , 0         , 0         , 0         , 0         , 13.5483   , 42.4347   , 10.3729   
    0.150, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0         , 1         , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 10.6934   , 99.9985   , 10.6934   , 99.2188   , 0         , 6.86112   , 7.08334   , 800       , 800       , 820       , 825.703   , 0         , 418.828   , 416.953   , 825.391   , 853.672   , 840       , 0         , 1.21094   , 0.664064  , 1.21094   , 0.722658  , 1.95313   , 0         , 28.5      , 28.5      , 103.289   , 103.289   , 28.3359   , 164.921   , 39.75     , 39.75     , 1.88267   , 86.25     , 86.25     , 0.669656  , 4.33077   , 0.532226  , 0.732421  , 0.366211  , 0.931805  , 0.921373  , 0         , 0.503357  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.4464   , -0.75     , 0         , 0         , 0         , 0         , 13.5529   , 42.4591   , 10.3485   
    0.200, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0         , 1         , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 10.7391   , 99.9985   , 10.7391   , 99.2188   , 0         , 6.88889   , 6.83334   , 800       , 800       , 820       , 825.703   , 0         , 418.125   , 418.672   , 825.391   , 854.063   , 840       , 0         , 1.21094   , 0.664064  , 1.21094   , 0.722658  , 1.95313   , 0         , 27.75     , 28.3828   , 103.289   , 103.289   , 28.4531   , 164.921   , 39.75     , 39.75     , 1.88267   , 86.25     , 86.25     , 0.664768  , 4.33566   , 0.532226  , 0.732421  , 0.366211  , 0.931805  , 0.921373  , 0         , 0.506531  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5872   , 0         , 0         , 0         , 0         , 0         , 13.588    , 42.4088   , 10.5164   
    0.250, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0         , 1         , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 10.7147   , 99.9985   , 10.7147   , 99.2188   , 0         , 6.86112   , 6.83334   , 760       , 800       , 820       , 825.703   , 0         , 419.219   , 417.813   , 826.641   , 852.891   , 838.906   , 0         , 1.25      , 0.683596  , 1.17188   , 0.742189  , 1.95313   , 0         , 28.5      , 28.5      , 103.289   , 103.289   , 28.3828   , 164.921   , 39.75     , 39.75     , 1.88267   , 86.25     , 86.25     , 0.664768  , 4.33077   , 0.527343  , 0.732421  , 0.366211  , 0.931805  , 0.921373  , 0         , 0.504151  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5168   , 2.25      , 0         , 0         , 0         , 0         , 13.5452   , 42.4179   , 11.0352   
    0.300, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0         , 1         , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 10.8429   , 99.9985   , 10.8429   , 99.2188   , 0         , 6.86112   , 6.83334   , 760       , 800       , 820       , 825.703   , 0         , 418.906   , 422.266   , 826.641   , 853.75    , 840       , 0         , 1.25      , 0.683596  , 1.17188   , 0.742189  , 1.95313   , 0         , 27.75     , 28.3828   , 103.289   , 103.289   , 28.6875   , 163.945   , 39.75     , 39.75     , 1.88267   , 86.25     , 86.25     , 0.669656  , 4.33077   , 0.522461  , 0.732421  , 0.366211  , 0.931805  , 0.921373  , 0         , 0.510132  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5168   , 1.5       , 0         , 0         , 0         , 0         , 13.5727   , 42.3249   , 11.0474   
    0.350, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0         , 1         , 0.99997   , 1         , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 10.8673   , 99.9985   , 10.8673   , 99.2188   , 0         , 6.86112   , 6.63889   , 760       , 800       , 820       , 825.781   , 0         , 417.031   , 424.766   , 826.641   , 852.656   , 840       , 0         , 1.21094   , 0.703127  , 1.17188   , 0.742189  , 2.03126   , 0         , 27.75     , 28.125    , 103.289   , 103.289   , 28.8281   , 163.945   , 39.75     , 39.75     , 1.87734   , 86.25     , 86.25     , 0.664768  , 4.33077   , 0.522461  , 0.732421  , 0.366211  , 0.931805  , 0.921373  , 0         , 0.510926  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5872   , 1.5       , 0         , 0         , 0         , 0         , 13.4827   , 42.3172   , 10.9497   
