TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , plsol_w   , plsolr_w  , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkat_w    , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , km/h      , -         , -         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           ,           , , 
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","BoostPressureDesired","","","","BaroPressure","","BoostPressureActual","AdaptationIdle","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","VehicleSpeed","","","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch","","","TorqueLimit","TorqueForTimingIntervention"
    0.400, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.854401  , 0.99997   , 0.832459  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 11.0718   , 99.9985   , 11.0718   , 99.2188   , 0         , 6.91667   , 13.3333   , 840       , 890       , 820       , 831.172   , 0         , 645.859   , 440.234   , 830.313   , 1010.7    , 874.141   , 0         , 1.75782   , 0.546876  , 0.878909  , 0.742189  , 0.937502  , 0         , 49.5      , 50.2266   , 105.773   , 103.289   , 31.875    , 302.733   , 24.75     , 24.75     , 2.664     , 29.25     , 30        , 0.811408  , 4.19879   , 0.864257  , 0.732421  , 0.366211  , 0         , 0.525513  , 0.949982  , 2.7451    , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.9392   , -14.25    , 1         , 1         , 0         , 1         , 24.5728   , 43.5898   , 11.2579   
    0.450, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.855836  , 0.99997   , 0.833893  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 10.9253   , 99.9985   , 10.9253   , 99.2188   , 0         , 6.94445   , 13.5833   , 880       , 890       , 820       , 831.172   , 0         , 643.438   , 437.344   , 830.313   , 1010.7    , 874.141   , 0         , 1.75782   , 0.546876  , 0.878909  , 0.742189  , 0.937502  , 0         , 49.5      , 49.9453   , 105.773   , 103.289   , 31.5469   , 303.124   , 24.75     , 24.75     , 2.65334   , 29.25     , 30        , 0.811408  , 4.19879   , 0.883789  , 0.732421  , 0.366211  , 0         , 0.526123  , 0.949982  , 2.7451    , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -15       , 1         , 1         , 0         , 1         , 24.4843   , 43.5456   , 10.849    
    0.500, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.857209  , 0.99997   , 0.835267  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 10.9192   , 99.9985   , 10.9192   , 99.2188   , 0         , 6.94445   , 13.75     , 880       , 890       , 820       , 831.172   , 0         , 645.156   , 436.328   , 831.563   , 1010.7    , 874.141   , 0         , 1.75782   , 0.566408  , 0.859377  , 0.722658  , 0.976565  , 0         , 49.5      , 50.1563   , 105.773   , 103.289   , 31.5234   , 303.124   , 24.75     , 25.5      , 2.696     , 29.25     , 30        , 0.811408  , 4.19879   , 0.888671  , 0.727539  , 0.366211  , 0         , 0.524903  , 0.949982  , 2.7451    , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.728    , -15       , 1         , 1         , 0         , 1         , 24.6262   , 43.5898   , 10.73     
    0.550, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0.836762  , 0.99997   , 0.836091  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 10.8643   , 99.9985   , 10.8643   , 99.2188   , 0         , 6.94445   , 13.3333   , 880       , 890       , 820       , 831.172   , 0         , 644.375   , 434.609   , 831.563   , 1010.7    , 874.141   , 0         , 1.75782   , 0.566408  , 0.859377  , 0.722658  , 0.976565  , 0         , 49.5      , 50.1328   , 105.773   , 103.289   , 31.4063   , 303.124   , 24.75     , 25.5      , 2.608     , 29.25     , 30        , 0.811408  , 4.19879   , 0.883789  , 0.732421  , 0.366211  , 0         , 0.523133  , 0.949982  , 2.7451    , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.7984   , -15       , 1         , 1         , 0         , 1         , 24.6323   , 43.6173   , 10.611    
    0.600, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.835389  , 0.99997   , 0.836091  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 10.8734   , 99.9985   , 10.8734   , 99.2188   , 0         , 6.97223   , 13.1667   , 880       , 890       , 820       , 831.172   , 0         , 641.797   , 435.234   , 830.313   , 1010.7    , 874.141   , 0         , 1.79688   , 0.585939  , 0.839846  , 0.703127  , 0.976565  , 0         , 49.5      , 49.8984   , 105.773   , 103.289   , 31.4531   , 303.124   , 25.5      , 25.5      , 2.56534   , 29.25     , 30        , 0.811408  , 4.19879   , 0.888671  , 0.732421  , 0.366211  , 0         , 0.523316  , 0.949982  , 2.7451    , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.9392   , -15       , 1         , 1         , 0         , 1         , 24.4873   , 43.6341   , 10.7666   
    0.650, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.834015  , 0.99997   , 0.836091  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 10.8795   , 99.9985   , 10.8795   , 99.2188   , 0         , 7.00001   , 13.4722   , 840       , 890       , 820       , 831.172   , 0         , 644.609   , 435.625   , 830.313   , 1010      , 873.594   , 0         , 1.79688   , 0.585939  , 0.839846  , 0.703127  , 0.976565  , 0         , 49.5      , 50.1094   , 105.773   , 103.289   , 31.4531   , 303.515   , 25.5      , 25.5      , 2.68267   , 29.25     , 30        , 0.811408  , 4.19879   , 0.874023  , 0.732421  , 0.366211  , 0         , 0.524109  , 0.949982  , 2.7451    , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.9392   , -14.25    , 1         , 1         , 0         , 1         , 24.5514   , 43.5807   , 11.3281   
    0.700, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0.832917  , 0.99997   , 0.836091  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 11.0657   , 99.9985   , 11.0657   , 99.2188   , 0         , 6.94445   , 13.3889   , 840       , 890       , 820       , 831.094   , 0         , 646.016   , 442.5     , 830.313   , 1007.58   , 871.484   , 0         , 1.83594   , 0.60547   , 0.839846  , 0.703127  , 1.01563   , 0         , 49.5      , 50.0859   , 105.656   , 103.289   , 31.8984   , 303.515   , 25.5      , 25.5      , 2.65067   , 29.25     , 30        , 0.811408  , 4.20368   , 0.883789  , 0.732421  , 0.366211  , 0         , 0.532349  , 0.949982  , 2.7451    , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -14.25    , 1         , 1         , 0         , 1         , 24.4919   , 43.4479   , 11.3953   
    0.750, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.831452  , 0.99997   , 0.836091  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 11.3464   , 99.9985   , 11.3464   , 99.2188   , 0         , 6.83334   , 13.3889   , 840       , 890       , 820       , 831.094   , 0         , 653.516   , 458.906   , 830.313   , 1007.03   , 871.016   , 0         , 1.83594   , 0.60547   , 0.839846  , 0.703127  , 1.01563   , 0         , 51        , 51        , 105.656   , 103.289   , 33.4688   , 303.515   , 25.5      , 25.5      , 2.816     , 29.25     , 30        , 0.811408  , 4.19879   , 0.874023  , 0.732421  , 0.366211  , 0         , 0.548645  , 0.949982  , 2.7451    , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -13.5     , 1         , 1         , 0         , 1         , 24.8352   , 43.2846   , 12.2986   
    0.800, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.829926  , 0.99997   , 0.836091  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 11.142    , 99.9985   , 11.142    , 99.2188   , 0         , 6.94445   , 13.25     , 840       , 890       , 820       , 831.094   , 0         , 650.234   , 445.859   , 830.313   , 1008.75   , 872.5     , 0         , 1.83594   , 0.60547   , 0.820315  , 0.722658  , 0.976565  , 0         , 50.25     , 50.7891   , 105.656   , 103.289   , 32.3672   , 303.515   , 25.5      , 25.5      , 2.64534   , 29.25     , 30        , 0.816296  , 4.1939    , 0.86914   , 0.732421  , 0.366211  , 0         , 0.536438  , 0.949982  , 2.7451    , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -14.25    , 1         , 1         , 0         , 1         , 24.8367   , 43.3472   , 11.6058   
    0.850, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.8284    , 0.99997   , 0.836091  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 10.9955   , 99.9985   , 10.9955   , 99.2188   , 0         , 7.00001   , 13.2778   , 880       , 890       , 820       , 831.094   , 0         , 645.547   , 435.703   , 830.313   , 1009.38   , 873.047   , 0         , 1.83594   , 0.60547   , 0.820315  , 0.722658  , 0.976565  , 0         , 50.25     , 50.625    , 105.656   , 103.289   , 31.7344   , 303.964   , 25.5      , 25.5      , 2.62667   , 29.25     , 30        , 0.816296  , 4.19879   , 0.874023  , 0.732421  , 0.366211  , 0         , 0.532654  , 0.949982  , 2.7451    , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -15       , 1         , 1         , 0         , 1         , 24.8276   , 43.4174   , 10.9894   
