
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 127 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  20.11.2020 21:08:30.870

TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fnwue     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , plsol_w   , plsolr_w  , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkat_w    , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , km/h      , -         , -         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           ,           , , 
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","BoostPressureDesired","","","","BaroPressure","","BoostPressureActual","AdaptationIdle","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","VehicleSpeed","","","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch","","","TorqueLimit","TorqueForTimingIntervention"
    0.000, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 2         , 0         , 0.91446   , 0.99997   , 0.919831  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 12.8754   , 99.9985   , 12.8754   , 99.2188   , 0         , 7.66667   , 7.86112   , 800       , 800       , 840       , 842.813   , 0         , 457.969   , 464.922   , 842.656   , 949.375   , 861.328   , 0         , 1.09375   , 0.800783  , 1.05469   , 0.742189  , 1.25      , 0         , 31.5      , 31.6406   , 103.289   , 103.289   , 32.2734   , 461.6     , 12.75     , 12.75     , 1.952     , 90.75     , 90.75     , 0.65988   , 4.33566   , 0.566406  , 0.732421  , 0.366211  , 0         , 0.547181  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5168   , 2.25      , 0         , 0         , 0         , 1         , 15.152    , 42.4347   , 12.7747   
    0.050, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 18        , 0         , 0.913239  , 0.99997   , 0.919831  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 12.7472   , 99.9985   , 12.7472   , 99.2188   , 0         , 7.66667   , 7.66667   , 800       , 800       , 840       , 842.813   , 0         , 457.969   , 461.641   , 842.656   , 949.766   , 861.328   , 0         , 1.09375   , 0.800783  , 1.05469   , 0.742189  , 1.25      , 0         , 31.5      , 31.6641   , 103.289   , 103.289   , 31.9922   , 462.264   , 12.75     , 12.75     , 1.944     , 90.75     , 90.75     , 0.65988   , 4.33077   , 0.571289  , 0.727539  , 0.366211  , 0         , 0.54773   , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5872   , 2.25      , 0         , 0         , 0         , 1         , 15.21     , 42.4515   , 12.6862   
    0.100, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 2         , 0         , 0.912018  , 0.99997   , 0.919831  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 12.7747   , 99.9985   , 12.7747   , 99.2188   , 0         , 7.63889   , 7.72223   , 800       , 800       , 840       , 842.813   , 0         , 460       , 462.422   , 842.656   , 948.203   , 859.453   , 0         , 1.13282   , 0.781252  , 1.01563   , 0.742189  , 1.25      , 0         , 31.5      , 31.8281   , 103.289   , 103.289   , 32.0625   , 462.264   , 12.75     , 12.75     , 1.94667   , 90.75     , 90.75     , 0.65988   , 4.33077   , 0.571289  , 0.727539  , 0.366211  , 0         , 0.546387  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5872   , 2.25      , 0         , 0         , 0         , 1         , 15.2954   , 42.4347   , 12.6892   
    0.150, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 2         , 0         , 0.910798  , 0.99997   , 0.919831  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 12.6923   , 99.9985   , 12.6923   , 99.2188   , 0         , 7.69445   , 7.52778   , 800       , 800       , 840       , 842.813   , 0         , 458.359   , 460.234   , 842.656   , 950.391   , 861.25    , 0         , 1.13282   , 0.781252  , 1.01563   , 0.742189  , 1.25      , 0         , 31.5      , 31.6875   , 103.289   , 103.289   , 31.875    , 462.264   , 12.75     , 12.75     , 1.93334   , 90.75     , 90.75     , 0.65988   , 4.33566   , 0.561523  , 0.732421  , 0.366211  , 0         , 0.546021  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5872   , 1.5       , 0         , 0         , 0         , 1         , 15.3031   , 42.4424   , 12.5153   
    0.200, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 18        , 0         , 0.910798  , 0.99997   , 0.924958  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 12.7045   , 99.9985   , 12.7045   , 99.2188   , 0         , 7.66667   , 7.50001   , 800       , 800       , 840       , 842.813   , 0         , 456.797   , 460.313   , 842.656   , 949.141   , 861.094   , 0         , 1.17188   , 0.781252  , 1.01563   , 0.722658  , 1.28907   , 0         , 31.5      , 31.5703   , 103.289   , 103.289   , 31.8984   , 462.264   , 12.75     , 12.75     , 1.93334   , 90.75     , 90.75     , 0.65988   , 4.33566   , 0.566406  , 0.732421  , 0.366211  , 0         , 0.543885  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5168   , 1.5       , 0         , 0         , 0         , 1         , 15.2115   , 42.4683   , 12.5977   
    0.250, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 2         , 0         , 0.931061  , 0.99997   , 0.924958  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 12.738    , 99.9985   , 12.738    , 99.2188   , 0         , 7.63889   , 7.50001   , 760       , 800       , 840       , 842.813   , 0         , 456.484   , 461.484   , 842.656   , 947.109   , 860.156   , 0         , 1.17188   , 0.781252  , 1.01563   , 0.722658  , 1.28907   , 0         , 31.5      , 31.5469   , 103.289   , 103.289   , 31.9922   , 462.186   , 12.75     , 12.75     , 1.94667   , 90.75     , 90.75     , 0.65988   , 4.33566   , 0.55664   , 0.732421  , 0.366211  , 0         , 0.547547  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5872   , 3         , 0         , 0         , 0         , 1         , 15.1657   , 42.4515   , 12.8296   
    0.300, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 2         , 0         , 0.932282  , 0.99997   , 0.924958  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 12.7747   , 99.9985   , 12.7747   , 99.2188   , 0         , 7.66667   , 7.50001   , 760       , 800       , 840       , 842.813   , 0         , 455.469   , 462.813   , 842.656   , 947.656   , 861.328   , 0         , 1.17188   , 0.761721  , 0.976565  , 0.703127  , 1.32813   , 0         , 30.75     , 31.4063   , 103.289   , 103.289   , 32.0625   , 462.186   , 12.75     , 12.75     , 1.93334   , 90.75     , 90.75     , 0.65988   , 4.33566   , 0.566406  , 0.732421  , 0.366211  , 0         , 0.548523  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5872   , 3         , 0         , 0         , 0         , 1         , 15.1169   , 42.4012   , 12.8113   
    0.350, 0         , 0         , 0         , 0         , 0         , 0         , 0.828125  , 18        , 0         , 0.933503  , 0.99997   , 0.924958  , 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 12.8723   , 99.9985   , 12.8723   , 99.2188   , 0         , 7.63889   , 7.61112   , 760       , 800       , 840       , 842.813   , 0         , 457.266   , 465.156   , 842.656   , 946.953   , 861.094   , 0         , 1.17188   , 0.761721  , 0.976565  , 0.703127  , 1.32813   , 0         , 31.5      , 31.5703   , 103.289   , 103.289   , 32.2734   , 462.186   , 12.75     , 12.75     , 1.94934   , 90.75     , 90.75     , 0.65988   , 4.33566   , 0.561523  , 0.732421  , 0.366211  , 0         , 0.55188   , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.5872   , 3.75      , 0         , 0         , 0         , 1         , 15.1505   , 42.4179   , 13.1073   
