TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    0.400, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.06506   , 99.2188   , 0         , 5.41667   , 7.11112   , 920       , 820       , 833.438   , 392.5     , 210.078   , 832.813   , 1140.39   , 853.047   , 0.683596  , 0.89844   , 0.722658  , 1.21094   , 25.6641   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.04534   , 88.5      , 0         , 0.252014  , 0.949982  , 0         , 0         , -12       , 12.3749   , 34.7809   , 0         
    0.450, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.07117   , 99.2188   , 0         , 5.41667   , 6.80556   , 920       , 820       , 833.438   , 390.781   , 210.313   , 834.063   , 1143.05   , 855.078   , 0.664064  , 0.937502  , 0.742189  , 1.21094   , 25.5      , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.03467   , 88.5      , 0         , 0.25232   , 0.949982  , 0         , 0         , -12       , 12.2955   , 34.7595   , 0         
    0.500, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.05286   , 99.2188   , 0         , 5.41667   , 7.02778   , 920       , 820       , 833.438   , 389.453   , 210.313   , 834.063   , 1141.64   , 853.984   , 0.664064  , 0.937502  , 0.742189  , 1.21094   , 25.4063   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.03734   , 88.5      , 0         , 0.25232   , 0.949982  , 0         , 0         , -11.25    , 12.178    , 34.7672   , 0         
    0.550, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.05591   , 99.2188   , 0         , 5.41667   , 7.22223   , 920       , 820       , 833.438   , 390.547   , 210.313   , 834.063   , 1142.27   , 854.453   , 0.644533  , 0.937502  , 0.742189  , 1.17188   , 25.4766   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.03467   , 88.5      , 0         , 0.25232   , 0.949982  , 0         , 0         , -11.25    , 12.2177   , 34.7672   , 0         
    0.600, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.02234   , 99.2188   , 0         , 5.41667   , 6.86112   , 960       , 820       , 833.438   , 388.203   , 209.219   , 834.063   , 1143.36   , 855.234   , 0.644533  , 0.937502  , 0.742189  , 1.17188   , 25.3594   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.016     , 88.5      , 0         , 0.250977  , 0.949982  , 0         , 0         , -12       , 12.3016   , 34.7962   , 0         
    0.650, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.0376    , 99.2188   , 0         , 5.44445   , 6.94445   , 920       , 820       , 833.516   , 386.953   , 208.828   , 834.063   , 1143.05   , 855       , 0.644533  , 0.976565  , 0.722658  , 1.21094   , 25.2891   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.02134   , 88.5      , 0         , 0.250488  , 0.949982  , 0         , 0         , -11.25    , 12.1948   , 34.848    , 0         
    0.700, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.04675   , 99.2188   , 0         , 5.41667   , 6.86112   , 960       , 820       , 833.516   , 382.734   , 209.219   , 834.063   , 1143.91   , 855.703   , 0.644533  , 0.976565  , 0.722658  , 1.21094   , 24.9141   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 1.976     , 88.5      , 0         , 0.250977  , 0.949982  , 0         , 0         , -11.25    , 12.0453   , 34.8267   , 0         
    0.750, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.01318   , 99.2188   , 0         , 5.41667   , 6.61112   , 960       , 820       , 833.516   , 380.391   , 208.828   , 834.063   , 1141.02   , 853.516   , 0.625002  , 1.01563   , 0.742189  , 1.25      , 24.75     , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 1.96534   , 88.5      , 0         , 0.250488  , 0.949982  , 0         , 0         , -11.25    , 12.0056   , 34.848    , 0         
    0.800, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.06201   , 99.2188   , 0         , 5.41667   , 6.91667   , 920       , 820       , 833.516   , 380.078   , 208.75    , 834.063   , 1143.59   , 855.469   , 0.625002  , 1.01563   , 0.742189  , 1.25      , 24.75     , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 1.98934   , 88.5      , 0         , 0.250427  , 0.949982  , 0         , 0         , -11.25    , 11.9919   , 34.8633   , 0         
    0.850, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.09863   , 99.2188   , 0         , 5.41667   , 6.91667   , 920       , 820       , 833.516   , 381.328   , 210.313   , 834.063   , 1140.39   , 853.047   , 0.625002  , 1.05469   , 0.722658  , 1.21094   , 24.75     , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 1.99467   , 88.5      , 0         , 0.25232   , 0.949982  , 0         , 0         , -11.25    , 11.9858   , 34.7672   , 0         
    0.900, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.15662   , 99.2188   , 0         , 5.41667   , 6.83334   , 920       , 820       , 833.516   , 381.953   , 211.016   , 834.063   , 1140.94   , 853.438   , 0.625002  , 1.05469   , 0.722658  , 1.21094   , 24.75     , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.00267   , 88.5      , 0         , 0.253113  , 0.949982  , 0         , 0         , -10.5     , 11.9446   , 34.7214   , 0         
    0.950, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.19324   , 99.2188   , 0         , 5.41667   , 6.75001   , 920       , 820       , 833.516   , 382.5     , 211.953   , 832.813   , 1141.56   , 853.906   , 0.60547   , 1.05469   , 0.742189  , 1.21094   , 24.7266   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 1.98934   , 88.5      , 0         , 0.254273  , 0.949982  , 0         , 0         , -11.25    , 11.9583   , 34.6619   , 0         
    1.000, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.14746   , 99.2188   , 0         , 5.41667   , 6.63889   , 920       , 820       , 833.516   , 381.172   , 211.953   , 832.813   , 1142.27   , 854.453   , 0.60547   , 1.05469   , 0.742189  , 1.21094   , 24.6094   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 1.96534   , 88.5      , 0         , 0.254273  , 0.949982  , 0         , 0         , -10.5     , 11.9125   , 34.6619   , 0         
    1.050, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.17798   , 99.2188   , 0         , 5.44445   , 7.41667   , 920       , 820       , 833.516   , 386.016   , 211.641   , 834.063   , 1143.36   , 855.234   , 0.60547   , 1.05469   , 0.742189  , 1.25      , 25.0313   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.04267   , 88.5      , 0         , 0.253906  , 0.949982  , 0         , 0         , -11.25    , 11.9736   , 34.6848   , 0         
    1.100, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.18713   , 99.2188   , 0         , 5.41667   , 7.41667   , 880       , 820       , 833.516   , 392.734   , 212.813   , 834.063   , 1141.09   , 853.594   , 0.60547   , 1.05469   , 0.742189  , 1.25      , 25.5      , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.08      , 88.5      , 0         , 0.25531   , 0.949982  , 0         , 0         , -11.25    , 12.3154   , 34.581    , 0         
    1.150, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.26038   , 99.2188   , 0         , 5.41667   , 7.47223   , 880       , 820       , 833.516   , 400.391   , 214.766   , 834.063   , 1140.94   , 853.438   , 0.60547   , 1.01563   , 0.761721  , 1.28907   , 26.0156   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.09867   , 88.5      , 0         , 0.25763   , 0.949982  , 0         , 0         , -12       , 12.5641   , 34.4925   , 0         
    1.200, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.28479   , 99.2188   , 0         , 5.41667   , 7.27778   , 880       , 820       , 833.516   , 403.359   , 215.078   , 834.063   , 1144.38   , 856.016   , 0.60547   , 1.01563   , 0.761721  , 1.28907   , 26.2266   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.09334   , 88.5      , 0         , 0.257996  , 0.949982  , 0         , 0         , -12       , 12.6343   , 34.4696   , 0         
    1.250, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.22986   , 99.2188   , 0         , 5.44445   , 7.19445   , 920       , 820       , 833.516   , 406.719   , 214.375   , 832.813   , 1140.31   , 852.969   , 0.625002  , 0.976565  , 0.761721  , 1.25      , 26.5547   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.10667   , 88.5      , 0         , 0.257141  , 0.949982  , 0         , 0         , -12.75    , 12.8128   , 34.5139   , 0         
    1.300, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.17493   , 99.2188   , 0         , 5.41667   , 6.83334   , 920       , 820       , 833.516   , 404.375   , 213.281   , 832.813   , 1143.05   , 855       , 0.625002  , 0.976565  , 0.761721  , 1.25      , 26.4375   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.112     , 88.5      , 0         , 0.25586   , 0.949982  , 0         , 0         , -12.75    , 12.7258   , 34.5963   , 0         
